S_No,Species,Trait,Parameter,"metaQTL name",Chromosome,"Position/Interval in cM/bp","Associated Markers",PVE/R2,"Link to reference"
296,"Triticum aestivum","Heat stress tolerence","Heat stress tolerence","MQTL63 ",7B,138,wmc581,-,https://dl.sciencesocieties.org/publications/cs/abstracts/55/2/477
297,"Triticum aestivum","Heat stress tolerence","Heat stress tolerence","MQTL65 ",7D,85,cfd46,-,https://dl.sciencesocieties.org/publications/cs/abstracts/55/2/477
298,"Triticum aestivum","Heat stress tolerence","Heat stress tolerence",MQTL36,4D,82,gwm194,-,https://dl.sciencesocieties.org/publications/cs/abstracts/55/2/477
299,"Triticum aestivum","Heat stress tolerence","Heat stress tolerence","MQTL57 ",7A,5,wmc158,-,https://dl.sciencesocieties.org/publications/cs/abstracts/55/2/477
300,"Triticum aestivum","Iron and zinc content","Iron and Zinc content",MQTL1,1B,203.09-203.31,"wmc213, wmc813",-,https://link.springer.com/article/10.1007/s10681-021-02818-8
301,"Triticum aestivum","Iron and zinc content","Iron and Zinc content",MQTL2,2B,146.11-146.83,"barc159, wmc356",-,https://link.springer.com/article/10.1007/s10681-021-02818-8
302,"Triticum aestivum","Iron and zinc content","Iron and Zinc content",MQTL3,4A,78.68-98.96,"Xgwm1081, wmc500",-,https://link.springer.com/article/10.1007/s10681-021-02818-8
303,"Triticum aestivum","Iron and zinc content","Iron and Zinc content",MQTL4,5A,37.15-40.87,"wmc96, wmc524",-,https://link.springer.com/article/10.1007/s10681-021-02818-8
304,"Triticum aestivum","Iron and zinc content","Iron and Zinc content",MQTL5,7A,30.12-37.08,"XRC A, wmc83",-,https://link.springer.com/article/10.1007/s10681-021-02818-8
305,"Triticum aestivum","Iron and zinc content","Iron and Zinc content",MQTL6,7B,37.12-48.64,"Xgwm573, Xgwm364",-,https://link.springer.com/article/10.1007/s10681-021-02818-8
306,"Triticum aestivum","Iron and zinc content","Iron and Zinc content",MQTL7,7B,63.73-69.51,"barc176, wmc581",-,https://link.springer.com/article/10.1007/s10681-021-02818-8
307,"Triticum aestivum","Morphological trait","Plant height",P1,1A,34.7,"XksuE18, Xwmc24",24,https://link.springer.com/article/10.1007/s10681-010-0128-9
308,"Triticum aestivum","Morphological trait","Plant height",P2,1A,44.1,"M77, P64, Xpsr381",12.5,https://link.springer.com/article/10.1007/s10681-010-0128-9
309,"Triticum aestivum","Morphological trait","Plant height",P3,1D,60.5,"XcsEND2, Xfbb377",9.5,https://link.springer.com/article/10.1007/s10681-010-0128-9
310,"Triticum aestivum","Morphological trait","Plant height",P4,2A,101.6,"XksuF11, XWC0050pb",14.5,https://link.springer.com/article/10.1007/s10681-010-0128-9
311,"Triticum aestivum","Morphological trait","Plant height",P5,2D,23.2,"Xwmc431, Xwmc25",60,https://link.springer.com/article/10.1007/s10681-010-0128-9
312,"Triticum aestivum","Morphological trait","Plant height",P6,3A,81.3,"Xwmc388, Xcdo118",35,https://link.springer.com/article/10.1007/s10681-010-0128-9
313,"Triticum aestivum","Morphological trait","Plant height",P7,3A,83,"Xcdo118, Xwmc264",16.3,https://link.springer.com/article/10.1007/s10681-010-0128-9
314,"Triticum aestivum","Morphological trait","Plant height",P8,3A,104.1,"Xcfa2134, Xfbb293",7.2,https://link.springer.com/article/10.1007/s10681-010-0128-9
315,"Triticum aestivum","Morphological trait","Plant height",P9,3B,20.4,"Xgwm493, Xcdo460",9,https://link.springer.com/article/10.1007/s10681-010-0128-9
316,"Triticum aestivum","Morphological trait","Plant height",P10,4A,41.9,"Xrz574, Xgwm601",11.9,https://link.springer.com/article/10.1007/s10681-010-0128-9
317,"Triticum aestivum","Morphological trait","Plant height",P11,4A,105.3,"Xcdo780, Xcfd88",?,https://link.springer.com/article/10.1007/s10681-010-0128-9
318,"Triticum aestivum","Morphological trait","Plant height",P12,4B,31,"Xgwm107, Xgwm66",19.9,https://link.springer.com/article/10.1007/s10681-010-0128-9
319,"Triticum aestivum","Morphological trait","Plant height",P13,4B,34,"Xgwm495, Xfba78",17.2,https://link.springer.com/article/10.1007/s10681-010-0128-9
320,"Triticum aestivum","Morphological trait","Plant height",P14,4D,44.1,"Xwmc419, Xwmc457",38.8,https://link.springer.com/article/10.1007/s10681-010-0128-9
321,"Triticum aestivum","Morphological trait","Plant height",P15,4D,34,"Xwmc473, Xcfd193",36.7,https://link.springer.com/article/10.1007/s10681-010-0128-9
322,"Triticum aestivum","Morphological trait","Plant height",P16,5A,49.8,"Xpsr911, P31, M55, 3",20.5,https://link.springer.com/article/10.1007/s10681-010-0128-9
323,"Triticum aestivum","Morphological trait","Plant height",P17,5A,61.2,"P32, M51, XgbxG722",11.8,https://link.springer.com/article/10.1007/s10681-010-0128-9
324,"Triticum aestivum","Morphological trait","Plant height",P18,5B,127.7,"P39, M49, 135, Xbarc69",7.5,https://link.springer.com/article/10.1007/s10681-010-0128-9
325,"Triticum aestivum","Morphological trait","Plant height",P19,6A,34.9,"Xfba234, Xpsp3152",15.6,https://link.springer.com/article/10.1007/s10681-010-0128-9
326,"Triticum aestivum","Morphological trait","Plant height",P20,6A,79,"Xbarc113, M60, P64.2",13,https://link.springer.com/article/10.1007/s10681-010-0128-9
327,"Triticum aestivum","Morphological trait","Plant height",P21,6A,90.7,"Xwmc417, Xfbb221",9.4,https://link.springer.com/article/10.1007/s10681-010-0128-9
328,"Triticum aestivum","Morphological trait","Plant height",P22,6B,160,"Xfba111, XWD124",7.9,https://link.springer.com/article/10.1007/s10681-010-0128-9
329,"Triticum aestivum","Morphological trait","Plant height",P23,6D,93.8,"Xcfd287, P43, M62",15.9,https://link.springer.com/article/10.1007/s10681-010-0128-9
330,"Triticum aestivum","Morphological trait","Plant height",P24,6D,155.8,"P36, M61, Xfbb59",12.9,https://link.springer.com/article/10.1007/s10681-010-0128-9
331,"Triticum aestivum","Morphological trait","Plant height",P25,7A,91.1,"P78, M49.4, Xbcd1066",10.6,https://link.springer.com/article/10.1007/s10681-010-0128-9
332,"Triticum aestivum","Morphological trait","Plant height",P26,7A,163.7,"Xfba69, XgbxG411",11.9,https://link.springer.com/article/10.1007/s10681-010-0128-9
333,"Triticum aestivum","Morphological trait","Plant height",P27,7B,47.7,"Xcdo595, Xfbb343",4.4,https://link.springer.com/article/10.1007/s10681-010-0128-9
334,"Triticum aestivum","Morphological trait","Plant height",QTL_height_1A_1,1A,42.7,"wPt9317, wmc93",-,https://link.springer.com/article/10.1007/s11032-010-9534-x#SecESM1
335,"Triticum aestivum","Morphological trait","Plant height",QTL_height_1B_1,1B,57.8,"gwm456, gwm124",-,https://link.springer.com/article/10.1007/s11032-010-9534-x#SecESM1
336,"Triticum aestivum","Morphological trait","Plant height",QTL_height_1D_1,1D,59.2,"gwm337, wmc36",-,https://link.springer.com/article/10.1007/s11032-010-9534-x#SecESM1
337,"Triticum aestivum","Morphological trait","Plant height",QTL_height_2A_1,2A,30,"wPt6207, wmc827",-,https://link.springer.com/article/10.1007/s11032-010-9534-x#SecESM1
338,"Triticum aestivum","Morphological trait","Plant height",QTL_height_2A_2,2A,111,"cfd86, barc76",-,https://link.springer.com/article/10.1007/s11032-010-9534-x#SecESM1
339,"Triticum aestivum","Morphological trait","Plant height",QTL_height_2B_1,2B,42,"wPt4526, wmc261",-,https://link.springer.com/article/10.1007/s11032-010-9534-x#SecESM1
340,"Triticum aestivum","Morphological trait","Plant height",QTL_height_2D_1,2D,123.6,"gwm320, 529tc",-,https://link.springer.com/article/10.1007/s11032-010-9534-x#SecESM1
341,"Triticum aestivum","Morphological trait","Plant height",QTL_height_3A_1,3A,50.4,"barc67, wmc269",-,https://link.springer.com/article/10.1007/s11032-010-9534-x#SecESM1
342,"Triticum aestivum","Morphological trait","Plant height",QTL_height_3B_1,3B,75.7,"wmc307, gwm853",-,https://link.springer.com/article/10.1007/s11032-010-9534-x#SecESM1
343,"Triticum aestivum","Morphological trait","Plant height",QTL_height_4B_1,4B,42,"wmc617, wPt8292",-,https://link.springer.com/article/10.1007/s11032-010-9534-x#SecESM1
344,"Triticum aestivum","Morphological trait","Plant height",QTL_height_4D_1,4D,12,"wmc285, Rht2",-,https://link.springer.com/article/10.1007/s11032-010-9534-x#SecESM1
345,"Triticum aestivum","Morphological trait","Plant height",QTL_height_5A_1,5A,60.3,"cfa2104, wmc475",-,https://link.springer.com/article/10.1007/s11032-010-9534-x#SecESM1
346,"Triticum aestivum","Morphological trait","Plant height",QTL_height_5B_1,5B,116.4,"wmc289, barc140",-,https://link.springer.com/article/10.1007/s11032-010-9534-x#SecESM1
347,"Triticum aestivum","Morphological trait","Plant height",QTL_height_6A_1,6A,32.2,"wmc182, psp3029",-,https://link.springer.com/article/10.1007/s11032-010-9534-x#SecESM1
348,"Triticum aestivum","Morphological trait","Plant height",QTL_height_6B_1,6B,35.8,"wmc486, wmc417",-,https://link.springer.com/article/10.1007/s11032-010-9534-x#SecESM1
349,"Triticum aestivum","Morphological trait","Plant height",QTL_height_6D_1,6D,70.3,"cfd19, barc96",-,https://link.springer.com/article/10.1007/s11032-010-9534-x#SecESM1
350,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_1,1A,48,wPt1862_1A,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
351,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_2,1A,66.3,Xgwm33_1A,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
352,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_3,1A,89.2,Xwmc286_1A,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
353,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_4,1A,99.2,Xgwm135_1A,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
354,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_5,1A,106.2,Xpsr1327_1A,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
355,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_6,1A,121.3,XksuE3_1A,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
356,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_7,1B,27.2,Xwmc619_1B,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
357,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_8,1B,51.1,Xwmc500.2_1B,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
358,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_9,1B,73.8,Xpsr949_1B,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
359,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_10,1B,84.2,Xbarc240_1B,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
360,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_11,1B,99.3,Xwmc85a_1B,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
361,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_12,1B,147.4,wPt8832_1B,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
362,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_13,1B,187.1,wPt6142_1B,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
363,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_14,1D,50,"P32, M59 2_1D",-,https://www.nature.com/articles/s41598-019-47038-2.pdf
364,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_15,1D,87.7,Xwmc590_1D,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
365,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_16,1D,100.8,Xbarc62_1D,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
366,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_17,2A,47,Xbarc1138_2A,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
367,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_18,2A,91.7,Xwmc296_2A,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
368,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_19,2A,99.6,Xbarc309_2A,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
369,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_20,2A,144.4,Xcfd168_2A,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
370,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_21,2B,1.2,Lr16_2B,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
371,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_22,2B,22.3,wPt8737_2B,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
372,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_23,2B,30,Xcdo456_2B,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
373,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_24,2B,97.5,Xwmc770_2B,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
374,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_25,2B,116.5,Xbarc55_2B,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
375,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_26,2B,154.3,wPt6522_2B,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
376,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_27,2D,29.2,Xgwm296_2D,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
377,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_28,2D,49.2,Xcfd255_2D,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
378,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_29,2D,75.2,Xwmc18_2D,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
379,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_30,2D,100.5,Xbarc228_2D,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
380,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_31,3A,37.7,Xbcd1428_3A,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
381,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_32,3A,72.3,Xgwm2_3A,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
382,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_33,3A,90.7,Xwmc695_3A,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
383,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_34,3A,99.2,Xwmc264_3A,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
384,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_35,3A,113.8,wPt4725_3A,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
385,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_36,3A,146.7,wPt1864_3A,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
386,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_37,3A,169.6,wPt9422_3A,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
387,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_38,3B,35.3,Xwmc597_3B,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
388,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_39,3B,68.3,wPt9170_3B,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
389,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_40,3B,82.6,Xwmc527a_3B,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
390,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_41,3B,92.4,Xwmc787_3B,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
391,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_42,3B,109.7,wPt10071_3B,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
392,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_43,3B,158,Xfba167b_3B,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
393,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_44,4A,40.7,Xwmc89_4A,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
394,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_45,4A,94.5,Xwmc513_4A,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
395,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_46,4A,130.6,Xpsr115_4A,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
396,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_47,4A,136.2,XS25M49(350)_4A,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
397,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_48,4A,160.2,XgbxG557_4A,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
398,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_49,4A,187.6,wPt5543_4A,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
399,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_50,4A,229.5,"P31, M53, 4_4A",-,https://www.nature.com/articles/s41598-019-47038-2.pdf
400,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_51,4B,114.8,Xcdo795_4B,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
401,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_52,4B,133,QPhs.ocS_4B.1_4B,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
402,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_53,4B,153.4,Xwmc413_4B,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
403,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_54,4D,16.3,Xgpw2180_4D,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
404,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_55,5A,48.5,Xwmc51_5A,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
405,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_56,5A,84.3,Xcfd17b_5A,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
406,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_57,5A,103.9,Xbarc180_5A,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
407,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_58,5A,123.6,Xcdo1090A_5A,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
408,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_59,5A,141.7,Xbarc40_5A,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
409,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_60,5B,80.6,Xgdm146_5B,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
410,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_61,5B,122.4,Xbarc109_5B,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
411,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_62,5B,211.9,Xbarc232_5B,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
412,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_63,5D,35.7,Xcfd78_5D,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
413,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_64,5D,47.2,Xwmc805_5D,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
414,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_65,5D,73.2,XgbxG083_5D,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
415,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_66,5D,121.6,Xcfd86_5D,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
416,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_67,6A,35.2,Xgwm334_6A,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
417,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_68,6A,55.9,wPt7565_6A,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
418,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_69,6A,100.1,Xbarc171_6A,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
419,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_70,6A,110,Xbarc107_6A,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
420,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_71,6A,128.4,Xcdo1373_6A,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
421,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_72,6A,157.5,Xfba111b_6A,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
422,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_73,6A,180.7,Xgwm169_6A,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
423,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_74,6A,195.7,Xcdo836_6A,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
424,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_75,6B,66.7,"Gli, B2_6B",-,https://www.nature.com/articles/s41598-019-47038-2.pdf
425,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_76,6B,97.7,TC85307_6B,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
426,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_77,6B,141.8,Xbarc198_6B,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
427,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_78,6B,153.8,Yr36_6B,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
428,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_79,6B,170.4,Xfba67b_6B,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
429,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_80,6B,193.8,"P32, M54, 2_6B",-,https://www.nature.com/articles/s41598-019-47038-2.pdf
430,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_81,6D,42.9,XksuG48_6D,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
431,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_82,6D,108.7,"P43, M62, 1_6D",-,https://www.nature.com/articles/s41598-019-47038-2.pdf
432,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_83,7A,82.5,Xgbx3480a_7A,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
433,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_84,7A,135,Xgwm900_7A,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
434,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_85,7A,159.9,Xbarc195_7A,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
435,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_86,7A,175.2,Xwmc9_7A,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
436,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_87,7A,206.4,Xcfa2257_7A,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
437,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_88,7B,51,wPt2278_7B,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
438,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_89,7B,95.7,wPt7925_7B,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
439,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_90,7B,160.5,wPt5280_7B,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
440,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_91,7B,173.3,"Psy, B1_7B",-,https://www.nature.com/articles/s41598-019-47038-2.pdf
441,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_92,7B,196.1,Xwmc273_7B,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
442,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_93,7D,102.9,Stb5_7D,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
443,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_94,7D,176.8,D1.1_ctg10053_7D,-,https://www.nature.com/articles/s41598-019-47038-2.pdf
444,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_2,1A,66.3,"Xcfd15 ,  Xwmc104",-,https://www.nature.com/articles/s41598-019-47038-2.pdf
445,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_8,1B,51.1,"Xwmc500 ,  XKsu136",-,https://www.nature.com/articles/s41598-019-47038-2.pdf
446,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_18,2A,91.7,"Xwmc32 ,  Xgwm339",-,https://www.nature.com/articles/s41598-019-47038-2.pdf
447,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_22,2B,22.3,"wPt3459 ,  Xwmc382",-,https://www.nature.com/articles/s41598-019-47038-2.pdf
448,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_25,2B,116.5,"Xcfa2043 ,  Xwmc272",-,https://www.nature.com/articles/s41598-019-47038-2.pdf
449,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_40,3B,82.6,"Xcdo1164 ,  Xfbb110",-,https://www.nature.com/articles/s41598-019-47038-2.pdf
450,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_52,4B,133,"Xgwm710 ,  Xgwm368",-,https://www.nature.com/articles/s41598-019-47038-2.pdf
451,"Triticum aestivum","Morphological trait","Root depth",Root_MQTL_69,6A,100.1,"Xbarc146 ,  Xcdo29",-,https://www.nature.com/articles/s41598-019-47038-2.pdf
452,"Triticum aestivum","Morphological trait","Root depth",qRDW.CK-2A,2A,-,"Xgwm296.1, Xgwm296.2",-,https://www.nature.com/articles/s41598-019-47038-2.pdf
453,"Triticum aestivum","Morphological trait","Root depth",qRDW.CK-2D,2D,-,"Xgwm157, Xgwm102",-,https://www.nature.com/articles/s41598-019-47038-2.pdf
454,"Triticum aestivum","Morphological trait","Root depth",qRDW.CK-3B,3B,-,"Xgwm533.2, Xbarc101.2",-,https://www.nature.com/articles/s41598-019-47038-2.pdf
455,"Triticum aestivum","Morphological trait","Root depth",qRDW.CK-4B,4B,-,"Xbarc90, Xbarc20",-,https://www.nature.com/articles/s41598-019-47038-2.pdf
456,"Triticum aestivum","Morphological trait","Root depth",qRDW.LN-4B,4B,-,"barc90, Xbarc20",-,https://www.nature.com/articles/s41598-019-47038-2.pdf
457,"Triticum aestivum","Morphological trait","Root depth",qRDW.LN-4D,4D,-,"Xgwm165.2,  TC237440",-,https://www.nature.com/articles/s41598-019-47038-2.pdf
458,"Triticum aestivum","Morphological trait","Root depth",qRDW.LN-6A,6A,-,"Xbarc104, Xdwpw167.3",-,https://www.nature.com/articles/s41598-019-47038-2.pdf
459,"Triticum aestivum","Morphological trait","Root depth",qRDW.LP-4B,4B,-,"TC233717, Xgwm165.1",-,https://www.nature.com/articles/s41598-019-47038-2.pdf
460,"Triticum aestivum","Morphological trait","Root depth",qMRL.CK-2B,2B,-,"Xgwm210, Xbarc1138.2",-,https://www.nature.com/articles/s41598-019-47038-2.pdf
461,"Triticum aestivum","Morphological trait","Root depth",qMRL.CK-5B,5B,-,"Xbarc112, Xgwm499",-,https://www.nature.com/articles/s41598-019-47038-2.pdf
462,"Triticum aestivum","Morphological trait","Root depth",qMRL.CK-7B,7B,-,"Xbarc257.2, Xgwm46",-,https://www.nature.com/articles/s41598-019-47038-2.pdf
463,"Triticum aestivum","Morphological trait","Root depth",qMRL.LN-2B,2B,-,"gwm210, Xbarc1138.2",-,https://www.nature.com/articles/s41598-019-47038-2.pdf
464,"Triticum aestivum","Morphological trait","Root depth",qMRL.LN-5A,5A,-,"Xgwm443.1, Xcfa21041",-,https://www.nature.com/articles/s41598-019-47038-2.pdf
465,"Triticum aestivum","Morphological trait","Root depth",qMRL.LP-2B,2B,-,"gwm210, Xbarc1138.2",-,https://www.nature.com/articles/s41598-019-47038-2.pdf
