id,species,trait,parameter,mqtl_name,chromosome,position_interval,associated_markers,pve,candidate_gene,reference,doi,source_file
M00502,Triticum aestivum,Yield,spike length,MQTL-2D.17,2D,602907693-633109810,,,,,https://acsess.onlinelibrary.wiley.com/doi/full/10.1002/tpg2.20492/,MQTL_all traitsV3.0_final
M00503,Triticum aestivum,Yield,spike length,MQTL-2D.18,2D,633212748-729972710,,,,,https://acsess.onlinelibrary.wiley.com/doi/full/10.1002/tpg2.20492/,MQTL_all traitsV3.0_final
M00504,Triticum aestivum,Yield,spike length,MQTL-2D.19,2D,636681219-700815843,,,,,https://acsess.onlinelibrary.wiley.com/doi/full/10.1002/tpg2.20492/,MQTL_all traitsV3.0_final
M00505,Triticum aestivum,Yield,spike length,MQTL-2D.20,2D,439585038-508918550,,,,,https://acsess.onlinelibrary.wiley.com/doi/full/10.1002/tpg2.20492/,MQTL_all traitsV3.0_final
M00506,Triticum aestivum,Yield,spike length,MQTL-2D.21,2D,466987665-485860431,,,,,https://acsess.onlinelibrary.wiley.com/doi/full/10.1002/tpg2.20492/,MQTL_all traitsV3.0_final
M00507,Triticum aestivum,Yield,spike length,MQTL-2D.22,2D,28253458-98275434,,,,,https://acsess.onlinelibrary.wiley.com/doi/full/10.1002/tpg2.20492/,MQTL_all traitsV3.0_final
M00508,Triticum aestivum,Yield,spike length,MQTL-2D.23,2D,494874054-509998271,,,,,https://acsess.onlinelibrary.wiley.com/doi/full/10.1002/tpg2.20492/,MQTL_all traitsV3.0_final
M00509,Triticum aestivum,Yield,spike length,MQTL-2D.24,2D,559064055-574743668,,,,,https://acsess.onlinelibrary.wiley.com/doi/full/10.1002/tpg2.20492/,MQTL_all traitsV3.0_final
M00510,Triticum aestivum,Yield,spike length,MQTL-2D.25,2D,584036905-590603990,,,,,https://acsess.onlinelibrary.wiley.com/doi/full/10.1002/tpg2.20492/,MQTL_all traitsV3.0_final
M00511,Triticum aestivum,Yield,spike length,MQTL-2D.26,2D,20663569-42701593,,,,,https://acsess.onlinelibrary.wiley.com/doi/full/10.1002/tpg2.20492/,MQTL_all traitsV3.0_final
M00512,Triticum aestivum,Yield,spike length,MQTL-2D.27,2D,502023928-511588331,,,,,https://acsess.onlinelibrary.wiley.com/doi/full/10.1002/tpg2.20492/,MQTL_all traitsV3.0_final
M00513,Triticum aestivum,Yield,spike length,MQTL-2D.28,2D,530269058-545333660,,,,,https://acsess.onlinelibrary.wiley.com/doi/full/10.1002/tpg2.20492/,MQTL_all traitsV3.0_final
M00514,Triticum aestivum,Yield,spike length,MQTL-2D.29,2D,534339766-548288258,,,,,https://acsess.onlinelibrary.wiley.com/doi/full/10.1002/tpg2.20492/,MQTL_all traitsV3.0_final
M00515,Triticum aestivum,Yield,spike length,MQTL-2D.30,2D,515178782-588767425,,,,,https://acsess.onlinelibrary.wiley.com/doi/full/10.1002/tpg2.20492/,MQTL_all traitsV3.0_final
M00516,Triticum aestivum,Yield,spike length,MQTL-2D.31,2D,477481952-535868082,,,,,https://acsess.onlinelibrary.wiley.com/doi/full/10.1002/tpg2.20492/,MQTL_all traitsV3.0_final
M00517,Triticum aestivum,Yield,spike length,MQTL-2D.32,2D,391334300-438968641,,,,,https://acsess.onlinelibrary.wiley.com/doi/full/10.1002/tpg2.20492/,MQTL_all traitsV3.0_final
M00518,Triticum aestivum,Yield,spike length,MQTL-2D.33,2D,451479042-472396179,,,,,https://acsess.onlinelibrary.wiley.com/doi/full/10.1002/tpg2.20492/,MQTL_all traitsV3.0_final
M00519,Triticum aestivum,Yield,spike length,MQTL-2D.34,2D,462750767-547092753,,,,,https://acsess.onlinelibrary.wiley.com/doi/full/10.1002/tpg2.20492/,MQTL_all traitsV3.0_final
M00520,Triticum aestivum,Yield,spike length,MQTL-2D.35,2D,31384520-47984771,,,,,https://acsess.onlinelibrary.wiley.com/doi/full/10.1002/tpg2.20492/,MQTL_all traitsV3.0_final
M00521,Triticum aestivum,Yield,spike length,MQTL-2D.36,2D,53528109-116297119,,,,,https://acsess.onlinelibrary.wiley.com/doi/full/10.1002/tpg2.20492/,MQTL_all traitsV3.0_final
M00522,Triticum aestivum,Yield,spike length,MQTL-2D.37,2D,547815268-558849224,,,,,https://acsess.onlinelibrary.wiley.com/doi/full/10.1002/tpg2.20492/,MQTL_all traitsV3.0_final
M00523,Triticum aestivum,Yield,spike length,MQTL-2D.38,2D,573474525-616348125,,,,,https://acsess.onlinelibrary.wiley.com/doi/full/10.1002/tpg2.20492/,MQTL_all traitsV3.0_final
M00524,Triticum aestivum,Yield,spike length,MQTL-2D.39,2D,581893670-592068025,,,,,https://acsess.onlinelibrary.wiley.com/doi/full/10.1002/tpg2.20492/,MQTL_all traitsV3.0_final
M00525,Triticum aestivum,Yield,spike length,MQTL-2D.40,2D,597465110-613979318,,,,,https://acsess.onlinelibrary.wiley.com/doi/full/10.1002/tpg2.20492/,MQTL_all traitsV3.0_final
M00526,Triticum aestivum,Developmental traits,Earliness/Flowering time-photoperiod sensitivity-intrinsic earliness,2,2B,46.8/43.5-50.1,,12.5,,,https://link.springer.com/article/10.1007%2Fs00122-006-0459-z,MQTL_all traitsV3.0_final
M00527,Triticum aestivum,Developmental traits,Earliness/Heading date,18,7D,150.9/144.9-156.9,,6.9,,,https://link.springer.com/article/10.1007%2Fs00122-006-0459-z,MQTL_all traitsV3.0_final
M00528,Triticum aestivum,Developmental traits,Earliness/Heading date- intrinsic earliness,16,7A,57.7/48.4-67.1,,8.1,,,https://link.springer.com/article/10.1007%2Fs00122-006-0459-z,MQTL_all traitsV3.0_final
M00529,Triticum aestivum,Developmental traits,Earliness/Heading date- intrinsic earliness,17,7B,45.0/34.5-55.5,,8.4,,,https://link.springer.com/article/10.1007%2Fs00122-006-0459-z,MQTL_all traitsV3.0_final
M00530,Triticum aestivum,Developmental traits,Earliness/Heading date- photoperiod sensitivity,7,4A,48.2/45.8-50.6,,8.6,,,https://link.springer.com/article/10.1007%2Fs00122-006-0459-z,MQTL_all traitsV3.0_final
M00531,Triticum aestivum,Developmental traits,Earliness/Heading date- photoperiod sensitivity,8,4B,24.3/23.8-24.9,,6,,,https://link.springer.com/article/10.1007%2Fs00122-006-0459-z,MQTL_all traitsV3.0_final
M00532,Triticum aestivum,Developmental traits,Earliness/Heading date- photoperiod sensitivity,9,5A,76.5/72.6-80.3,,10.3,,,https://link.springer.com/article/10.1007%2Fs00122-006-0459-z,MQTL_all traitsV3.0_final
M00533,Triticum aestivum,Developmental traits,Earliness/Heading date-intrinsic earliness,1,2B,38.5/35.9-41,,21.1,,,https://link.springer.com/article/10.1007%2Fs00122-006-0459-z,MQTL_all traitsV3.0_final
M00534,Triticum aestivum,Developmental traits,Earliness/Heading date-intrinsic earliness,4,2D,37.6/36.8-38.3,,30.3,,,https://link.springer.com/article/10.1007%2Fs00122-006-0459-z,MQTL_all traitsV3.0_final
M00535,Triticum aestivum,Developmental traits,Earliness/Heading date-intrinsic earliness,6,2D,46.1/45.5-46.6,,22.6,,,https://link.springer.com/article/10.1007%2Fs00122-006-0459-z,MQTL_all traitsV3.0_final
M00536,Triticum aestivum,Developmental traits,Earliness/Heading date-intrinsic earliness,11,5B,38.5/30-46.9,,14.7,,,https://link.springer.com/article/10.1007%2Fs00122-006-0459-z,MQTL_all traitsV3.0_final
M00537,Triticum aestivum,Developmental traits,Earliness/Heading date-photoperiod sensitivity,5,2D,41.1/40.8-41.4,,38.9,,,https://link.springer.com/article/10.1007%2Fs00122-006-0459-z,MQTL_all traitsV3.0_final
M00538,Triticum aestivum,Developmental traits,Earliness/Intrinsic earliness- Heading date-vernalization requirement,12,5B,76.5/71.6-81.4,,10.9,,,https://link.springer.com/article/10.1007%2Fs00122-006-0459-z,MQTL_all traitsV3.0_final
M00539,Triticum aestivum,Developmental traits,Earliness/Photoperiod sensitivity-winter hardiness,15,6A,25.6/23.4-27.9,,11.3,,,https://link.springer.com/article/10.1007%2Fs00122-006-0459-z,MQTL_all traitsV3.0_final
M00540,Triticum aestivum,Developmental traits,Earliness/Vernalization requirement,3,2B,77.0/70.5-83.5,,6.7,,,https://link.springer.com/article/10.1007%2Fs00122-006-0459-z,MQTL_all traitsV3.0_final
M00541,Triticum aestivum,Developmental traits,Earliness/Vernalization requirement,14,5D,115/101-129.1,,7.7,,,https://link.springer.com/article/10.1007%2Fs00122-006-0459-z,MQTL_all traitsV3.0_final
M00542,Triticum aestivum,Developmental traits,Earliness/Vernalization requirement- Heading date,10,5A,106.5/104.9-108.1,,17.4,,,https://link.springer.com/article/10.1007%2Fs00122-006-0459-z,MQTL_all traitsV3.0_final
M00543,Triticum aestivum,Developmental traits,Earliness/Vernalization requirement- Heading date-photoperiod sensitivity,13,5B,113.4/111.3-115.5,,21,,,https://link.springer.com/article/10.1007%2Fs00122-006-0459-z,MQTL_all traitsV3.0_final
M00544,Triticum aestivum,Developmental traits,Heading time,MQTL1,1B,100-110.9,,,,,https://link.springer.com/article/10.1007%2Fs00122-009-1046-x,MQTL_all traitsV3.0_final
M00545,Triticum aestivum,Developmental traits,Heading time,MQTL2,1B,31.9-39.8,,,,,https://link.springer.com/article/10.1007%2Fs00122-009-1046-x,MQTL_all traitsV3.0_final
M00546,Triticum aestivum,Developmental traits,Heading time,MQTL3,1D,115-117,,,,,https://link.springer.com/article/10.1007%2Fs00122-009-1046-x,MQTL_all traitsV3.0_final
M00547,Triticum aestivum,Developmental traits,Heading time,MQTL4,2A,11-48.4,,,,,https://link.springer.com/article/10.1007%2Fs00122-009-1046-x,MQTL_all traitsV3.0_final
M00548,Triticum aestivum,Developmental traits,Heading time,MQTL5,2A,40.6-85.2,,,,,https://link.springer.com/article/10.1007%2Fs00122-009-1046-x,MQTL_all traitsV3.0_final
M00549,Triticum aestivum,Developmental traits,Heading time,MQTL6,3A,41.7-52.5,,,,,https://link.springer.com/article/10.1007%2Fs00122-009-1046-x,MQTL_all traitsV3.0_final
M00550,Triticum aestivum,Developmental traits,Heading time,MQTL7,3B,37.5-39.7,,,,,https://link.springer.com/article/10.1007%2Fs00122-009-1046-x,MQTL_all traitsV3.0_final
M00551,Triticum aestivum,Developmental traits,Heading time,MQTL8,3B,52.1-78.7,,,,,https://link.springer.com/article/10.1007%2Fs00122-009-1046-x,MQTL_all traitsV3.0_final
M00552,Triticum aestivum,Developmental traits,Heading time,MQTL9,4B,46.5-68.2,,,,,https://link.springer.com/article/10.1007%2Fs00122-009-1046-x,MQTL_all traitsV3.0_final
M00553,Triticum aestivum,Developmental traits,Heading time,MQTL10,4D,19-38.3,,,,,https://link.springer.com/article/10.1007%2Fs00122-009-1046-x,MQTL_all traitsV3.0_final
M00554,Triticum aestivum,Developmental traits,Heading time,MQTL11,5A,42.4-103.1,,,,,https://link.springer.com/article/10.1007%2Fs00122-009-1046-x,MQTL_all traitsV3.0_final
M00555,Triticum aestivum,Developmental traits,Heading time,MQTL12,5A,127.2-150.5,,,,,https://link.springer.com/article/10.1007%2Fs00122-009-1046-x,MQTL_all traitsV3.0_final
M00556,Triticum aestivum,Developmental traits,Heading time,MQTL13,5B,70.8-129,,,,,https://link.springer.com/article/10.1007%2Fs00122-009-1046-x,MQTL_all traitsV3.0_final
M00557,Triticum aestivum,Developmental traits,Heading time,MQTL14,6A,29.7-51.5,,,,,https://link.springer.com/article/10.1007%2Fs00122-009-1046-x,MQTL_all traitsV3.0_final
M00558,Triticum aestivum,Developmental traits,Heading time,MQTL15,6B,41.8-62.7,,,,,https://link.springer.com/article/10.1007%2Fs00122-009-1046-x,MQTL_all traitsV3.0_final
M00559,Triticum aestivum,Developmental traits,Heading time,MQTL16,7A,14-29.6,,,,,https://link.springer.com/article/10.1007%2Fs00122-009-1046-x,MQTL_all traitsV3.0_final
M00560,Triticum aestivum,Developmental traits,Heading time,MQTL17,7A,54.3-74.9,,,,,https://link.springer.com/article/10.1007%2Fs00122-009-1046-x,MQTL_all traitsV3.0_final
M00561,Triticum aestivum,Developmental traits,Heading time,MQTL18,7B,151.4-240.7,,,,,https://link.springer.com/article/10.1007%2Fs00122-009-1046-x,MQTL_all traitsV3.0_final
M00562,Triticum aestivum,Developmental traits,Heading time,MQTL19,7D,138.5-154.3,,,,,https://link.springer.com/article/10.1007%2Fs00122-009-1046-x,MQTL_all traitsV3.0_final
M00563,Triticum aestivum,Developmental traits,Grain filling rate,MQTL-1A-1,1A,15.95 (14.67-17.24),,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00564,Triticum aestivum,Developmental traits,Grain filling rate,MQTL-1B-3,1B,38.37 (36.95-39.80),,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00565,Triticum aestivum,Developmental traits,Grain filling rate,MQTL-1B-6,1B,76.65 (76.50-76.81),,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00566,Triticum aestivum,Developmental traits,Grain filling rate,MQTL-1D-3,1D,62.24 (59.32-65.17),,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00567,Triticum aestivum,Developmental traits,Grain filling rate,MQTL-2A-1,2A,13.29 (12.37-14.22),,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00568,Triticum aestivum,Developmental traits,Grain filling rate,MQTL-2A-2,2A,30.92 (30.00-31.84),,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00569,Triticum aestivum,Developmental traits,Grain filling rate,MQTL-3B-1,3B,6.84 (5.93-7.76),,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00570,Triticum aestivum,Developmental traits,Grain filling rate,MQTL-3B-3,3B,32.93 (30.40-35.46),,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00571,Triticum aestivum,Developmental traits,Grain filling rate,MQTL-3D-1,3D,12.31 (8.75-15.87),,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00572,Triticum aestivum,Developmental traits,Grain filling rate,MQTL-4D-1,4D,10.16 (8.32-12.00),,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00573,Triticum aestivum,Developmental traits,Grain filling rate,MQTL-4D-5,4D,83.31 (82.52-84.11),,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00574,Triticum aestivum,Developmental traits,Grain filling rate,MQTL-5A-2,5A,42.04 (41.39-42.70),,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00575,Triticum aestivum,Developmental traits,Grain filling rate,MQTL-5B-3,5B,39.66 (38.08-41.25),,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00576,Triticum aestivum,Developmental traits,Grain filling rate,MQTL-5B-6,5B,65.17 (62.40-67.95),,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00577,Triticum aestivum,Developmental traits,Grain filling rate,MQTL-5D-3,5D,23.91 (21.52-26.31),,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00578,Triticum aestivum,Developmental traits,Grain filling rate,MQTL-5D-4,5D,46.72 (44.96-48.49),,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00579,Triticum aestivum,Developmental traits,Grain filling rate,MQTL-6D-2,6D,37.21 (35.28-39.15),,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00580,Triticum aestivum,Developmental traits,Grain filling rate,MQTL-6D-3,6D,64.56 (63.32-65.81),,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00581,Triticum aestivum,Developmental traits,Grain filling rate,MQTL-7B-6,7B,89.33 (87.16-91.50),,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00582,Triticum aestivum,Developmental traits,Flowering date,MQTL-1B-1,1B,12.75 (9.32-16.19),,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00583,Triticum aestivum,Developmental traits,Flowering date,MQTL-2B-4,2B,109.36 (104.61-114.12),,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00584,Triticum aestivum,Developmental traits,Flowering date,MQTL-2D-5,2D,41.68 (40.90-42.47),,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00585,Triticum aestivum,Developmental traits,Flowering date,MQTL-3A-5,3A,66.76 (65.79-67.73),,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00586,Triticum aestivum,Developmental traits,Flowering date,MQTL-3A-6,3A,81.36 (80.05-82.68),,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00587,Triticum aestivum,Developmental traits,Flowering date,MQTL-3B-5,3B,69.47 (68.34-70.60),,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00588,Triticum aestivum,Developmental traits,Flowering date,MQTL-5A-2,5A,42.04 (41.39-42.70),,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00589,Triticum aestivum,Developmental traits,Flowering date,MQTL-5B-1,5B,9.73 (8.74-10.72),,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00590,Triticum aestivum,Developmental traits,Flowering date,MQTL-5B-3,5B,39.66 (38.08-41.25),,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00591,Triticum aestivum,Developmental traits,Flowering date,MQTL-5D-6,5D,71.48 (69.87-73.09),,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00592,Triticum aestivum,Developmental traits,Flowering date,MQTL-6A-4,6A,49.75 (48.04-51.46),,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00593,Triticum aestivum,Developmental traits,Flowering date,MQTL-6B-3,6B,40.57 (39.27-41.87),,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00594,Triticum aestivum,Developmental traits,Flowering date,MQTL-6B-4,6B,51.44 (50.37-52.51),,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00595,Triticum aestivum,Developmental traits,Flowering date,MQTL-6D-2,6D,37.21 (35.28-39.15),,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00596,Triticum aestivum,Developmental traits,Flowering date,MQTL-7B-2,7B,28.48 (26.37-30.59),,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00597,Triticum aestivum,Developmental traits,Days to heading,MQTL-1D-5,1D,86 (83.47-88.53),,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00598,Triticum aestivum,Developmental traits,Days to heading,MQTL-1D-7,1D,127.92 (126.90-128.94),,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00599,Triticum aestivum,Developmental traits,Days to heading,MQTL-2B-1,2B,50.7 (44.98-56.42),,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00600,Triticum aestivum,Developmental traits,Days to heading,MQTL-2B-3,2B,95.09 (90.61-99.57),,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00601,Triticum aestivum,Developmental traits,Days to heading,MQTL-2B-4,2B,109.36 (104.61-114.12),,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00602,Triticum aestivum,Developmental traits,Days to heading,MQTL-2D-5,2D,41.68 (40.90-42.47),,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00603,Triticum aestivum,Developmental traits,Days to heading,MQTL-2D-6,2D,72.57 (72.48-72.66),,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00604,Triticum aestivum,Developmental traits,Days to heading,MQTL-3A-1,3A,19.4 (18.40-20.41),,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00605,Triticum aestivum,Developmental traits,Days to heading,MQTL-3A-3,3A,55.85 (54.53-57.17),,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00606,Triticum aestivum,Developmental traits,Days to heading,MQTL-3A-6,3A,81.36 (80.05-82.68),,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00607,Triticum aestivum,Developmental traits,Days to heading,MQTL-3B-5,3B,69.47 (68.34-70.60),,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00608,Triticum aestivum,Developmental traits,Days to heading,MQTL-3D-1,3D,12.31 (8.75-15.87),,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00609,Triticum aestivum,Developmental traits,Days to heading,MQTL-4B-5,4B,51.63 (51.19-52.07),,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00610,Triticum aestivum,Developmental traits,Days to heading,MQTL-5A-5,5A,77.15 (75.81-78.49),,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00611,Triticum aestivum,Developmental traits,Days to heading,MQTL-5B-6,5B,65.17 (62.40-67.95),,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00612,Triticum aestivum,Developmental traits,Days to heading,MQTL-5B-9,5B,128.96 (128.40-129.53),,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00613,Triticum aestivum,Developmental traits,Days to heading,MQTL-5D-1,5D,0.32 (0.00-1.18),,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00614,Triticum aestivum,Developmental traits,Days to heading,MQTL-5D-3,5D,23.91 (21.52-26.31),,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00615,Triticum aestivum,Developmental traits,Days to heading,MQTL-5D-7,5D,95.69 (94.02-97.36),,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00616,Triticum aestivum,Developmental traits,Days to heading,MQTL-5D-8,5D,121.09 (121.03-121.16),,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00617,Triticum aestivum,Developmental traits,Days to heading,MQTL-6A-4,6A,49.75 (48.04-51.46),,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00618,Triticum aestivum,Developmental traits,Days to heading,MQTL-6B-1,6B,5.05 (2.40-7.70),,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00619,Triticum aestivum,Developmental traits,Days to heading,MQTL-6B-4,6B,51.44 (50.37-52.51),,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00620,Triticum aestivum,Developmental traits,Days to heading,MQTL-7A-2,7A,37.87 (36.69-39.06),,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00621,Triticum aestivum,Developmental traits,Days to heading,MQTL-7A-5,7A,86.3 (84.83-87.77),,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00622,Triticum aestivum,Developmental traits,Days to heading,MQTL-7B-2,7B,28.48 (26.37-30.59),,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00623,Triticum aestivum,Developmental traits,Days to heading,MQTL-7B-4,7B,63.45 (62.12-64.79),,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00624,Triticum aestivum,Developmental traits,Days to heading,MQTL-7B-5,7B,69.28 (68.09-70.47),,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00625,Triticum aestivum,Developmental traits,Days to heading,MQTL-7D-1,7D,25.56 (23.12-28.00),,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00626,Triticum aestivum,Developmental traits,Days to heading,MQTL-7D-4,7D,76.83 (75.02-78.64),,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00627,Triticum aestivum,Developmental traits,Days to maturity,MQTL-2A-1,2A,13.29 (12.37-14.22),,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00628,Triticum aestivum,Developmental traits,Days to maturity,MQTL-2D-5,2D,41.68 (40.90-42.47),,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00629,Triticum aestivum,Developmental traits,Days to maturity,MQTL-4A-4,4A,41.36 (39.61-43.12),,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00630,Triticum aestivum,Developmental traits,Days to maturity,MQTL-4B-1,4B,10.5 (9.11-11.89),,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00631,Triticum aestivum,Developmental traits,Days to maturity,MQTL-4D-3,4D,39.08 (36.64-41.52),,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00632,Triticum aestivum,Developmental traits,Days to maturity,MQTL-5B-3,5B,39.66 (38.08-41.25),,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00633,Triticum aestivum,Developmental traits,Days to maturity,MQTL-5D-7,5D,95.69 (94.02-97.36),,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00634,Triticum aestivum,Developmental traits,Days to maturity,MQTL-7A-2,7A,37.87 (36.69-39.06),,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00635,Triticum aestivum,Developmental traits,Days to maturity,MQTL-7A-3,7A,61.77 (60.72-62.82),,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00636,Triticum aestivum,Developmental traits,Days to maturity,MQTL-7B-6,7B,89.33 (87.16-91.50),,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00637,Triticum aestivum,Developmental traits,Days to maturity,MQTL-7D-3,7D,69.74 (67.98-71.51),,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00638,Triticum aestivum,Developmental traits,Days to maturity,MQTL-7D-4,7D,76.83 (75.02-78.64),,,,,https://link.springer.com/article/10.1007/s00122-021-03881-4,MQTL_all traitsV3.0_final
M00639,Triticum aestivum,Developmental traits,Days to flowering,MQTL1A.5,1A,23.8–26.5,,17.9,,,https://link.springer.com/article/10.1007/S00122-021-04018-3,MQTL_all traitsV3.0_final
M00640,Triticum aestivum,Developmental traits,Days to flowering,MQTL1B.1,1B,2.3–6.3,,18.7,,,https://link.springer.com/article/10.1007/S00122-021-04018-3,MQTL_all traitsV3.0_final
