id,species,trait,parameter,cross,population,method,qtl1,chromosome1,position_interval1,markers1,qtl2,chromosome2,position_interval2,markers2,lod,pve,reference,doi,source_file
E00290,Triticum aestivum,Yield,thousand kernel weight,TAM113 and Gallagher,191 recombinant inbred line,ICIM,19BSP_20EMN_21BD,7A,0,chr7A_3629954-chr7A_3634893,,7A,,chr7A_3629954-chr7A_3634893,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00291,Triticum aestivum,Yield,thousand kernel weight,TAM113 and Gallagher,191 recombinant inbred line,ICIM,19BSP_20EMN_21BD,1D,20,chr1D_23524136-chr1D_23645909,,1D,,chr1D_23524136-chr1D_23645909,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00292,Triticum aestivum,Yield,thousand kernel weight,TAM113 and Gallagher,191 recombinant inbred line,ICIM,19BSP_20EMN_21BD,7B,130,chr7B_704838015-chr7B_706085986,,7B,,chr7B_704838015-chr7B_706085986,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00293,Triticum aestivum,Yield,thousand kernel weight,TAM113 and Gallagher,191 recombinant inbred line,ICIM,19BSP_20EMN_21BD,5B,130,chr5B_279561781-chr5B_241279303,,5B,,chr5B_279561781-chr5B_241279303,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00294,Triticum aestivum,Yield,thousand kernel weight,TAM113 and Gallagher,191 recombinant inbred line,ICIM,19BSP_20EMN_21BD,7B,100,chr7B_676513873-chr7B_679611452,,7B,,chr7B_676513873-chr7B_679611452,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00295,Triticum aestivum,Yield,thousand kernel weight,TAM113 and Gallagher,191 recombinant inbred line,ICIM,19BSP_20EMN_21BD,2A,140,chr2A_165527872-chr2A_137376089,,2A,,chr2A_165527872-chr2A_137376089,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00296,Triticum aestivum,Yield,yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,21BD_20MCG_20EMN_20CS_19CS_19BSP,1A,165,chr1A_541729351-chr1A_540675887,,1A,,chr1A_541729351-chr1A_540675887,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00297,Triticum aestivum,Yield,yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,21BD_20MCG_20EMN_20CS_19CS_19BSP,7A,290,chr7A_712419459-chr7A_712491985,,7A,,chr7A_712419459-chr7A_712491985,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00298,Triticum aestivum,Yield,yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,21BD_20MCG_20EMN_20CS_19CS_19BSP,4A,355,chr4A_707358385-chr4A_703210339,,4A,,chr4A_707358385-chr4A_703210339,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00299,Triticum aestivum,Yield,yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,21BD_20MCG_20EMN_20CS_19CS_19BSP,1B,80,chr1B_666539639-chr1B_669140071,,1B,,chr1B_666539639-chr1B_669140071,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00300,Triticum aestivum,Yield,yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,21BD_20MCG_20EMN_20CS_19CS_19BSP,7A,220,chr7A_641873183-chr7A_644302898,,7A,,chr7A_641873183-chr7A_644302898,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00301,Triticum aestivum,Yield,yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,21BD_20MCG_20EMN_20CS_19CS_19BSP,4A,210,chr4A_603246815-chr4A_603378592,,4A,,chr4A_603246815-chr4A_603378592,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00302,Triticum aestivum,Yield,yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,21BD_20MCG_20EMN_20CS_19CS_19BSP,2B,90,chr2B_44169180-chr2B_45167914,,2B,,chr2B_44169180-chr2B_45167914,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00303,Triticum aestivum,Yield,yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,21BD_20MCG_20EMN_20CS_19CS_19BSP,3B,25,chr3B_20360637-chr3B_20488221,,3B,,chr3B_20360637-chr3B_20488221,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00304,Triticum aestivum,Yield,yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,21BD_20MCG_20EMN_20CS_19CS_19BSP,1A,235,chr1A_583256428-chr1A_586491986,,1A,,chr1A_583256428-chr1A_586491986,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00305,Triticum aestivum,Yield,yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,21BD_20MCG_20EMN_20CS_19CS_19BSP,2D,65,chr2D_38643811-chr2D_39423425,,2D,,chr2D_38643811-chr2D_39423425,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00306,Triticum aestivum,Yield,yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,21BD_20MCG_20EMN_20CS_19CS_19BSP,2D,60,chr2D_32901354-chr2D_34562299,,2D,,chr2D_32901354-chr2D_34562299,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00307,Triticum aestivum,Yield,yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,21BD_20MCG_20EMN_20CS_19CS_19BSP,5A,55,chr5A_448894902-chr5A_455607699,,5A,,chr5A_448894902-chr5A_455607699,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00308,Triticum aestivum,Yield,yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,21BD_20MCG_20EMN_20CS_19CS_19BSP,4B,50,chr4B_336444075-chr4B_425465862,,4B,,chr4B_336444075-chr4B_425465862,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00309,Triticum aestivum,Yield,yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,21BD_20MCG_20EMN_20CS_19CS_19BSP,3A,160,chr3A_701310422-chr3A_700362670,,3A,,chr3A_701310422-chr3A_700362670,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00310,Triticum aestivum,Yield,yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,21BD_20MCG_20EMN_20CS_19CS_19BSP,3D,25,chr3D_23877742-chr3D_26681972,,3D,,chr3D_23877742-chr3D_26681972,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00311,Triticum aestivum,Yield,yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,21BD_20MCG_20EMN_20CS_19CS_19BSP,5A,35,chr5A_17395391-chr5A_445690922,,5A,,chr5A_17395391-chr5A_445690922,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00312,Triticum aestivum,Yield,yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,21BD_20MCG_20EMN_20CS_19CS_19BSP,3B,310,chr3B_752969438-chr3B_771634585,,3B,,chr3B_752969438-chr3B_771634585,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00313,Triticum aestivum,Yield,yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,21BD_20MCG_20EMN_20CS_19CS_19BSP,2B,75,chr2B_36609750-chr2B_37131502,,2B,,chr2B_36609750-chr2B_37131502,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00314,Triticum aestivum,Yield,yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,21BD_20MCG_20EMN_20CS_19CS_19BSP,6D,55,chr6D_419545149-chr6D_422078463,,6D,,chr6D_419545149-chr6D_422078463,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00315,Triticum aestivum,Yield,yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,21BD_20MCG_20EMN_20CS_19CS_19BSP,1D,15,chr1D_18242735-chr1D_20282486,,1D,,chr1D_18242735-chr1D_20282486,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00316,Triticum aestivum,Yield,yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,21BD_20MCG_20EMN_20CS_19CS_19BSP,1B,25,chr1B_619535304-chr1B_620046863,,1B,,chr1B_619535304-chr1B_620046863,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00317,Triticum aestivum,Yield,yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,21BD_20MCG_20EMN_20CS_19CS_19BSP,3D,75,chr3D_521664824-chr3D_527350266,,3D,,chr3D_521664824-chr3D_527350266,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00318,Triticum aestivum,Yield,yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,21BD_20MCG_20EMN_20CS_19CS_19BSP,3A,0,chr3A_86746-chr3A_97605,,3A,,chr3A_86746-chr3A_97605,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00319,Triticum aestivum,Yield,yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,21BD_20MCG_20EMN_20CS_19CS_19BSP,2A,75,chr2A_720852482-chr2A_720445303,,2A,,chr2A_720852482-chr2A_720445303,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00320,Triticum aestivum,Yield,yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,21BD_20MCG_20EMN_20CS_19CS_19BSP,6D,75,chr6D_444507525-chr6D_446511828,,6D,,chr6D_444507525-chr6D_446511828,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00321,Triticum aestivum,Yield,yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,21BD_20MCG_20EMN_20CS_19CS_19BSP,6D,25,chr6D_261885474-chr6D_257398439,,6D,,chr6D_261885474-chr6D_257398439,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00322,Triticum aestivum,Yield,yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,21BD_20MCG_20EMN_20CS_19CS_19BSP,3A,90,chr3A_536739886-chr3A_530416927,,3A,,chr3A_536739886-chr3A_530416927,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00323,Triticum aestivum,Yield,yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,21BD_20MCG_20EMN_20CS_19CS_19BSP,1A,180,chr1A_550791392-chr1A_551458580,,1A,,chr1A_550791392-chr1A_551458580,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00324,Triticum aestivum,Yield,yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,21BD_20MCG_20EMN_20CS_19CS_19BSP,1A,50,chr1A_24250688-chr1A_25289728,,1A,,chr1A_24250688-chr1A_25289728,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00325,Triticum aestivum,Yield,yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,21BD_20MCG_20EMN_20CS_19CS_19BSP,3A,130,chr3A_670933453-chr3A_675559918,,3A,,chr3A_670933453-chr3A_675559918,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00326,Triticum aestivum,Yield,yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,21BD_20MCG_20EMN_20CS_19CS_19BSP,5A,165,chr5A_648534665-chr5A_651535650,,5A,,chr5A_648534665-chr5A_651535650,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00327,Triticum aestivum,Yield,yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,21BD_20MCG_20EMN_20CS_19CS_19BSP,4D,60,chr4D_420034306-chr4D_425465816,,4D,,chr4D_420034306-chr4D_425465816,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00328,Triticum aestivum,Yield,yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,21BD_20MCG_20EMN_20CS_19CS_19BSP,2A,80,chr2A_715800375-chr2A_714030884,,2A,,chr2A_715800375-chr2A_714030884,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00329,Triticum aestivum,Yield,yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,21BD_20MCG_20EMN_20CS_19CS_19BSP,1B,0,chr1B_471584104-chr1B_471747282,,1B,,chr1B_471584104-chr1B_471747282,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00330,Triticum aestivum,Yield,yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,21BD_20MCG_20EMN_20CS_19CS_19BSP,1D,45,chr1D_369167290-chr1D_373436689,,1D,,chr1D_369167290-chr1D_373436689,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00331,Triticum aestivum,Yield,yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,21BD_20MCG_20EMN_20CS_19CS_19BSP,4B,120,chr4B_339581167-chr4B_153603622,,4B,,chr4B_339581167-chr4B_153603622,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00332,Triticum aestivum,Yield,yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,21BD_20MCG_20EMN_20CS_19CS_19BSP,1D,60,chr1D_408786164-chr1D_432536918,,1D,,chr1D_408786164-chr1D_432536918,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00333,Triticum aestivum,Yield,yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,21BD_20MCG_20EMN_20CS_19CS_19BSP,1A,35,chr1A_22468533-chr1A_22610519,,1A,,chr1A_22468533-chr1A_22610519,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00334,Triticum aestivum,Yield,yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,21BD_20MCG_20EMN_20CS_19CS_19BSP,7D,60,chr7D_46519380-chr7D_47800230,,7D,,chr7D_46519380-chr7D_47800230,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00335,Triticum aestivum,Yield,yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,21BD_20MCG_20EMN_20CS_19CS_19BSP,2D,210,chr2D_611226987-chr2D_614726879,,2D,,chr2D_611226987-chr2D_614726879,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00336,Triticum aestivum,Yield,yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,21BD_20MCG_20EMN_20CS_19CS_19BSP,3D,70,chr3D_502336435-chr3D_508318101,,3D,,chr3D_502336435-chr3D_508318101,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00337,Triticum aestivum,Yield,yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,21BD_20MCG_20EMN_20CS_19CS_19BSP,2D,225,chr2D_626319976-chr2D_630595495,,2D,,chr2D_626319976-chr2D_630595495,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00338,Triticum aestivum,Yield,yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,21BD_20MCG_20EMN_20CS_19CS_19BSP,6A,65,chr6A_100368136-chr6A_85855164,,6A,,chr6A_100368136-chr6A_85855164,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00339,Triticum aestivum,Yield,yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,21BD_20MCG_20EMN_20CS_19CS_19BSP,4B,135,chr4B_217918871-chr4B_173796479,,4B,,chr4B_217918871-chr4B_173796479,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00340,Triticum aestivum,Yield,yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,21BD_20MCG_20EMN_20CS_19CS_19BSP,4A,255,chr4A_625369101-chr4A_625390066,,4A,,chr4A_625369101-chr4A_625390066,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00341,Triticum aestivum,Yield,yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,21BD_20MCG_20EMN_20CS_19CS_19BSP,2D,0,chr2D_1252289-chr2D_3654929,,2D,,chr2D_1252289-chr2D_3654929,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00342,Triticum aestivum,Yield,yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,21BD_20MCG_20EMN_20CS_19CS_19BSP,4B,370,chr4B_667257525-chr4B_667890569,,4B,,chr4B_667257525-chr4B_667890569,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00343,Triticum aestivum,Yield,yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,21BD_20MCG_20EMN_20CS_19CS_19BSP,1B,45,chr1B_639115201-chr1B_641519463,,1B,,chr1B_639115201-chr1B_641519463,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00344,Triticum aestivum,Yield,yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,21BD_20MCG_20EMN_20CS_19CS_19BSP,1A,190,chr1A_556844222-chr1A_557119887,,1A,,chr1A_556844222-chr1A_557119887,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00345,Triticum aestivum,Yield,yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,21BD_20MCG_20EMN_20CS_19CS_19BSP,1B,30,chr1B_626444903-chr1B_627296472,,1B,,chr1B_626444903-chr1B_627296472,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00346,Triticum aestivum,Yield,yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,21BD_20MCG_20EMN_20CS_19CS_19BSP,6A,10,chr6A_42698608-chr6A_40642558,,6A,,chr6A_42698608-chr6A_40642558,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00347,Triticum aestivum,Yield,yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,21BD_20MCG_20EMN_20CS_19CS_19BSP,3B,340,chr3B_791520813-chr3B_807441351,,3B,,chr3B_791520813-chr3B_807441351,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00348,Triticum aestivum,Yield,yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,21BD_20MCG_20EMN_20CS_19CS_19BSP,2B,80,chr2B_37131502-chr2B_39377066,,2B,,chr2B_37131502-chr2B_39377066,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00349,Triticum aestivum,Yield,yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,21BD_20MCG_20EMN_20CS_19CS_19BSP,1A,140,chr1A_497934479-chr1A_520530644,,1A,,chr1A_497934479-chr1A_520530644,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00350,Triticum aestivum,Yield,yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,21BD_20MCG_20EMN_20CS_19CS_19BSP,6B,30,chr6B_29197482-chr6B_98561291,,6B,,chr6B_29197482-chr6B_98561291,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00351,Triticum aestivum,Yield,yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,21BD_20MCG_20EMN_20CS_19CS_19BSP,1D,40,chr1D_301131969-chr1D_303554280,,1D,,chr1D_301131969-chr1D_303554280,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00352,Triticum aestivum,Yield,yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,21BD_20MCG_20EMN_20CS_19CS_19BSP,5B,195,chr5B_470254506-chr5B_470902105,,5B,,chr5B_470254506-chr5B_470902105,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00353,Triticum aestivum,Yield,yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,21BD_20MCG_20EMN_20CS_19CS_19BSP,2B,65,chr2B_29568449-chr2B_30338167,,2B,,chr2B_29568449-chr2B_30338167,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00354,Triticum aestivum,Yield,yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,21BD_20MCG_20EMN_20CS_19CS_19BSP,1A,70,chr1A_34174604-chr1A_33386181,,1A,,chr1A_34174604-chr1A_33386181,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00355,Triticum aestivum,Yield,yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,21BD_20MCG_20EMN_20CS_19CS_19BSP,4D,10,chr4D_8437151-chr4D_9929888,,4D,,chr4D_8437151-chr4D_9929888,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00356,Triticum aestivum,Yield,yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,21BD_20MCG_20EMN_20CS_19CS_19BSP,1B,40,chr1B_637574533-chr1B_637894021,,1B,,chr1B_637574533-chr1B_637894021,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00357,Triticum aestivum,Yield,yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,21BD_20MCG_20EMN_20CS_19CS_19BSP,2A,120,chr2A_577056832-chr2A_309564882,,2A,,chr2A_577056832-chr2A_309564882,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00358,Triticum aestivum,Yield,yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,21BD_20MCG_20EMN_20CS_19CS_19BSP,3A,175,chr3A_711914513-chr3A_713720714,,3A,,chr3A_711914513-chr3A_713720714,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00359,Triticum aestivum,Yield,yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,21BD_20MCG_20EMN_20CS_19CS_19BSP,4A,20,chr4A_29303359-chr4A_29387391,,4A,,chr4A_29303359-chr4A_29387391,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00360,Triticum aestivum,Yield,yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,21BD_20MCG_20EMN_20CS_19CS_19BSP,2A,190,chr2A_31836041-chr2A_29885309,,2A,,chr2A_31836041-chr2A_29885309,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00361,Triticum aestivum,Yield,yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,21BD_20MCG_20EMN_20CS_19CS_19BSP,4A,60,chr4A_222759353-chr4A_228148234,,4A,,chr4A_222759353-chr4A_228148234,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00362,Triticum aestivum,Yield,yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,21BD_20MCG_20EMN_20CS_19CS_19BSP,3A,140,chr3A_691124368-chr3A_691294329,,3A,,chr3A_691124368-chr3A_691294329,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00363,Triticum aestivum,Yield,yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,21BD_20MCG_20EMN_20CS_19CS_19BSP,3A,125,chr3A_667089517-chr3A_665757299,,3A,,chr3A_667089517-chr3A_665757299,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00364,Triticum aestivum,Yield,yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,21BD_20MCG_20EMN_20CS_19CS_19BSP,2A,85,chr2A_706229671-chr2A_705538367,,2A,,chr2A_706229671-chr2A_705538367,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00365,Triticum aestivum,Yield,yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,21BD_20MCG_20EMN_20CS_19CS_19BSP,4B,5,chr4B_10393064-chr4B_10778049,,4B,,chr4B_10393064-chr4B_10778049,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00366,Triticum aestivum,Yield,yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,21BD_20MCG_20EMN_20CS_19CS_19BSP,2B,145,chr2B_381973135-chr2B_380315648,,2B,,chr2B_381973135-chr2B_380315648,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00367,Triticum aestivum,Yield,yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,21BD_20MCG_20EMN_20CS_19CS_19BSP,5B,60,chr5B_33535403-chr5B_50085069,,5B,,chr5B_33535403-chr5B_50085069,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00368,Triticum aestivum,Yield,yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,21BD_20MCG_20EMN_20CS_19CS_19BSP,5A,160,chr5A_637703941-chr5A_639596610,,5A,,chr5A_637703941-chr5A_639596610,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00369,Triticum aestivum,Yield,yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,21BD_20MCG_20EMN_20CS_19CS_19BSP,5B,205,chr5B_488300392-chr5B_488303328,,5B,,chr5B_488300392-chr5B_488303328,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00370,Triticum aestivum,Yield,yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,21BD_20MCG_20EMN_20CS_19CS_19BSP,4A,185,chr4A_477864936-chr4A_256977677,,4A,,chr4A_477864936-chr4A_256977677,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00371,Triticum aestivum,Yield,yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,21BD_20MCG_20EMN_20CS_19CS_19BSP,5D,40,chr5D_53544865-chr5D_53918027,,5D,,chr5D_53544865-chr5D_53918027,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00372,Triticum aestivum,Yield,yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,21BD_20MCG_20EMN_20CS_19CS_19BSP,4A,200,chr4A_596884042-chr4A_603030870,,4A,,chr4A_596884042-chr4A_603030870,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00373,Triticum aestivum,Yield,yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,21BD_20MCG_20EMN_20CS_19CS_19BSP,2A,225,chr2A_1241354-chr2A_2638650,,2A,,chr2A_1241354-chr2A_2638650,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
E00374,Triticum aestivum,Yield,yield,TAM113 and Gallagher,191 recombinant inbred line,ICIM,21BD_20MCG_20EMN_20CS_19CS_19BSP,5A,195,chr5A_678268974-chr5A_680669630,,5A,,chr5A_678268974-chr5A_680669630,,,,https://www.mdpi.com/2073-4395/13/9/2402/,Epistatic QTLs_v3.0
