gene_id,chromosome,genome,start,end,n_homoeolog_partners,retention_class,gc_content
TraesCS3A02G225200,3A,A,422327644,422332827,2,triad,45.08
TraesCS3A02G225300,3A,A,422619205,422620634,2,triad,62.52
TraesCS3A02G225400,3A,A,422738070,422738495,0,singleton,64.08
TraesCS3A02G225500,3A,A,422909509,422916916,2,triad,41.44
TraesCS3A02G225600,3A,A,423129409,423130363,2,triad,58.64
TraesCS3A02G225700,3A,A,423480751,423485298,2,triad,39.05
TraesCS3A02G225800,3A,A,423487241,423491329,2,triad,42.58
TraesCS3A02G226000,3A,A,423618970,423621399,2,triad,50.41
TraesCS3A02G226100,3A,A,423671571,423672634,2,triad,62.03
TraesCS3A02G226200,3A,A,423676730,423682697,2,triad,40.73
TraesCS3A02G226300,3A,A,423688971,423689525,2,triad,73.87
TraesCS3A02G226400,3A,A,423707332,423709458,2,triad,51.06
TraesCS3A02G226500,3A,A,423952306,423967642,2,triad,45.75
TraesCS3A02G226600,3A,A,423967211,423968842,2,triad,58.21
TraesCS3A02G226700,3A,A,423975373,423977135,2,triad,50.37
TraesCS3A02G226800,3A,A,424080326,424081273,2,triad,53.8
TraesCS3A02G226900,3A,A,424250368,424251383,2,triad,63.39
TraesCS3A02G227000,3A,A,424459528,424465501,2,triad,38.47
TraesCS3A02G227100,3A,A,424545342,424552432,2,triad,49.46
TraesCS3A02G227200,3A,A,424727680,424729030,2,triad,42.93
TraesCS3A02G227300,3A,A,425146711,425148745,1,partial,56.81
TraesCS3A02G227400,3A,A,425209863,425219130,1,partial,45.15
TraesCS3A02G227500,3A,A,425241414,425242238,1,partial,57.33
TraesCS3A02G227600,3A,A,425580890,425581524,0,singleton,52.13
TraesCS3A02G227700,3A,A,425602518,425607288,2,triad,47.5
TraesCS3A02G227800,3A,A,426651601,426654633,2,triad,53.15
TraesCS3A02G227900,3A,A,426858383,426863498,2,triad,38.82
TraesCS3A02G228000,3A,A,426864124,426872913,2,triad,46.76
TraesCS3A02G228100,3A,A,427090752,427092937,2,triad,50.23
TraesCS3A02G228200,3A,A,427101490,427103910,2,triad,51.26
TraesCS3A02G228300,3A,A,427191528,427193711,2,triad,43.32
TraesCS3A02G228400,3A,A,427208198,427208820,0,singleton,38.36
TraesCS3A02G228500,3A,A,427211183,427213246,2,triad,50.24
TraesCS3A02G228600,3A,A,427332282,427334702,2,triad,49.69
TraesCS3A02G228700,3A,A,427759351,427759916,2,triad,54.59
TraesCS3A02G228800,3A,A,427760413,427772107,2,triad,42.41
TraesCS3A02G228900,3A,A,428323346,428324697,2,triad,58.65
TraesCS3A02G229000,3A,A,428568596,428570515,2,triad,57.24
TraesCS3A02G229100,3A,A,428794884,428799348,2,triad,44.57
TraesCS3A02G229200,3A,A,429245644,429246764,0,singleton,44.78
TraesCS3A02G229300,3A,A,429321235,429323160,2,triad,57.84
TraesCS3A02G229400,3A,A,429462797,429464846,2,triad,53.37
TraesCS3A02G229500,3A,A,429481462,429482424,2,triad,57.42
TraesCS3A02G229600,3A,A,429490607,429491779,0,singleton,58.31
TraesCS3A02G229700,3A,A,429542186,429546480,2,triad,50.76
TraesCS3A02G229800,3A,A,429615380,429618754,1,partial,59.59
TraesCS3A02G229900,3A,A,429673682,429674954,2,triad,61.35
TraesCS3A02G230000,3A,A,430330494,430337814,2,triad,48.76
TraesCS3A02G230100,3A,A,430521723,430524839,2,triad,42.73
TraesCS3A02G230200,3A,A,430525679,430527745,2,triad,57.76
TraesCS3A02G230300,3A,A,430527908,430529943,2,triad,57.86
TraesCS3A02G230400,3A,A,430657133,430667487,2,triad,46.9
TraesCS3A02G230500,3A,A,430775421,430779657,2,triad,45.46
TraesCS3A02G230600,3A,A,430786889,430790497,2,triad,46.25
TraesCS3A02G230700,3A,A,430791034,430796931,2,triad,40.96
TraesCS3A02G230900,3A,A,431071506,431074860,2,triad,53.32
TraesCS3A02G230800,3A,A,431071575,431072075,1,partial,71.06
TraesCS3A02G231000,3A,A,431119378,431125379,2,triad,40.42
TraesCS3A02G231100,3A,A,431127843,431128415,2,triad,51.48
TraesCS3A02G231200,3A,A,431134953,431136188,0,singleton,62.22
TraesCS3A02G231300,3A,A,431740170,431741398,2,triad,63.87
TraesCS3A02G231400,3A,A,431822161,431825498,2,triad,42.18
TraesCS3A02G231500,3A,A,432040315,432043798,2,triad,55.91
TraesCS3A02G231600,3A,A,432374305,432377868,2,triad,49.47
TraesCS3A02G231700,3A,A,432855223,432868359,2,triad,44.14
TraesCS3A02G231800,3A,A,433408190,433408528,2,triad,64.9
TraesCS3A02G231900,3A,A,433408714,433410560,2,triad,44.4
TraesCS3A02G232000,3A,A,433427610,433427834,2,triad,68.44
TraesCS3A02G232100,3A,A,433550929,433556744,2,triad,40.68
TraesCS3A02G232200,3A,A,433886833,433887201,1,partial,69.38
TraesCS3A02G232300,3A,A,433994860,434000464,2,triad,44.44
TraesCS3A02G232400,3A,A,434005413,434006161,2,triad,64.35
TraesCS3A02G232500,3A,A,434068470,434070313,2,triad,58.41
TraesCS3A02G232600,3A,A,434128051,434130873,2,triad,57.0
TraesCS3A02G232700,3A,A,434613826,434620250,2,triad,39.39
TraesCS3A02G232800,3A,A,434840475,434842760,1,partial,48.56
TraesCS3A02G233000,3A,A,434949642,434951603,2,triad,65.65
TraesCS3A02G233100,3A,A,435774251,435776059,2,triad,63.29
TraesCS3A02G233300,3A,A,435802912,435808768,2,triad,46.09
TraesCS3A02G233600,3A,A,436273396,436274111,1,partial,50.14
TraesCS3A02G233700,3A,A,436461621,436465589,2,triad,46.86
TraesCS3A02G233800,3A,A,436466343,436473844,2,triad,41.92
TraesCS3A02G233900,3A,A,437634545,437643982,2,triad,46.84
TraesCS3A02G234000,3A,A,437645753,437649494,2,triad,44.52
TraesCS3A02G234100,3A,A,437658927,437661249,2,triad,44.89
TraesCS3A02G234200,3A,A,437676741,437677804,0,singleton,44.92
TraesCS3A02G234300,3A,A,437701172,437701789,0,singleton,46.28
TraesCS3A02G234400,3A,A,437862358,437865380,0,singleton,44.29
TraesCS3A02G234500,3A,A,437866793,437870860,2,triad,44.69
TraesCS3A02G234600,3A,A,437873976,437876350,2,triad,44.9
TraesCS3A02G234700,3A,A,438356401,438373121,2,triad,47.85
TraesCS3A02G234800,3A,A,438599373,438603027,2,triad,43.26
TraesCS3A02G234900,3A,A,438603919,438608918,2,triad,43.18
TraesCS3A02G235000,3A,A,438611798,438616710,2,triad,40.36
TraesCS3A02G235100,3A,A,438637042,438638716,1,partial,54.03
TraesCS3A02G235200,3A,A,438776037,438777833,2,triad,56.82
TraesCS3A02G235300,3A,A,438779220,438781510,2,triad,46.31
TraesCS3A02G235400,3A,A,438810157,438811760,1,partial,62.66
TraesCS3A02G235500,3A,A,439277481,439289152,2,triad,44.32
TraesCS3A02G235600,3A,A,439289914,439291265,2,triad,61.46
TraesCS3A02G235700,3A,A,439458318,439460642,2,triad,55.05
TraesCS3A02G235800,3A,A,439913370,439920206,2,triad,48.72
TraesCS3A02G235900,3A,A,440494537,440502010,2,triad,54.54
TraesCS3A02G236000,3A,A,440607894,440608304,2,triad,64.96
TraesCS3A02G236100,3A,A,440635548,440644980,2,triad,41.17
TraesCS3A02G236200,3A,A,441153713,441156074,2,triad,59.4
TraesCS3A02G236300,3A,A,441567316,441571130,2,triad,50.83
TraesCS3A02G236400,3A,A,441844228,441845718,2,triad,67.67
TraesCS3A02G236500,3A,A,441850293,441866314,2,triad,42.47
TraesCS3A02G236600,3A,A,442284372,442284738,0,singleton,55.04
TraesCS3A02G236700,3A,A,442756664,442763252,2,triad,44.01
TraesCS3A02G236800,3A,A,442760989,442768386,2,triad,40.29
TraesCS3A02G236900,3A,A,442768539,442772936,2,triad,41.52
TraesCS3A02G237000,3A,A,442901049,442901514,2,triad,64.81
TraesCS3A02G237100,3A,A,443118417,443122746,2,triad,40.83
TraesCS3A02G237200,3A,A,443419863,443428618,2,triad,42.58
TraesCS3A02G237300,3A,A,443812487,443820999,2,triad,43.19
TraesCS3A02G237400,3A,A,444287081,444293096,2,triad,44.15
TraesCS3A02G237600,3A,A,444444796,444446214,1,partial,42.64
TraesCS3A02G237700,3A,A,444455617,444465755,2,triad,42.03
TraesCS3A02G237800,3A,A,444534322,444538650,2,triad,50.08
TraesCS3A02G237900,3A,A,444538015,444538269,2,triad,60.78
TraesCS3A02G238000,3A,A,444720850,444726876,2,triad,42.28
TraesCS3A02G238100,3A,A,445261509,445266439,2,triad,42.81
TraesCS3A02G238200,3A,A,445268089,445268970,1,partial,52.95
TraesCS3A02G238300,3A,A,445279609,445281322,2,triad,64.12
TraesCS3A02G238400,3A,A,445865032,445870854,2,triad,46.26
TraesCS3A02G238500,3A,A,445871729,445875406,2,triad,38.05
TraesCS3A02G238600,3A,A,446264756,446266679,2,triad,50.1
TraesCS3A02G238700,3A,A,446474889,446480330,2,triad,42.39
ENSRNA050023569,3A,A,446540925,446541117,0,singleton,50.26
TraesCS3A02G238800,3A,A,447270001,447274825,2,triad,52.83
TraesCS3A02G238900,3A,A,447276110,447277399,2,triad,65.81
TraesCS3A02G239000,3A,A,447495356,447497348,2,triad,54.19
TraesCS3A02G239100,3A,A,448306786,448310033,2,triad,45.63
TraesCS3A02G239200,3A,A,448701854,448703022,2,triad,61.76
TraesCS3A02G239300,3A,A,448704091,448711302,2,triad,40.35
TraesCS3A02G239400,3A,A,449122032,449124244,2,triad,56.62
TraesCS3A02G239500,3A,A,449514356,449514958,1,partial,65.34
TraesCS3A02G239600,3A,A,449656052,449656972,2,triad,59.83
TraesCS3A02G239700,3A,A,449667084,449669265,1,partial,48.3
TraesCS3A02G239800,3A,A,449790462,449795524,2,triad,50.04
TraesCS3A02G239900,3A,A,450009064,450013914,2,triad,41.1
TraesCS3A02G240000,3A,A,450014953,450019882,2,triad,41.18
TraesCS3A02G240100,3A,A,450303091,450304382,2,triad,54.57
TraesCS3A02G240200,3A,A,450951201,450952481,2,triad,63.23
TraesCS3A02G240300,3A,A,450954625,450955008,0,singleton,50.52
TraesCS3A02G240400,3A,A,451664460,451664948,0,singleton,60.12
TraesCS3A02G240500,3A,A,451670174,451674785,2,triad,45.75
TraesCS3A02G240600,3A,A,451715466,451718797,2,triad,43.07
TraesCS3A02G240700,3A,A,451852024,451852760,0,singleton,57.39
TraesCS3A02G240800,3A,A,452932636,452933901,2,triad,62.4
TraesCS3A02G240900,3A,A,452979683,452981178,2,triad,43.85
TraesCS3A02G241000,3A,A,453306336,453308777,2,triad,53.93
TraesCS3A02G241100,3A,A,453308731,453317212,2,triad,39.25
TraesCS3A02G241200,3A,A,453436379,453437311,0,singleton,54.56
TraesCS3A02G241300,3A,A,453600639,453603674,2,triad,40.42
TraesCS3A02G241500,3A,A,453813052,453821816,2,triad,42.38
TraesCS3A02G241600,3A,A,453930120,453935150,2,triad,44.62
TraesCS3A02G241700,3A,A,453935876,453942834,2,triad,43.25
TraesCS3A02G241800,3A,A,454166681,454168753,0,singleton,45.3
TraesCS3A02G241900,3A,A,454170120,454172441,2,triad,38.2
TraesCS3A02G242100,3A,A,454510686,454516596,2,triad,42.68
TraesCS3A02G242200,3A,A,455027753,455033369,2,triad,40.77
TraesCS3A02G242300,3A,A,455617679,455622306,1,partial,50.37
TraesCS3A02G242400,3A,A,455779088,455795983,2,triad,46.94
TraesCS3A02G242500,3A,A,455802604,455805284,2,triad,54.64
TraesCS3A02G242600,3A,A,456409469,456410209,2,triad,63.43
TraesCS3A02G242700,3A,A,456436072,456441738,2,triad,41.86
ENSRNA050023773,3A,A,456442750,456442900,0,singleton,52.98
TraesCS3A02G242800,3A,A,456443181,456447160,2,triad,42.04
ENSRNA050007994,3A,A,456447329,456447401,0,singleton,58.9
TraesCS3A02G242900,3A,A,456451968,456453370,2,triad,65.0
TraesCS3A02G243000,3A,A,456698688,456701009,2,triad,55.21
TraesCS3A02G243100,3A,A,456701305,456719042,2,triad,46.06
TraesCS3A02G243200,3A,A,456775570,456777018,2,triad,51.07
TraesCS3A02G243300,3A,A,456776971,456778957,2,triad,45.85
TraesCS3A02G243500,3A,A,456806664,456809058,1,partial,53.28
TraesCS3A02G243600,3A,A,456908906,456910583,1,partial,41.9
TraesCS3A02G243700,3A,A,456920611,456922835,2,triad,40.67
TraesCS3A02G243800,3A,A,457080493,457082358,2,triad,59.32
TraesCS3A02G243900,3A,A,457082916,457084824,2,triad,47.56
TraesCS3A02G244000,3A,A,457085532,457088873,2,triad,48.35
TraesCS3A02G244100,3A,A,457460875,457466344,2,triad,42.18
TraesCS3A02G244200,3A,A,457484692,457486924,2,triad,46.53
TraesCS3A02G244300,3A,A,457487119,457489144,2,triad,47.04
TraesCS3A02G244400,3A,A,457490249,457491134,2,triad,67.27
TraesCS3A02G244500,3A,A,457629134,457636164,2,triad,43.82
TraesCS3A02G244600,3A,A,457661259,457665048,2,triad,45.8
TraesCS3A02G244700,3A,A,457890563,457892369,2,triad,53.85
TraesCS3A02G244800,3A,A,457912544,457913178,0,singleton,49.29
TraesCS3A02G244900,3A,A,457925130,457925990,2,triad,48.2
TraesCS3A02G245000,3A,A,458678631,458682691,2,triad,57.99
TraesCS3A02G245100,3A,A,458921525,458922121,2,triad,51.42
TraesCS3A02G245200,3A,A,458935715,458941114,2,triad,50.43
TraesCS3A02G245300,3A,A,459042792,459047290,2,triad,62.61
TraesCS3A02G245400,3A,A,459047503,459052671,2,triad,45.33
TraesCS3A02G245500,3A,A,459956028,459961155,2,triad,46.47
ENSRNA050023774,3A,A,459958180,459958259,0,singleton,43.75
TraesCS3A02G245600,3A,A,460147455,460151889,2,triad,49.54
TraesCS3A02G245700,3A,A,460811089,460824931,2,triad,41.74
TraesCS3A02G245809,3A,A,461150531,461153259,2,triad,49.47
TraesCS3A02G245800,3A,A,461153262,461153918,2,triad,48.86
TraesCS3A02G245900,3A,A,461388377,461394699,2,triad,41.84
TraesCS3A02G246000,3A,A,461786114,461792083,2,triad,43.99
TraesCS3A02G246100,3A,A,461839239,461841696,2,triad,61.51
TraesCS3A02G246200,3A,A,461859116,461861500,1,partial,44.7
TraesCS3A02G246300,3A,A,462332351,462336081,1,partial,44.73
TraesCS3A02G246400,3A,A,463114562,463118378,2,triad,44.83
TraesCS3A02G246500,3A,A,463125879,463134207,2,triad,42.98
TraesCS3A02G246600,3A,A,464319666,464320713,2,triad,62.02
TraesCS3A02G246700,3A,A,464795463,464796987,2,triad,56.29
TraesCS3A02G246800,3A,A,464895809,464897771,2,triad,44.12
TraesCS3A02G246900,3A,A,464904434,464913424,2,triad,39.63
TraesCS3A02G247000,3A,A,464913914,464915666,2,triad,57.56
TraesCS3A02G247200,3A,A,465225214,465228773,2,triad,54.72
TraesCS3A02G247300,3A,A,465535026,465539248,2,triad,42.53
TraesCS3A02G247400,3A,A,465539784,465542495,1,partial,44.62
TraesCS3A02G247500,3A,A,465542755,465544070,2,triad,63.22
TraesCS3A02G247600,3A,A,465817909,465819672,2,triad,45.63
TraesCS3A02G247700,3A,A,465820929,465822014,2,triad,66.02
TraesCS3A02G247800,3A,A,465828673,465839188,2,triad,42.43
TraesCS3A02G247900,3A,A,466039627,466043676,2,triad,42.59
TraesCS3A02G248000,3A,A,466043888,466064374,2,triad,44.16
TraesCS3A02G248100,3A,A,466106763,466113482,2,triad,44.2
TraesCS3A02G248200,3A,A,466110855,466113204,2,triad,45.4
TraesCS3A02G248600,3A,A,466567550,466577579,2,triad,45.4
TraesCS3A02G248700,3A,A,466644535,466647054,2,triad,42.98
TraesCS3A02G248800,3A,A,466787055,466811542,2,triad,39.13
TraesCS3A02G248900,3A,A,467095562,467099371,2,triad,42.02
TraesCS3A02G249000,3A,A,467153054,467156209,2,triad,47.81
TraesCS3A02G249100,3A,A,467347596,467352085,2,triad,44.39
TraesCS3A02G249200,3A,A,467402401,467404286,2,triad,60.6
TraesCS3A02G249300,3A,A,467808993,467809925,2,triad,74.06
TraesCS3A02G249400,3A,A,467863125,467872426,2,triad,47.45
TraesCS3A02G249500,3A,A,467876816,467879914,2,triad,54.34
TraesCS3A02G249700,3A,A,468003317,468004003,2,triad,64.34
TraesCS3A02G249800,3A,A,468012554,468015325,1,partial,36.62
TraesCS3A02G249900,3A,A,468251124,468251720,2,triad,67.84
TraesCS3A02G250000,3A,A,468516334,468516963,2,triad,66.67
TraesCS3A02G250100,3A,A,468532113,468540278,2,triad,54.27
TraesCS3A02G250200,3A,A,468582269,468588497,2,triad,46.84
TraesCS3A02G250300,3A,A,468731061,468733330,2,triad,64.41
TraesCS3A02G250400,3A,A,469076694,469081312,2,triad,42.15
TraesCS3A02G250500,3A,A,469406571,469416313,2,triad,43.07
TraesCS3A02G250600,3A,A,469668868,469670553,2,triad,62.99
TraesCS3A02G250700,3A,A,469739062,469741036,2,triad,64.71
TraesCS3A02G250800,3A,A,469831520,469832804,2,triad,64.9
TraesCS3A02G250900,3A,A,469834885,469842248,2,triad,39.95
TraesCS3A02G251000,3A,A,470091534,470100203,2,triad,43.01
TraesCS3A02G251100,3A,A,470101127,470105005,2,triad,44.19
TraesCS3A02G251200,3A,A,470828344,470830221,2,triad,53.94
TraesCS3A02G251300,3A,A,470843230,470848093,2,triad,42.66
TraesCS3A02G251400,3A,A,471278391,471280893,2,triad,50.34
TraesCS3A02G251500,3A,A,471355173,471357596,2,triad,50.87
TraesCS3A02G251600,3A,A,471358324,471363356,2,triad,43.31
TraesCS3A02G251700,3A,A,471365103,471370917,2,triad,44.01
TraesCS3A02G251800,3A,A,471371064,471373793,2,triad,47.88
TraesCS3A02G251900,3A,A,471816459,471818301,2,triad,57.51
TraesCS3A02G252000,3A,A,471820238,471825958,2,triad,42.07
TraesCS3A02G252100,3A,A,472414299,472414631,0,singleton,63.96
TraesCS3A02G252200,3A,A,472789943,472792606,2,triad,56.64
TraesCS3A02G252300,3A,A,472799155,472803321,2,triad,39.36
TraesCS3A02G252400,3A,A,472906169,472906363,2,triad,72.31
TraesCS3A02G252500,3A,A,473203124,473212005,1,partial,45.89
TraesCS3A02G252600,3A,A,473212751,473213008,2,triad,65.89
TraesCS3A02G252700,3A,A,473216217,473218038,2,triad,44.62
TraesCS3A02G252800,3A,A,473713301,473718995,2,triad,43.83
TraesCS3A02G252900,3A,A,474208686,474210610,2,triad,67.12
TraesCS3A02G253000,3A,A,474433205,474438883,2,triad,42.68
TraesCS3A02G253100,3A,A,474435139,474436170,2,triad,39.83
TraesCS3A02G253200,3A,A,474677263,474678120,2,triad,66.78
TraesCS3A02G253300,3A,A,474678487,474679303,2,triad,64.99
TraesCS3A02G253400,3A,A,474807929,474808225,2,triad,76.77
TraesCS3A02G253500,3A,A,474810391,474812114,2,triad,56.32
TraesCS3A02G253600,3A,A,474962330,474970320,2,triad,41.38
TraesCS3A02G253700,3A,A,474973993,474976792,2,triad,60.71
TraesCS3A02G253800,3A,A,474978734,474980456,2,triad,65.35
TraesCS3A02G253900,3A,A,475278434,475283619,2,triad,40.85
TraesCS3A02G254000,3A,A,475304797,475306341,2,triad,67.57
TraesCS3A02G254100,3A,A,475716372,475717415,0,singleton,56.7
TraesCS3A02G254200,3A,A,475718899,475722316,2,triad,41.78
TraesCS3A02G254300,3A,A,475732865,475737002,2,triad,39.65
TraesCS3A02G254400,3A,A,476087134,476089068,2,triad,54.94
TraesCS3A02G254500,3A,A,476384816,476386626,2,triad,56.76
TraesCS3A02G254600,3A,A,476563869,476564968,2,triad,59.73
TraesCS3A02G254700,3A,A,476565222,476569161,2,triad,40.66
TraesCS3A02G254800,3A,A,476662966,476665436,2,triad,37.72
TraesCS3A02G254900,3A,A,476984249,476999696,2,triad,45.05
TraesCS3A02G255000,3A,A,477137793,477145127,2,triad,41.86
TraesCS3A02G255100,3A,A,477214346,477216665,2,triad,54.09
TraesCS3A02G255200,3A,A,477319668,477320738,2,triad,63.31
TraesCS3A02G255300,3A,A,477330268,477331725,2,triad,53.5
TraesCS3A02G255400,3A,A,477333005,477336386,2,triad,46.78
TraesCS3A02G255500,3A,A,477414878,477416133,2,triad,50.72
TraesCS3A02G255600,3A,A,477427449,477429073,1,partial,61.72
TraesCS3A02G255700,3A,A,477430244,477431943,2,triad,63.59
TraesCS3A02G255800,3A,A,477585385,477590500,1,partial,46.27
TraesCS3A02G255900,3A,A,477592018,477598838,1,partial,39.45
TraesCS3A02G256000,3A,A,477708730,477711220,2,triad,45.12
TraesCS3A02G256100,3A,A,477988839,477990547,2,triad,44.82
TraesCS3A02G256200,3A,A,478167841,478169622,2,triad,64.09
TraesCS3A02G256300,3A,A,478241819,478243537,2,triad,63.53
TraesCS3A02G256400,3A,A,478253690,478257508,2,triad,48.02
TraesCS3A02G256600,3A,A,478662356,478666993,2,triad,53.3
TraesCS3A02G256700,3A,A,478674554,478675933,1,partial,54.93
ENSRNA050022876,3A,A,478678925,478678986,0,singleton,38.71
ENSRNA050022877,3A,A,478679301,478679362,0,singleton,41.94
TraesCS3A02G256800,3A,A,478685247,478686835,0,singleton,39.65
TraesCS3A02G256900,3A,A,478687692,478693267,2,triad,43.35
ENSRNA050022874,3A,A,478689483,478689545,0,singleton,39.68
ENSRNA050022875,3A,A,478689870,478689931,0,singleton,40.32
TraesCS3A02G257000,3A,A,478910907,478911545,2,triad,70.11
TraesCS3A02G257100,3A,A,478913874,478914341,0,singleton,65.6
TraesCS3A02G257200,3A,A,478951230,478951688,1,partial,69.28
TraesCS3A02G257300,3A,A,479069848,479070357,1,partial,68.24
TraesCS3A02G257400,3A,A,479099171,479100582,2,triad,62.32
TraesCS3A02G257500,3A,A,479129028,479136034,2,triad,42.41
TraesCS3A02G257600,3A,A,479473689,479479765,2,triad,42.64
TraesCS3A02G257700,3A,A,479474776,479476669,2,triad,40.13
TraesCS3A02G257800,3A,A,479481051,479482052,2,triad,65.27
TraesCS3A02G257900,3A,A,479689738,479689992,0,singleton,69.41
TraesCS3A02G258000,3A,A,479766816,479774098,1,partial,40.16
TraesCS3A02G258100,3A,A,479780978,479784141,2,triad,49.43
TraesCS3A02G258200,3A,A,480046032,480052283,2,triad,40.5
TraesCS3A02G258300,3A,A,480102330,480109964,2,triad,40.77
TraesCS3A02G258400,3A,A,480147090,480154719,2,triad,42.33
TraesCS3A02G258500,3A,A,480431064,480434304,2,triad,47.02
TraesCS3A02G258600,3A,A,480435226,480438679,1,partial,41.69
TraesCS3A02G258700,3A,A,480438027,480442994,2,triad,43.1
TraesCS3A02G258800,3A,A,481018121,481022362,2,triad,42.53
TraesCS3A02G258900,3A,A,481068443,481075010,2,triad,42.19
TraesCS3A02G259000,3A,A,481088592,481088714,1,partial,49.59
TraesCS3A02G259100,3A,A,481093127,481093249,2,triad,62.6
TraesCS3A02G259200,3A,A,481508605,481524050,2,triad,38.96
TraesCS3A02G259300,3A,A,481659100,481659531,1,partial,56.94
TraesCS3A02G259400,3A,A,481872625,481877026,2,triad,44.01
TraesCS3A02G259500,3A,A,481878928,481882649,1,partial,48.44
TraesCS3A02G259600,3A,A,481883442,481887186,2,triad,49.67
TraesCS3A02G259700,3A,A,482060474,482068322,2,triad,44.45
TraesCS3A02G259800,3A,A,482092614,482093752,1,partial,64.44
TraesCS3A02G259900,3A,A,482183185,482184828,2,triad,64.42
TraesCS3A02G260000,3A,A,482403120,482407555,2,triad,40.87
TraesCS3A02G260100,3A,A,482927580,482928835,2,triad,61.46
TraesCS3A02G260200,3A,A,482935818,482937066,2,triad,61.01
TraesCS3A02G260300,3A,A,482973732,482978852,2,triad,44.0
TraesCS3A02G260400,3A,A,483157381,483158506,2,triad,62.26
TraesCS3A02G260500,3A,A,483449498,483452912,2,triad,53.94
TraesCS3A02G260600,3A,A,483454994,483461702,2,triad,43.05
TraesCS3A02G260700,3A,A,483481800,483484290,2,triad,59.74
TraesCS3A02G260800,3A,A,483743285,483748593,2,triad,51.03
TraesCS3A02G260900,3A,A,483750747,483751352,1,partial,42.74
TraesCS3A02G261000,3A,A,483921745,483922769,0,singleton,44.68
TraesCS3A02G261100,3A,A,484100825,484101721,2,triad,65.44
TraesCS3A02G261200,3A,A,484103270,484109459,2,triad,43.89
TraesCS3A02G261300,3A,A,484112133,484119997,2,triad,41.09
TraesCS3A02G261400,3A,A,484627419,484632420,2,triad,39.94
TraesCS3A02G261500,3A,A,484631723,484633291,1,partial,43.08
TraesCS3A02G261600,3A,A,484634127,484634414,2,triad,70.49
TraesCS3A02G261700,3A,A,484634556,484637247,2,triad,55.42
TraesCS3A02G261800,3A,A,484637356,484654579,1,partial,49.55
TraesCS3A02G262000,3A,A,484720518,484723181,2,triad,50.19
TraesCS3A02G262100,3A,A,484990152,485011560,2,triad,49.02
TraesCS3A02G262400,3A,A,485011944,485015135,2,triad,47.74
TraesCS3A02G262500,3A,A,485521841,485525243,2,triad,37.47
TraesCS3A02G262600,3A,A,485592794,485594081,0,singleton,48.6
TraesCS3A02G262700,3A,A,485676140,485688484,2,triad,40.02
ENSRNA050023701,3A,A,485804463,485804574,0,singleton,39.29
TraesCS3A02G262800,3A,A,485940798,485942328,2,triad,63.95
TraesCS3A02G262900,3A,A,485993307,485995281,2,triad,60.35
TraesCS3A02G263000,3A,A,486044517,486045706,2,triad,58.15
TraesCS3A02G263100,3A,A,486220087,486220278,0,singleton,65.62
TraesCS3A02G263200,3A,A,486221895,486223480,0,singleton,51.26
TraesCS3A02G263300,3A,A,486928055,486930086,2,triad,63.39
TraesCS3A02G263400,3A,A,487431890,487435435,2,triad,43.03
TraesCS3A02G263500,3A,A,487436557,487439668,2,triad,41.13
TraesCS3A02G263600,3A,A,487443317,487443724,2,triad,69.12
TraesCS3A02G263700,3A,A,487444146,487447816,2,triad,46.58
TraesCS3A02G263800,3A,A,487448225,487451984,2,triad,42.29
TraesCS3A02G263900,3A,A,487853163,487855279,2,triad,50.73
TraesCS3A02G264000,3A,A,487857253,487859848,2,triad,46.19
TraesCS3A02G264100,3A,A,487859734,487865764,2,triad,42.25
TraesCS3A02G264200,3A,A,488108205,488109839,2,triad,65.02
TraesCS3A02G264300,3A,A,488260517,488261318,2,triad,61.6
TraesCS3A02G264400,3A,A,488282784,488283453,0,singleton,38.21
TraesCS3A02G264500,3A,A,488303038,488303929,2,triad,62.44
TraesCS3A02G264600,3A,A,488307783,488312183,2,triad,46.53
TraesCS3A02G264700,3A,A,488720771,488724905,2,triad,44.25
TraesCS3A02G264800,3A,A,489189358,489204877,2,triad,40.96
TraesCS3A02G264900,3A,A,489311494,489311963,2,triad,66.81
TraesCS3A02G265000,3A,A,489458645,489461295,0,singleton,40.66
TraesCS3A02G265100,3A,A,489565727,489568954,2,triad,53.44
TraesCS3A02G265200,3A,A,489636194,489637153,1,partial,56.77
TraesCS3A02G265400,3A,A,489748948,489750312,2,triad,60.51
TraesCS3A02G265500,3A,A,489750529,489755541,2,triad,42.29
TraesCS3A02G265600,3A,A,490149626,490150295,0,singleton,51.04
ENSRNA050008001,3A,A,490163899,490163970,0,singleton,61.11
TraesCS3A02G265700,3A,A,490164388,490169849,2,triad,41.58
TraesCS3A02G265800,3A,A,490337457,490338017,0,singleton,68.81
ENSRNA050008007,3A,A,490340065,490340137,0,singleton,60.27
TraesCS3A02G265900,3A,A,490340574,490344419,2,triad,45.03
TraesCS3A02G266100,3A,A,490612892,490617379,2,triad,43.61
TraesCS3A02G266200,3A,A,490617949,490627653,2,triad,43.72
TraesCS3A02G266300,3A,A,490922100,490932750,2,triad,43.49
TraesCS3A02G266400,3A,A,491178975,491179394,2,triad,73.81
TraesCS3A02G266500,3A,A,491182256,491186741,1,partial,45.52
TraesCS3A02G266600,3A,A,491186460,491193952,2,triad,39.94
TraesCS3A02G266700,3A,A,491222820,491226810,2,triad,46.76
TraesCS3A02G266800,3A,A,491454647,491459021,2,triad,52.0
TraesCS3A02G266900,3A,A,491521714,491523414,2,triad,53.2
