chromosome,genome,window_start_bp,window_end_bp,n_genes,fractionation_rate,n_qtl,n_metaqtl,n_trait_categories,dominant_trait,total_qtl_metaqtl
4D,D,80000000,100000000,167,0.1377,32,0,2,Abiotic stress,32
4D,D,100000000,120000000,149,0.0671,34,0,5,Abiotic stress,34
4D,D,120000000,140000000,144,0.1806,14,0,4,Abiotic stress,14
4D,D,140000000,160000000,19,0.1053,5,0,2,Abiotic stress,5
4D,D,160000000,180000000,30,0.2667,9,0,3,Abiotic stress,9
4D,D,180000000,200000000,18,0.1111,7,0,2,Abiotic stress,7
4D,D,200000000,220000000,38,0.2368,7,0,2,Abiotic stress,7
4D,D,220000000,240000000,27,0.1852,9,0,3,Abiotic stress,9
4D,D,240000000,260000000,40,0.35,3,0,2,Abiotic stress,3
4D,D,260000000,280000000,20,0.0,4,0,2,Abiotic stress,4
4D,D,280000000,300000000,63,0.1429,8,0,4,Abiotic stress,8
4D,D,300000000,320000000,105,0.0381,6,0,3,Biofortification,6
4D,D,320000000,340000000,137,0.1095,54,0,3,Abiotic stress,54
4D,D,340000000,360000000,130,0.0769,8,0,2,Abiotic stress,8
4D,D,360000000,380000000,138,0.0217,12,0,5,Abiotic stress,12
4D,D,380000000,400000000,151,0.1325,26,0,2,Abiotic stress,26
4D,D,400000000,420000000,141,0.1418,6,0,3,Abiotic stress,6
4D,D,420000000,440000000,202,0.1931,11,0,1,Abiotic stress,11
4D,D,440000000,460000000,205,0.1854,7,1,3,Abiotic stress,8
4D,D,460000000,480000000,256,0.1055,19,1,5,Abiotic stress,20
4D,D,480000000,500000000,313,0.1278,69,3,5,Abiotic stress,72
4D,D,500000000,520000000,223,0.1659,51,0,5,Abiotic stress,51
5A,A,0,20000000,282,0.2908,172,3,8,Abiotic stress,175
5A,A,20000000,40000000,183,0.2077,99,1,5,Abiotic stress,100
5A,A,40000000,60000000,162,0.216,49,0,6,Abiotic stress,49
5A,A,60000000,80000000,1015,0.9123,34,0,5,Abiotic stress,34
5A,A,80000000,100000000,88,0.1477,28,0,3,Abiotic stress,28
5A,A,100000000,120000000,102,0.2157,45,0,4,Abiotic stress,45
5A,A,120000000,140000000,92,0.1413,15,0,3,Abiotic stress,15
5A,A,140000000,160000000,49,0.2857,8,0,3,Abiotic stress,8
5A,A,160000000,180000000,37,0.2973,1,0,1,Fungal resistance,1
5A,A,180000000,200000000,24,0.25,3,0,3,Abiotic stress,3
5A,A,200000000,220000000,31,0.1935,1,0,1,Biofortification,1
5A,A,220000000,240000000,49,0.2449,9,0,3,Abiotic stress,9
5A,A,240000000,260000000,28,0.2857,4,0,1,Abiotic stress,4
5A,A,260000000,280000000,55,0.1455,16,0,2,Abiotic stress,16
5A,A,280000000,300000000,68,0.0882,8,0,2,Abiotic stress,8
5A,A,300000000,320000000,104,0.1827,5,0,2,Biofortification,5
5A,A,320000000,340000000,154,0.1623,15,0,3,Abiotic stress,15
5A,A,340000000,360000000,94,0.0957,7,0,2,Abiotic stress,7
5A,A,360000000,380000000,121,0.0909,4,0,2,Abiotic stress,4
5A,A,380000000,400000000,152,0.125,61,0,6,Abiotic stress,61
5A,A,400000000,420000000,115,0.1391,44,0,4,Abiotic stress,44
5A,A,420000000,440000000,170,0.1471,37,1,6,Abiotic stress,38
5A,A,440000000,460000000,217,0.1244,59,1,5,Abiotic stress,60
5A,A,460000000,480000000,228,0.1579,56,1,5,Abiotic stress,57
5A,A,480000000,500000000,214,0.2056,48,1,7,Abiotic stress,49
5A,A,500000000,520000000,172,0.1453,79,0,6,Abiotic stress,79
5A,A,520000000,540000000,234,0.1709,57,0,6,Abiotic stress,57
5A,A,540000000,560000000,271,0.1513,75,1,5,Abiotic stress,76
5A,A,560000000,580000000,256,0.2305,139,0,7,Abiotic stress,139
5A,A,580000000,600000000,299,0.1338,222,3,9,Abiotic stress,225
5A,A,600000000,620000000,295,0.2,65,1,6,Abiotic stress,66
5A,A,620000000,640000000,205,0.122,22,1,5,Abiotic stress,23
5A,A,640000000,660000000,336,0.1964,16,1,6,Abiotic stress,17
5A,A,660000000,680000000,258,0.1279,80,0,7,Abiotic stress,80
5A,A,680000000,700000000,282,0.2518,83,0,6,Abiotic stress,83
5A,A,700000000,720000000,149,0.2483,90,0,7,Abiotic stress,90
5B,B,0,20000000,230,0.2957,161,1,9,Abiotic stress,162
5B,B,20000000,40000000,181,0.3481,100,2,8,Abiotic stress,102
5B,B,40000000,60000000,182,0.1923,42,2,4,Abiotic stress,44
5B,B,60000000,80000000,161,0.2484,106,1,7,Abiotic stress,107
5B,B,80000000,100000000,583,0.8422,132,0,4,Abiotic stress,132
5B,B,100000000,120000000,112,0.1696,10,0,3,Fungal resistance,10
5B,B,120000000,140000000,140,0.1929,72,0,4,Abiotic stress,72
5B,B,140000000,160000000,57,0.0877,5,1,3,Abiotic stress,6
5B,B,160000000,180000000,29,0.2069,21,1,2,Abiotic stress,22
5B,B,180000000,200000000,33,0.1515,15,0,3,Abiotic stress,15
5B,B,200000000,220000000,60,0.1167,29,0,2,Abiotic stress,29
5B,B,220000000,240000000,73,0.0822,157,0,3,Abiotic stress,157
5B,B,240000000,260000000,80,0.075,52,0,3,Abiotic stress,52
5B,B,260000000,280000000,135,0.1333,70,0,2,Abiotic stress,70
5B,B,280000000,300000000,119,0.0924,27,0,3,Abiotic stress,27
5B,B,300000000,320000000,112,0.0893,16,0,3,Abiotic stress,16
5B,B,320000000,340000000,139,0.1295,24,0,4,Abiotic stress,24
5B,B,340000000,360000000,117,0.1538,34,0,2,Abiotic stress,34
5B,B,360000000,380000000,102,0.1275,31,0,5,Abiotic stress,31
5B,B,380000000,400000000,145,0.1517,20,0,4,Abiotic stress,20
5B,B,400000000,420000000,156,0.1282,112,0,4,Abiotic stress,112
5B,B,420000000,440000000,180,0.15,52,1,5,Abiotic stress,53
5B,B,440000000,460000000,167,0.1317,30,1,6,Abiotic stress,31
5B,B,460000000,480000000,228,0.1667,81,1,7,Abiotic stress,82
5B,B,480000000,500000000,206,0.1796,64,0,8,Abiotic stress,64
5B,B,500000000,520000000,201,0.1393,41,2,7,Abiotic stress,43
5B,B,520000000,540000000,240,0.2042,62,3,6,Abiotic stress,65
5B,B,540000000,560000000,226,0.2035,100,0,8,Abiotic stress,100
5B,B,560000000,580000000,222,0.1306,361,1,7,Abiotic stress,362
5B,B,580000000,600000000,232,0.2155,126,1,9,Abiotic stress,127
5B,B,600000000,620000000,244,0.1639,41,1,5,Abiotic stress,42
5B,B,620000000,640000000,176,0.233,45,1,5,Abiotic stress,46
5B,B,640000000,660000000,281,0.2278,35,0,6,Abiotic stress,35
5B,B,660000000,680000000,235,0.1745,49,1,5,Abiotic stress,50
5B,B,680000000,700000000,367,0.3597,108,1,8,Abiotic stress,109
5B,B,700000000,720000000,261,0.2222,93,0,6,Abiotic stress,93
5D,D,0,20000000,303,0.4455,72,1,8,Abiotic stress,73
5D,D,20000000,40000000,155,0.2387,31,0,5,Abiotic stress,31
5D,D,40000000,60000000,249,0.1807,47,0,7,Abiotic stress,47
5D,D,60000000,80000000,440,0.725,35,1,4,Abiotic stress,36
5D,D,80000000,100000000,125,0.2,9,0,3,Fungal resistance,9
5D,D,100000000,120000000,154,0.1299,20,0,3,Abiotic stress,20
5D,D,120000000,140000000,110,0.1091,11,0,2,Abiotic stress,11
5D,D,140000000,160000000,13,0.0,38,0,2,Abiotic stress,38
5D,D,160000000,180000000,41,0.1707,10,0,3,Abiotic stress,10
5D,D,180000000,200000000,48,0.1042,16,0,2,Yield,16
5D,D,200000000,220000000,98,0.0816,13,0,3,Abiotic stress,13
5D,D,220000000,240000000,125,0.08,12,0,5,Fungal resistance,12
5D,D,240000000,260000000,160,0.1187,20,0,2,Abiotic stress,20
5D,D,260000000,280000000,134,0.1045,8,0,2,Abiotic stress,8
5D,D,280000000,300000000,173,0.0983,21,0,4,Abiotic stress,21
5D,D,300000000,320000000,147,0.1429,11,0,4,Abiotic stress,11
5D,D,320000000,340000000,213,0.1549,24,1,5,Abiotic stress,25
5D,D,340000000,360000000,206,0.1214,26,0,6,Abiotic stress,26
5D,D,360000000,380000000,244,0.1025,22,1,4,Abiotic stress,23
5D,D,380000000,400000000,270,0.1444,14,1,4,Abiotic stress,15
5D,D,400000000,420000000,228,0.114,54,3,4,Abiotic stress,57
5D,D,420000000,440000000,342,0.2135,28,1,5,Abiotic stress,29
5D,D,440000000,460000000,317,0.2019,64,1,6,Abiotic stress,65
5D,D,460000000,480000000,271,0.0849,2883,1,6,Abiotic stress,2884
5D,D,480000000,500000000,373,0.2145,38,0,6,Abiotic stress,38
5D,D,500000000,520000000,332,0.238,16,0,5,Abiotic stress,16
5D,D,520000000,540000000,374,0.1845,46,0,3,Abiotic stress,46
5D,D,540000000,560000000,463,0.3413,213,0,9,Abiotic stress,213
5D,D,560000000,580000000,119,0.1681,25,0,3,Abiotic stress,25
6A,A,0,20000000,416,0.2476,242,4,11,Abiotic stress,246
6A,A,20000000,40000000,352,0.2074,119,3,8,Abiotic stress,122
6A,A,40000000,60000000,181,0.2099,67,2,6,Abiotic stress,69
6A,A,60000000,80000000,219,0.2968,63,0,7,Abiotic stress,63
6A,A,80000000,100000000,157,0.1592,29,1,5,Abiotic stress,30
6A,A,100000000,120000000,193,0.2642,45,0,6,Abiotic stress,45
6A,A,120000000,140000000,95,0.1263,8,0,4,Abiotic stress,8
6A,A,140000000,160000000,109,0.1651,10,0,2,Abiotic stress,10
6A,A,160000000,180000000,60,0.15,6,0,1,Abiotic stress,6
6A,A,180000000,200000000,85,0.1294,9,0,2,Abiotic stress,9
6A,A,200000000,220000000,84,0.25,3,0,3,Yield,3
6A,A,220000000,240000000,32,0.1875,26,0,3,Abiotic stress,26
6A,A,240000000,260000000,24,0.2917,23,0,3,Abiotic stress,23
6A,A,260000000,280000000,36,0.3889,8,0,3,Yield,8
6A,A,280000000,300000000,23,0.2174,22,0,3,Abiotic stress,22
6A,A,300000000,320000000,18,0.1667,37,0,4,Abiotic stress,37
6A,A,320000000,340000000,27,0.2222,40,0,3,Abiotic stress,40
6A,A,340000000,360000000,26,0.1923,22,0,2,Abiotic stress,22
6A,A,360000000,380000000,37,0.2162,18,0,4,Abiotic stress,18
6A,A,380000000,400000000,74,0.0811,12,0,3,Abiotic stress,12
6A,A,400000000,420000000,59,0.1864,12,0,2,Abiotic stress,12
6A,A,420000000,440000000,91,0.1538,25,0,5,Abiotic stress,25
6A,A,440000000,460000000,153,0.1176,124,0,6,Abiotic stress,124
6A,A,460000000,480000000,101,0.1188,4,0,2,Yield,4
6A,A,480000000,500000000,159,0.0943,75,0,4,Abiotic stress,75
6A,A,500000000,520000000,133,0.0752,35,0,5,Abiotic stress,35
6A,A,520000000,540000000,189,0.1429,130,0,4,Abiotic stress,130
6A,A,540000000,560000000,205,0.0732,101,1,7,Abiotic stress,102
6A,A,560000000,580000000,205,0.1756,56,2,6,Abiotic stress,58
6A,A,580000000,600000000,331,0.1903,124,2,8,Abiotic stress,126
6A,A,600000000,620000000,433,0.194,204,0,7,Abiotic stress,204
6B,B,0,20000000,331,0.287,127,0,10,Fungal resistance,127
6B,B,20000000,40000000,292,0.363,117,3,9,Abiotic stress,120
6B,B,40000000,60000000,243,0.3333,44,0,4,Abiotic stress,44
6B,B,60000000,80000000,189,0.3016,18,0,3,Abiotic stress,18
6B,B,80000000,100000000,130,0.2462,23,0,5,Abiotic stress,23
6B,B,100000000,120000000,144,0.4792,54,0,6,Abiotic stress,54
6B,B,120000000,140000000,173,0.1908,65,0,7,Abiotic stress,65
6B,B,140000000,160000000,187,0.2406,60,0,7,Abiotic stress,60
6B,B,160000000,180000000,117,0.2137,25,0,4,Abiotic stress,25
6B,B,180000000,200000000,106,0.1226,27,0,3,Abiotic stress,27
6B,B,200000000,220000000,105,0.181,24,0,4,Abiotic stress,24
6B,B,220000000,240000000,106,0.1509,56,0,7,Abiotic stress,56
6B,B,240000000,260000000,65,0.2769,8,0,2,Abiotic stress,8
6B,B,260000000,280000000,55,0.2364,4,0,2,Biofortification,4
6B,B,280000000,300000000,62,0.1613,12,0,2,Abiotic stress,12
6B,B,300000000,320000000,37,0.2703,7,0,3,Abiotic stress,7
6B,B,320000000,340000000,24,0.1667,8,0,4,Yield,8
6B,B,340000000,360000000,35,0.0571,4,0,3,Abiotic stress,4
6B,B,360000000,380000000,29,0.2414,3,0,2,Abiotic stress,3
6B,B,380000000,400000000,47,0.4468,2,0,2,Abiotic stress,2
6B,B,400000000,420000000,42,0.1667,2,0,1,Abiotic stress,2
6B,B,420000000,440000000,68,0.1324,41,0,2,Abiotic stress,41
6B,B,440000000,460000000,89,0.2247,39,0,2,Abiotic stress,39
6B,B,460000000,480000000,113,0.0973,47,0,5,Abiotic stress,47
6B,B,480000000,500000000,94,0.0745,9,0,4,Abiotic stress,9
6B,B,500000000,520000000,126,0.0635,10,0,4,Fungal resistance,10
6B,B,520000000,540000000,128,0.1328,72,0,4,Abiotic stress,72
6B,B,540000000,560000000,111,0.1171,12,1,5,Abiotic stress,13
6B,B,560000000,580000000,178,0.1236,48,0,6,Abiotic stress,48
6B,B,580000000,600000000,116,0.2069,35,0,5,Abiotic stress,35
6B,B,600000000,620000000,135,0.1333,24,0,5,Abiotic stress,24
6B,B,620000000,640000000,128,0.1328,94,0,4,Abiotic stress,94
6B,B,640000000,660000000,206,0.2767,69,1,6,Abiotic stress,70
6B,B,660000000,680000000,195,0.2205,40,1,6,Abiotic stress,41
6B,B,680000000,700000000,283,0.2155,63,4,8,Abiotic stress,67
6B,B,700000000,720000000,408,0.25,98,3,8,Abiotic stress,101
6B,B,720000000,740000000,19,0.2105,4,0,1,Fungal resistance,4
6D,D,0,20000000,464,0.25,130,2,8,Abiotic stress,132
6D,D,20000000,40000000,324,0.2531,68,0,7,Biofortification,68
6D,D,40000000,60000000,227,0.2467,32,0,3,Biofortification,32
6D,D,60000000,80000000,176,0.2102,28,0,4,Abiotic stress,28
6D,D,80000000,100000000,215,0.2372,113,0,6,Abiotic stress,113
6D,D,100000000,120000000,150,0.1267,18,0,3,Abiotic stress,18
6D,D,120000000,140000000,147,0.1293,5,0,1,Biofortification,5
6D,D,140000000,160000000,114,0.0877,25,0,4,Biofortification,25
6D,D,160000000,180000000,52,0.2692,6,0,3,Biofortification,6
6D,D,180000000,200000000,25,0.08,7,0,3,Biofortification,7
6D,D,200000000,220000000,27,0.2222,7,0,4,Abiotic stress,7
6D,D,220000000,240000000,23,0.087,14,0,5,Biofortification,14
6D,D,240000000,260000000,31,0.0645,7,0,2,Abiotic stress,7
6D,D,260000000,280000000,115,0.0696,16,0,5,Biofortification,16
6D,D,280000000,300000000,119,0.1765,12,0,3,Abiotic stress,12
6D,D,300000000,320000000,169,0.0769,32,0,5,Abiotic stress,32
6D,D,320000000,340000000,104,0.0673,10,0,4,Biofortification,10
6D,D,340000000,360000000,158,0.0696,20,0,4,Abiotic stress,20
6D,D,360000000,380000000,155,0.1161,33,0,3,Abiotic stress,33
6D,D,380000000,400000000,192,0.0938,25,0,3,Biofortification,25
6D,D,400000000,420000000,208,0.0962,29,0,3,Morphological,29
6D,D,420000000,440000000,318,0.1981,45,1,4,Biofortification,46
6D,D,440000000,460000000,376,0.2367,83,0,6,Abiotic stress,83
6D,D,460000000,480000000,307,0.215,165,0,9,Abiotic stress,165
7A,A,0,20000000,464,0.4892,147,0,11,Abiotic stress,147
7A,A,20000000,40000000,301,0.4319,117,1,10,Abiotic stress,118
7A,A,40000000,60000000,233,0.3734,106,1,7,Abiotic stress,107
7A,A,60000000,80000000,281,0.2491,54,1,9,Abiotic stress,55
7A,A,80000000,100000000,238,0.2185,92,3,6,Abiotic stress,95
7A,A,100000000,120000000,165,0.1636,38,0,6,Abiotic stress,38
7A,A,120000000,140000000,230,0.187,36,0,5,Abiotic stress,36
7A,A,140000000,160000000,135,0.1926,10,3,5,Abiotic stress,13
7A,A,160000000,180000000,155,0.0839,72,1,5,Abiotic stress,73
7A,A,180000000,200000000,144,0.1319,23,1,5,Abiotic stress,24
7A,A,200000000,220000000,145,0.1379,18,0,3,Abiotic stress,18
7A,A,220000000,240000000,101,0.0792,14,0,4,Yield,14
7A,A,240000000,260000000,92,0.0652,8,0,2,Abiotic stress,8
7A,A,260000000,280000000,77,0.1688,21,2,3,Abiotic stress,23
7A,A,280000000,300000000,99,0.1616,10,0,2,Abiotic stress,10
7A,A,300000000,320000000,32,0.1562,11,0,4,Abiotic stress,11
7A,A,320000000,340000000,30,0.2667,24,0,3,Fungal resistance,24
7A,A,340000000,360000000,52,0.3077,12,0,3,Yield,12
7A,A,360000000,380000000,26,0.1923,7,0,2,Yield,7
7A,A,380000000,400000000,28,0.1429,1,0,1,Yield,1
7A,A,400000000,420000000,39,0.2821,8,0,2,Yield,8
7A,A,420000000,440000000,95,0.0632,11,0,4,Yield,11
7A,A,440000000,460000000,82,0.1341,16,0,5,Fungal resistance,16
7A,A,460000000,480000000,100,0.13,14,0,4,Abiotic stress,14
7A,A,480000000,500000000,108,0.1296,16,0,4,Abiotic stress,16
7A,A,500000000,520000000,144,0.0694,35,0,4,Abiotic stress,35
7A,A,520000000,540000000,114,0.1667,18,0,3,Abiotic stress,18
7A,A,540000000,560000000,180,0.1278,23,0,5,Fungal resistance,23
7A,A,560000000,580000000,173,0.2312,20,0,5,Abiotic stress,20
7A,A,580000000,600000000,106,0.1698,39,0,6,Yield,39
7A,A,600000000,620000000,160,0.1562,48,0,4,Abiotic stress,48
7A,A,620000000,640000000,196,0.2653,45,0,5,Abiotic stress,45
7A,A,640000000,660000000,187,0.246,69,1,5,Abiotic stress,70
7A,A,660000000,680000000,280,0.2786,112,0,6,Abiotic stress,112
7A,A,680000000,700000000,235,0.2128,106,1,8,Abiotic stress,107
7A,A,700000000,720000000,300,0.2133,294,3,7,Abiotic stress,297
7A,A,720000000,740000000,277,0.2274,184,0,7,Abiotic stress,184
7B,B,0,20000000,225,0.1956,98,1,8,Abiotic stress,99
7B,B,20000000,40000000,177,0.226,37,0,7,Abiotic stress,37
7B,B,40000000,60000000,194,0.1856,77,0,8,Abiotic stress,77
7B,B,60000000,80000000,144,0.125,55,0,6,Yield,55
7B,B,80000000,100000000,144,0.1319,14,1,4,Abiotic stress,15
7B,B,100000000,120000000,187,0.139,19,0,4,Abiotic stress,19
7B,B,120000000,140000000,158,0.1266,54,0,4,Abiotic stress,54
7B,B,140000000,160000000,118,0.1102,49,1,5,Abiotic stress,50
7B,B,160000000,180000000,95,0.0737,59,0,4,Abiotic stress,59
7B,B,180000000,200000000,87,0.1609,35,0,4,Abiotic stress,35
7B,B,200000000,220000000,97,0.1856,16,0,4,Abiotic stress,16
7B,B,220000000,240000000,80,0.125,24,0,3,Abiotic stress,24
7B,B,240000000,260000000,93,0.129,3,0,2,Herbicide tolerance,3
7B,B,260000000,280000000,30,0.1333,8,0,2,Abiotic stress,8
7B,B,280000000,300000000,31,0.2258,4,0,2,Yield,4
7B,B,300000000,320000000,34,0.2059,2,0,1,Yield,2
7B,B,320000000,340000000,89,0.0899,27,0,3,Abiotic stress,27
7B,B,340000000,360000000,22,0.1818,1,0,1,Abiotic stress,1
7B,B,360000000,380000000,76,0.0658,11,0,4,Abiotic stress,11
7B,B,380000000,400000000,97,0.1134,3,0,1,Abiotic stress,3
7B,B,400000000,420000000,61,0.0984,5,0,2,Morphological,5
7B,B,420000000,440000000,126,0.1111,9,0,3,Abiotic stress,9
7B,B,440000000,460000000,134,0.0672,21,0,1,Abiotic stress,21
7B,B,460000000,480000000,104,0.0769,9,0,4,Abiotic stress,9
7B,B,480000000,500000000,128,0.125,21,0,5,Abiotic stress,21
7B,B,500000000,520000000,132,0.0758,50,0,5,Abiotic stress,50
7B,B,520000000,540000000,175,0.1486,36,0,3,Abiotic stress,36
7B,B,540000000,560000000,103,0.1456,22,0,5,Abiotic stress,22
7B,B,560000000,580000000,135,0.2074,55,0,4,Abiotic stress,55
7B,B,580000000,600000000,195,0.2872,55,0,7,Abiotic stress,55
7B,B,600000000,620000000,141,0.234,78,0,6,Abiotic stress,78
7B,B,620000000,640000000,172,0.2384,74,2,4,Abiotic stress,76
7B,B,640000000,660000000,189,0.2381,63,1,7,Abiotic stress,64
7B,B,660000000,680000000,196,0.352,60,4,7,Biofortification,64
7B,B,680000000,700000000,218,0.3028,58,0,7,Abiotic stress,58
7B,B,700000000,720000000,308,0.2468,129,3,9,Abiotic stress,132
7B,B,720000000,740000000,188,0.25,38,1,7,Abiotic stress,39
7B,B,740000000,760000000,209,0.3828,51,0,6,Abiotic stress,51
7D,D,0,20000000,401,0.2244,122,2,7,Abiotic stress,124
7D,D,20000000,40000000,293,0.215,51,0,6,Abiotic stress,51
7D,D,40000000,60000000,313,0.2141,64,0,6,Abiotic stress,64
7D,D,60000000,80000000,321,0.3364,69,1,6,Abiotic stress,70
7D,D,80000000,100000000,236,0.2246,35,2,7,Abiotic stress,37
7D,D,100000000,120000000,186,0.1398,38,2,6,Abiotic stress,40
7D,D,120000000,140000000,193,0.2021,24,0,3,Abiotic stress,24
7D,D,140000000,160000000,140,0.1143,10,1,4,Abiotic stress,11
7D,D,160000000,180000000,183,0.082,29,0,5,Abiotic stress,29
7D,D,180000000,200000000,178,0.0843,47,0,4,Abiotic stress,47
7D,D,200000000,220000000,116,0.1552,12,0,3,Abiotic stress,12
7D,D,220000000,240000000,153,0.2288,4,0,3,Abiotic stress,4
7D,D,240000000,260000000,93,0.0538,2,0,1,Abiotic stress,2
7D,D,260000000,280000000,101,0.1089,4,0,2,Abiotic stress,4
7D,D,280000000,300000000,26,0.0385,3,0,2,Abiotic stress,3
7D,D,300000000,320000000,41,0.1951,1,0,1,Fungal resistance,1
7D,D,320000000,340000000,24,0.1667,2,0,2,Abiotic stress,2
7D,D,340000000,360000000,21,0.1429,13,0,3,Abiotic stress,13
7D,D,360000000,380000000,70,0.0714,13,0,3,Abiotic stress,13
7D,D,380000000,400000000,145,0.1034,34,0,5,Abiotic stress,34
7D,D,400000000,420000000,142,0.1127,15,0,4,Abiotic stress,15
7D,D,420000000,440000000,156,0.1282,9,0,3,Abiotic stress,9
7D,D,440000000,460000000,133,0.0977,14,0,2,Fungal resistance,14
7D,D,460000000,480000000,143,0.0839,3,0,2,Morphological,3
7D,D,480000000,500000000,147,0.1293,8,0,3,Abiotic stress,8
7D,D,500000000,520000000,174,0.1494,22,0,4,Abiotic stress,22
7D,D,520000000,540000000,171,0.1696,34,0,4,Abiotic stress,34
7D,D,540000000,560000000,209,0.2488,75,0,3,Abiotic stress,75
7D,D,560000000,580000000,270,0.2,120,0,5,Abiotic stress,120
7D,D,580000000,600000000,256,0.1875,29,0,6,Abiotic stress,29
7D,D,600000000,620000000,341,0.1906,32,1,7,Abiotic stress,33
7D,D,620000000,640000000,327,0.2355,36,0,7,Abiotic stress,36
