chromosome,genome,window_start_bp,window_end_bp,n_genes,fractionation_rate,mean_gc_content,n_records,n_distinct_studies,n_trait_categories,trait_shannon_entropy,records_per_gene,studies_per_gene
2B,B,550000000,560000000,83,0.1205,51.188,15,13,2,0.7219,0.18072,0.15663
2B,B,560000000,570000000,62,0.1129,52.424,13,6,4,1.4885,0.20968,0.09677
2B,B,570000000,580000000,69,0.1449,51.747,22,7,3,0.5304,0.31884,0.10145
2B,B,580000000,590000000,54,0.1296,52.715,17,11,4,1.1401,0.31481,0.2037
2B,B,590000000,600000000,55,0.1636,53.079,31,8,6,1.8854,0.56364,0.14545
2B,B,600000000,610000000,50,0.12,50.888,41,7,4,1.4194,0.82,0.14
2B,B,610000000,620000000,69,0.1014,50.677,20,8,2,0.8813,0.28986,0.11594
2B,B,620000000,630000000,70,0.1714,52.988,19,7,4,1.723,0.27143,0.1
2B,B,630000000,640000000,86,0.1744,50.022,22,11,4,1.3634,0.25581,0.12791
2B,B,640000000,650000000,82,0.1951,51.298,26,12,4,1.352,0.31707,0.14634
2B,B,650000000,660000000,99,0.202,50.239,20,8,3,0.8842,0.20202,0.08081
2B,B,660000000,670000000,80,0.1375,52.487,41,10,6,1.8195,0.5125,0.125
2B,B,670000000,680000000,87,0.0805,52.905,34,10,6,1.5683,0.3908,0.11494
2B,B,680000000,690000000,100,0.17,52.703,22,14,4,1.3796,0.22,0.14
2B,B,690000000,700000000,135,0.1556,51.887,49,14,4,1.6388,0.36296,0.1037
2B,B,700000000,710000000,96,0.1875,51.576,48,16,6,1.8598,0.5,0.16667
2B,B,710000000,720000000,116,0.1724,53.429,36,9,5,1.8624,0.31034,0.07759
2B,B,720000000,730000000,74,0.1081,52.369,30,11,6,2.0151,0.40541,0.14865
2B,B,730000000,740000000,96,0.2708,49.743,41,15,6,1.4192,0.42708,0.15625
2B,B,740000000,750000000,127,0.2126,50.638,38,22,7,1.9818,0.29921,0.17323
2B,B,750000000,760000000,150,0.2667,52.121,80,14,5,0.7744,0.53333,0.09333
2B,B,760000000,770000000,136,0.2353,51.177,40,17,5,1.4869,0.29412,0.125
2B,B,770000000,780000000,139,0.1511,51.014,44,17,6,1.5758,0.31655,0.1223
2B,B,780000000,790000000,142,0.2676,50.525,61,15,5,1.9183,0.42958,0.10563
2B,B,790000000,800000000,173,0.237,50.989,15,10,5,1.8566,0.08671,0.0578
2B,B,800000000,810000000,19,0.2632,50.702,17,7,3,0.8343,0.89474,0.36842
2D,D,0,10000000,221,0.2127,48.508,57,29,8,2.4414,0.25792,0.13122
2D,D,10000000,20000000,299,0.2609,50.515,98,31,6,1.3517,0.32776,0.10368
2D,D,20000000,30000000,190,0.1789,50.158,49,20,7,1.6555,0.25789,0.10526
2D,D,30000000,40000000,199,0.2513,52.152,41,18,7,2.0698,0.20603,0.09045
2D,D,40000000,50000000,78,0.2051,52.157,6,2,3,1.4591,0.07692,0.02564
2D,D,50000000,60000000,104,0.1635,53.508,15,8,4,1.7465,0.14423,0.07692
2D,D,60000000,70000000,128,0.125,53.775,36,15,5,1.7076,0.28125,0.11719
2D,D,70000000,80000000,155,0.1419,52.006,101,12,7,1.3945,0.65161,0.07742
2D,D,80000000,90000000,117,0.1197,50.037,249,10,6,0.3731,2.12821,0.08547
2D,D,90000000,100000000,81,0.1111,51.687,9,6,4,1.8911,0.11111,0.07407
2D,D,100000000,110000000,94,0.1596,52.675,9,4,3,1.2244,0.09574,0.04255
2D,D,110000000,120000000,111,0.1351,51.001,2,2,2,1.0,0.01802,0.01802
2D,D,120000000,130000000,87,0.1494,51.439,10,2,3,1.361,0.11494,0.02299
2D,D,130000000,140000000,95,0.1158,52.673,13,7,3,0.7732,0.13684,0.07368
2D,D,140000000,150000000,47,0.0426,52.761,20,3,3,0.7476,0.42553,0.06383
2D,D,150000000,160000000,74,0.0811,51.218,13,6,5,1.5059,0.17568,0.08108
2D,D,160000000,170000000,48,0.0833,51.564,4,3,3,1.5,0.08333,0.0625
2D,D,170000000,180000000,50,0.06,52.094,3,1,2,0.9183,0.06,0.02
2D,D,180000000,190000000,61,0.1639,50.579,7,7,1,0.0,0.11475,0.11475
2D,D,190000000,200000000,68,0.0735,50.536,2,1,1,0.0,0.02941,0.01471
2D,D,200000000,210000000,41,0.0976,47.906,0,0,0,0.0,0.0,0.0
2D,D,210000000,220000000,9,0.1111,48.824,0,0,0,0.0,0.0,0.0
2D,D,220000000,230000000,10,0.1,45.03,2,2,2,1.0,0.2,0.2
2D,D,230000000,240000000,11,0.1818,48.086,0,0,0,0.0,0.0,0.0
2D,D,240000000,250000000,15,0.2,50.221,0,0,0,0.0,0.0,0.0
2D,D,250000000,260000000,17,0.1765,45.954,0,0,0,0.0,0.0,0.0
2D,D,260000000,270000000,14,0.1429,45.551,0,0,0,0.0,0.0,0.0
2D,D,270000000,280000000,33,0.303,44.427,2,1,1,0.0,0.06061,0.0303
2D,D,280000000,290000000,15,0.1333,48.0,1,1,1,0.0,0.06667,0.06667
2D,D,290000000,300000000,47,0.1064,47.36,2,2,2,1.0,0.04255,0.04255
2D,D,300000000,310000000,48,0.0625,48.86,2,2,1,0.0,0.04167,0.04167
2D,D,310000000,320000000,65,0.0308,51.742,1,1,1,0.0,0.01538,0.01538
2D,D,320000000,330000000,60,0.0833,50.383,3,3,2,0.9183,0.05,0.05
2D,D,330000000,340000000,47,0.1702,47.741,3,3,1,0.0,0.06383,0.06383
2D,D,340000000,350000000,49,0.0204,49.679,3,1,2,0.9183,0.06122,0.02041
2D,D,350000000,360000000,57,0.0702,49.405,22,8,3,0.9373,0.38596,0.14035
2D,D,360000000,370000000,40,0.0,48.849,5,2,1,0.0,0.125,0.05
2D,D,370000000,380000000,88,0.0795,53.962,8,2,2,0.8113,0.09091,0.02273
2D,D,380000000,390000000,77,0.1818,48.557,4,4,2,1.0,0.05195,0.05195
2D,D,390000000,400000000,69,0.1014,49.584,3,2,2,0.9183,0.04348,0.02899
2D,D,400000000,410000000,85,0.1059,51.354,3,1,1,0.0,0.03529,0.01176
2D,D,410000000,420000000,74,0.1351,53.313,6,4,2,0.9183,0.08108,0.05405
2D,D,420000000,430000000,99,0.101,51.403,6,4,3,1.2516,0.06061,0.0404
2D,D,430000000,440000000,71,0.0704,50.816,9,2,2,0.5033,0.12676,0.02817
2D,D,440000000,450000000,82,0.0854,51.344,11,8,2,0.684,0.13415,0.09756
2D,D,450000000,460000000,60,0.0833,50.297,7,6,4,1.8424,0.11667,0.1
2D,D,460000000,470000000,75,0.2267,49.825,10,3,3,1.1568,0.13333,0.04
2D,D,470000000,480000000,111,0.0901,52.313,6,4,2,0.65,0.05405,0.03604
2D,D,480000000,490000000,100,0.08,52.499,8,4,5,2.25,0.08,0.04
2D,D,490000000,500000000,72,0.1389,51.697,5,3,4,1.9219,0.06944,0.04167
2D,D,500000000,510000000,58,0.069,54.022,2,2,2,1.0,0.03448,0.03448
2D,D,510000000,520000000,70,0.0857,51.476,28,12,6,1.479,0.4,0.17143
2D,D,520000000,530000000,112,0.0982,53.635,7,4,4,1.8424,0.0625,0.03571
2D,D,530000000,540000000,112,0.1339,50.988,8,5,4,1.5488,0.07143,0.04464
2D,D,540000000,550000000,121,0.157,51.721,12,5,5,1.9508,0.09917,0.04132
2D,D,550000000,560000000,99,0.0909,51.956,14,9,4,1.7244,0.14141,0.09091
2D,D,560000000,570000000,138,0.1449,54.566,12,8,4,1.4183,0.08696,0.05797
2D,D,570000000,580000000,145,0.1448,51.559,25,13,6,2.1486,0.17241,0.08966
2D,D,580000000,590000000,129,0.1705,51.69,21,9,4,1.1183,0.16279,0.06977
2D,D,590000000,600000000,147,0.1224,53.412,58,17,5,0.9668,0.39456,0.11565
2D,D,600000000,610000000,159,0.2453,51.285,149,23,7,0.9027,0.93711,0.14465
2D,D,610000000,620000000,196,0.1888,52.379,65,16,5,1.0326,0.33163,0.08163
2D,D,620000000,630000000,171,0.2047,51.309,36,10,5,1.3436,0.21053,0.05848
2D,D,630000000,640000000,208,0.2067,50.401,31,19,6,2.1913,0.14904,0.09135
2D,D,640000000,650000000,212,0.2547,51.042,40,15,7,2.5024,0.18868,0.07075
2D,D,650000000,660000000,44,0.1591,49.891,54,9,5,0.9263,1.22727,0.20455
3A,A,0,10000000,156,0.3654,49.053,100,32,6,1.6927,0.64103,0.20513
3A,A,10000000,20000000,208,0.2596,51.975,41,20,7,2.228,0.19712,0.09615
3A,A,20000000,30000000,170,0.2059,52.308,110,20,7,1.9765,0.64706,0.11765
3A,A,30000000,40000000,141,0.305,51.138,36,13,7,1.8682,0.25532,0.0922
3A,A,40000000,50000000,110,0.2091,47.914,31,17,7,2.0156,0.28182,0.15455
3A,A,50000000,60000000,153,0.1111,51.194,70,11,3,0.2946,0.45752,0.0719
3A,A,60000000,70000000,137,0.1971,53.227,43,10,6,2.0662,0.31387,0.07299
3A,A,70000000,80000000,66,0.1515,50.533,14,7,3,1.0949,0.21212,0.10606
3A,A,80000000,90000000,58,0.1724,51.126,4,4,4,2.0,0.06897,0.06897
3A,A,90000000,100000000,57,0.1579,54.392,2,2,1,0.0,0.03509,0.03509
3A,A,100000000,110000000,91,0.2088,52.893,27,8,3,0.979,0.2967,0.08791
3A,A,110000000,120000000,75,0.0667,53.735,34,1,1,0.0,0.45333,0.01333
3A,A,120000000,130000000,68,0.1471,52.209,6,2,2,0.65,0.08824,0.02941
3A,A,130000000,140000000,36,0.1389,50.286,8,2,3,1.4056,0.22222,0.05556
3A,A,140000000,150000000,50,0.12,51.176,16,6,4,1.1863,0.32,0.12
3A,A,150000000,160000000,40,0.125,50.532,5,4,3,1.5219,0.125,0.1
3A,A,160000000,170000000,45,0.1778,50.85,4,3,1,0.0,0.08889,0.06667
3A,A,170000000,180000000,55,0.1636,52.214,9,5,4,1.8366,0.16364,0.09091
3A,A,180000000,190000000,20,0.05,50.92,5,5,3,1.5219,0.25,0.25
3A,A,190000000,200000000,44,0.2273,47.374,4,3,2,0.8113,0.09091,0.06818
3A,A,200000000,210000000,41,0.122,47.83,9,4,2,0.9911,0.21951,0.09756
3A,A,210000000,220000000,43,0.093,48.067,6,3,2,0.65,0.13953,0.06977
3A,A,220000000,230000000,24,0.1667,47.886,3,2,3,1.585,0.125,0.08333
3A,A,230000000,240000000,21,0.1905,48.632,0,0,0,0.0,0.0,0.0
3A,A,240000000,250000000,17,0.1765,49.56,2,2,2,1.0,0.11765,0.11765
3A,A,250000000,260000000,6,0.1667,46.105,5,1,2,0.7219,0.83333,0.16667
3A,A,260000000,270000000,13,0.0769,45.084,18,4,3,1.135,1.38462,0.30769
3A,A,270000000,280000000,8,0.25,46.989,3,2,2,0.9183,0.375,0.25
3A,A,290000000,300000000,10,0.3,47.319,5,1,1,0.0,0.5,0.1
3A,A,300000000,310000000,11,0.0909,47.447,10,2,2,1.0,0.90909,0.18182
3A,A,310000000,320000000,10,0.2,47.687,9,2,2,0.9183,0.9,0.2
3A,A,320000000,330000000,13,0.2308,48.078,7,2,2,0.5917,0.53846,0.15385
3A,A,330000000,340000000,18,0.1667,48.852,15,1,1,0.0,0.83333,0.05556
3A,A,340000000,350000000,14,0.2857,51.376,3,2,2,0.9183,0.21429,0.14286
3A,A,350000000,360000000,14,0.1429,45.946,7,1,1,0.0,0.5,0.07143
3A,A,360000000,370000000,35,0.1143,48.374,10,1,1,0.0,0.28571,0.02857
3A,A,370000000,380000000,28,0.0357,49.263,17,5,2,0.6723,0.60714,0.17857
3A,A,380000000,390000000,29,0.1034,49.348,1,1,1,0.0,0.03448,0.03448
3A,A,390000000,400000000,36,0.1111,48.514,8,2,1,0.0,0.22222,0.05556
3A,A,400000000,410000000,27,0.037,49.757,5,3,1,0.0,0.18519,0.11111
3A,A,410000000,420000000,34,0.2941,49.369,5,2,1,0.0,0.14706,0.05882
3A,A,420000000,430000000,55,0.0909,51.044,13,3,1,0.0,0.23636,0.05455
3A,A,430000000,440000000,55,0.0727,50.909,37,6,5,0.8311,0.67273,0.10909
3A,A,440000000,450000000,40,0.05,50.573,13,1,1,0.0,0.325,0.025
3A,A,450000000,460000000,57,0.1579,49.403,7,4,2,0.5917,0.12281,0.07018
3A,A,460000000,470000000,50,0.0,50.525,3,3,1,0.0,0.06,0.06
3A,A,470000000,480000000,75,0.12,51.992,14,6,3,1.4138,0.18667,0.08
3A,A,480000000,490000000,71,0.0986,50.327,9,6,2,0.5033,0.12676,0.08451
3A,A,490000000,500000000,57,0.1579,50.548,26,6,5,1.6963,0.45614,0.10526
3A,A,500000000,510000000,101,0.099,50.959,59,10,6,1.7362,0.58416,0.09901
3A,A,510000000,520000000,98,0.1224,52.748,112,14,6,1.2926,1.14286,0.14286
3A,A,520000000,530000000,58,0.2069,51.335,20,7,3,1.2345,0.34483,0.12069
3A,A,530000000,540000000,83,0.0602,50.69,32,9,7,2.0389,0.38554,0.10843
3A,A,540000000,550000000,70,0.1143,51.879,21,7,5,1.7957,0.3,0.1
3A,A,550000000,560000000,77,0.0779,53.303,46,8,3,0.7652,0.5974,0.1039
3A,A,560000000,570000000,68,0.1176,49.683,31,7,5,0.9474,0.45588,0.10294
3A,A,570000000,580000000,90,0.1333,52.923,40,14,7,1.481,0.44444,0.15556
3A,A,580000000,590000000,92,0.163,49.058,15,8,4,1.3753,0.16304,0.08696
3A,A,590000000,600000000,99,0.2222,52.232,6,4,4,1.9183,0.06061,0.0404
3A,A,600000000,610000000,103,0.0971,52.608,6,4,3,1.4591,0.05825,0.03883
3A,A,610000000,620000000,73,0.1644,52.092,25,8,5,1.3215,0.34247,0.10959
3A,A,620000000,630000000,120,0.1417,53.85,109,4,3,0.3131,0.90833,0.03333
3A,A,630000000,640000000,144,0.2292,51.564,94,8,2,0.2039,0.65278,0.05556
3A,A,640000000,650000000,142,0.1549,51.27,47,10,6,0.9241,0.33099,0.07042
3A,A,650000000,660000000,131,0.1908,51.842,314,13,5,0.1976,2.39695,0.09924
3A,A,660000000,670000000,91,0.0989,50.872,43,7,3,0.8441,0.47253,0.07692
3A,A,670000000,680000000,99,0.2828,48.204,23,2,1,0.0,0.23232,0.0202
3A,A,680000000,690000000,159,0.1572,52.238,18,11,3,1.2997,0.11321,0.06918
3A,A,690000000,700000000,147,0.1837,51.191,33,14,5,1.4153,0.22449,0.09524
3A,A,700000000,710000000,118,0.2627,51.204,129,14,5,0.6287,1.09322,0.11864
3A,A,710000000,720000000,172,0.2616,51.505,90,26,7,1.5107,0.52326,0.15116
3A,A,720000000,730000000,161,0.236,51.425,63,22,6,2.1321,0.3913,0.13665
3A,A,730000000,740000000,179,0.3128,49.585,39,17,4,1.5377,0.21788,0.09497
3A,A,740000000,750000000,140,0.2786,50.819,16,10,5,2.0524,0.11429,0.07143
3A,A,750000000,760000000,10,0.3,47.504,1,1,1,0.0,0.1,0.1
3B,B,0,10000000,238,0.2311,50.64,133,33,10,2.2494,0.55882,0.13866
3B,B,10000000,20000000,172,0.2209,53.05,65,24,7,1.7905,0.37791,0.13953
3B,B,20000000,30000000,161,0.2981,52.036,69,21,6,1.5073,0.42857,0.13043
3B,B,30000000,40000000,100,0.26,54.493,34,13,6,2.0097,0.34,0.13
3B,B,40000000,50000000,128,0.2344,51.329,26,12,5,1.7407,0.20312,0.09375
3B,B,50000000,60000000,116,0.1983,48.277,27,13,6,2.0862,0.23276,0.11207
3B,B,60000000,70000000,122,0.1393,50.805,56,16,6,1.3554,0.45902,0.13115
3B,B,70000000,80000000,114,0.193,52.922,24,12,3,0.7852,0.21053,0.10526
3B,B,80000000,90000000,62,0.1935,52.27,12,9,3,1.325,0.19355,0.14516
3B,B,90000000,100000000,56,0.1964,51.618,6,5,2,0.65,0.10714,0.08929
3B,B,100000000,110000000,38,0.1579,47.787,3,1,2,0.9183,0.07895,0.02632
3B,B,110000000,120000000,86,0.2326,51.49,9,4,4,1.4466,0.10465,0.04651
3B,B,120000000,130000000,56,0.0536,51.805,18,5,2,0.3095,0.32143,0.08929
3B,B,130000000,140000000,64,0.1875,51.654,10,3,2,0.469,0.15625,0.04688
3B,B,140000000,150000000,85,0.0706,52.814,24,9,4,1.1242,0.28235,0.10588
3B,B,150000000,160000000,52,0.0962,52.088,4,4,2,1.0,0.07692,0.07692
3B,B,160000000,170000000,77,0.1169,54.885,9,3,1,0.0,0.11688,0.03896
3B,B,170000000,180000000,68,0.2794,50.875,0,0,0,0.0,0.0,0.0
3B,B,180000000,190000000,47,0.1277,48.259,1,1,1,0.0,0.02128,0.02128
3B,B,190000000,200000000,27,0.1481,49.426,2,2,2,1.0,0.07407,0.07407
3B,B,200000000,210000000,101,0.3069,45.962,6,2,2,0.9183,0.05941,0.0198
3B,B,210000000,220000000,14,0.4286,52.499,1,1,1,0.0,0.07143,0.07143
3B,B,220000000,230000000,53,0.0189,51.272,3,2,2,0.9183,0.0566,0.03774
3B,B,230000000,240000000,44,0.1364,51.364,3,3,2,0.9183,0.06818,0.06818
3B,B,240000000,250000000,51,0.1569,47.831,2,2,1,0.0,0.03922,0.03922
3B,B,250000000,260000000,66,0.0606,49.466,10,7,4,1.8464,0.15152,0.10606
3B,B,260000000,270000000,29,0.1034,49.027,1,1,1,0.0,0.03448,0.03448
3B,B,270000000,280000000,15,0.1333,48.013,4,3,2,0.8113,0.26667,0.2
3B,B,280000000,290000000,7,0.0,45.091,1,1,1,0.0,0.14286,0.14286
3B,B,290000000,300000000,10,0.3,43.311,4,1,2,0.8113,0.4,0.1
3B,B,300000000,310000000,12,0.1667,47.769,2,1,2,1.0,0.16667,0.08333
3B,B,310000000,320000000,10,0.1,43.604,0,0,0,0.0,0.0,0.0
3B,B,320000000,330000000,12,0.25,48.679,3,1,1,0.0,0.25,0.08333
3B,B,330000000,340000000,12,0.0833,47.868,1,1,1,0.0,0.08333,0.08333
3B,B,340000000,350000000,18,0.1111,44.57,2,2,2,1.0,0.11111,0.11111
3B,B,350000000,360000000,13,0.3077,46.492,1,1,1,0.0,0.07692,0.07692
3B,B,360000000,370000000,34,0.1765,46.484,2,1,1,0.0,0.05882,0.02941
3B,B,370000000,380000000,42,0.119,48.653,3,2,2,0.9183,0.07143,0.04762
3B,B,380000000,390000000,46,0.0652,47.77,1,0,1,0.0,0.02174,0.0
3B,B,390000000,400000000,44,0.0455,48.236,9,4,3,1.2244,0.20455,0.09091
3B,B,400000000,410000000,38,0.1053,47.333,4,2,1,0.0,0.10526,0.05263
3B,B,410000000,420000000,75,0.04,51.35,26,8,3,0.4682,0.34667,0.10667
3B,B,420000000,430000000,55,0.0727,49.818,3,3,1,0.0,0.05455,0.05455
3B,B,430000000,440000000,55,0.0727,50.539,22,9,2,0.2668,0.4,0.16364
3B,B,440000000,450000000,66,0.1061,49.44,2,2,1,0.0,0.0303,0.0303
3B,B,450000000,460000000,71,0.0704,51.582,7,7,2,0.8631,0.09859,0.09859
3B,B,460000000,470000000,47,0.3617,48.064,8,3,2,0.9544,0.17021,0.06383
3B,B,470000000,480000000,69,0.1449,51.444,12,7,3,1.1887,0.17391,0.10145
3B,B,480000000,490000000,57,0.0877,48.871,12,5,2,0.65,0.21053,0.08772
3B,B,490000000,500000000,62,0.0806,50.575,21,5,2,0.2762,0.33871,0.08065
3B,B,500000000,510000000,58,0.0345,52.462,18,5,3,1.4153,0.31034,0.08621
3B,B,510000000,520000000,40,0.175,50.502,18,7,4,1.2752,0.45,0.175
3B,B,520000000,530000000,73,0.1644,51.938,14,6,4,1.2917,0.19178,0.08219
3B,B,530000000,540000000,51,0.0392,51.213,3,2,2,0.9183,0.05882,0.03922
3B,B,540000000,550000000,94,0.117,51.58,43,8,4,0.828,0.45745,0.08511
3B,B,550000000,560000000,71,0.1268,50.315,38,12,3,0.471,0.53521,0.16901
3B,B,560000000,570000000,79,0.1266,52.586,18,8,3,0.8031,0.22785,0.10127
3B,B,570000000,580000000,97,0.1546,50.32,12,6,5,1.9508,0.12371,0.06186
3B,B,580000000,590000000,75,0.0533,49.513,18,6,4,1.2332,0.24,0.08
3B,B,590000000,600000000,68,0.1765,53.371,16,8,3,1.1995,0.23529,0.11765
3B,B,600000000,610000000,62,0.129,50.687,8,7,3,1.0613,0.12903,0.1129
3B,B,610000000,620000000,60,0.05,53.134,7,4,3,1.3788,0.11667,0.06667
3B,B,620000000,630000000,56,0.1607,51.353,19,3,2,0.2975,0.33929,0.05357
3B,B,630000000,640000000,57,0.0702,51.153,4,3,1,0.0,0.07018,0.05263
3B,B,640000000,650000000,90,0.1444,54.636,9,5,4,1.9749,0.1,0.05556
3B,B,650000000,660000000,115,0.2261,51.571,6,2,3,1.4591,0.05217,0.01739
3B,B,660000000,670000000,83,0.1205,50.396,10,6,6,2.371,0.12048,0.07229
3B,B,670000000,680000000,88,0.1477,51.011,8,4,3,1.5613,0.09091,0.04545
3B,B,680000000,690000000,91,0.2637,51.429,12,7,4,1.6258,0.13187,0.07692
3B,B,690000000,700000000,81,0.0864,52.446,9,6,4,1.4466,0.11111,0.07407
3B,B,700000000,710000000,102,0.1863,50.292,14,5,4,1.6106,0.13725,0.04902
3B,B,710000000,720000000,41,0.1707,53.39,9,6,5,2.1133,0.21951,0.14634
3B,B,720000000,730000000,124,0.2581,50.308,39,14,5,1.3871,0.31452,0.1129
3B,B,730000000,740000000,134,0.2836,52.681,66,14,6,1.2672,0.49254,0.10448
3B,B,740000000,750000000,96,0.2396,52.117,10,6,4,1.571,0.10417,0.0625
3B,B,750000000,760000000,107,0.3178,51.931,194,11,6,0.779,1.81308,0.1028
3B,B,760000000,770000000,112,0.3036,48.966,31,14,5,1.7893,0.27679,0.125
3B,B,770000000,780000000,142,0.2606,52.449,24,15,5,1.5016,0.16901,0.10563
3B,B,780000000,790000000,138,0.3406,51.843,31,9,4,0.6121,0.22464,0.06522
3B,B,790000000,800000000,116,0.1983,50.713,20,12,3,1.054,0.17241,0.10345
3B,B,800000000,810000000,136,0.3824,49.553,33,10,5,2.047,0.24265,0.07353
3B,B,810000000,820000000,172,0.3256,49.302,31,17,6,2.1941,0.18023,0.09884
3B,B,820000000,830000000,174,0.4253,50.797,18,10,4,1.3355,0.10345,0.05747
3B,B,830000000,840000000,14,1.0,45.045,0,0,0,0.0,0.0,0.0
3D,D,0,10000000,288,0.1979,51.089,62,23,9,1.909,0.21528,0.07986
3D,D,10000000,20000000,226,0.2434,51.613,29,10,5,1.3325,0.12832,0.04425
3D,D,20000000,30000000,180,0.2444,49.577,28,9,5,1.7958,0.15556,0.05
3D,D,30000000,40000000,119,0.1681,49.108,51,6,4,0.6698,0.42857,0.05042
3D,D,40000000,50000000,182,0.1319,52.174,28,10,4,1.223,0.15385,0.05495
3D,D,50000000,60000000,90,0.2,50.998,7,6,3,1.5567,0.07778,0.06667
3D,D,60000000,70000000,95,0.1789,52.801,5,3,3,1.5219,0.05263,0.03158
3D,D,70000000,80000000,62,0.1613,50.69,10,3,3,1.2955,0.16129,0.04839
3D,D,80000000,90000000,75,0.12,52.581,8,4,2,0.9544,0.10667,0.05333
3D,D,90000000,100000000,96,0.1562,54.045,7,5,1,0.0,0.07292,0.05208
3D,D,100000000,110000000,60,0.1167,53.212,12,5,2,0.4138,0.2,0.08333
3D,D,110000000,120000000,70,0.1286,53.375,4,3,4,2.0,0.05714,0.04286
3D,D,120000000,130000000,65,0.0923,50.948,3,2,2,0.9183,0.04615,0.03077
3D,D,130000000,140000000,71,0.1268,51.064,16,5,4,1.5919,0.22535,0.07042
3D,D,140000000,150000000,40,0.15,50.602,7,3,3,1.4488,0.175,0.075
3D,D,150000000,160000000,72,0.0972,50.223,6,5,3,1.2516,0.08333,0.06944
3D,D,160000000,170000000,60,0.1,49.192,12,5,3,1.0409,0.2,0.08333
3D,D,170000000,180000000,69,0.0,49.088,19,5,3,1.087,0.27536,0.07246
3D,D,180000000,190000000,42,0.0952,48.55,11,2,2,0.684,0.2619,0.04762
3D,D,190000000,200000000,11,0.0909,45.553,16,3,4,1.1863,1.45455,0.27273
3D,D,200000000,210000000,12,0.1667,45.153,21,3,2,0.5917,1.75,0.25
3D,D,210000000,220000000,19,0.4737,47.837,5,1,1,0.0,0.26316,0.05263
3D,D,220000000,230000000,8,0.125,43.425,26,3,3,1.0101,3.25,0.375
3D,D,230000000,240000000,14,0.2857,46.849,15,3,3,0.9056,1.07143,0.21429
3D,D,240000000,250000000,11,0.2727,49.992,23,2,3,0.8405,2.09091,0.18182
3D,D,250000000,260000000,27,0.2963,45.528,5,2,1,0.0,0.18519,0.07407
3D,D,260000000,270000000,16,0.0,46.104,15,2,4,1.5546,0.9375,0.125
3D,D,270000000,280000000,38,0.0263,47.007,12,1,1,0.0,0.31579,0.02632
3D,D,280000000,290000000,38,0.0789,48.32,9,2,1,0.0,0.23684,0.05263
3D,D,290000000,300000000,55,0.0727,50.393,13,3,2,0.3912,0.23636,0.05455
3D,D,300000000,310000000,82,0.0854,50.473,4,3,3,1.5,0.04878,0.03659
3D,D,310000000,320000000,42,0.0714,48.798,17,4,2,0.5226,0.40476,0.09524
3D,D,320000000,330000000,58,0.0517,49.207,2,2,1,0.0,0.03448,0.03448
3D,D,330000000,340000000,62,0.0968,50.001,3,3,1,0.0,0.04839,0.04839
3D,D,340000000,350000000,54,0.037,49.945,4,4,3,1.5,0.07407,0.07407
3D,D,350000000,360000000,77,0.1039,52.607,2,2,2,1.0,0.02597,0.02597
3D,D,360000000,370000000,85,0.1059,50.971,5,4,3,1.371,0.05882,0.04706
3D,D,370000000,380000000,75,0.0933,50.423,8,4,2,0.9544,0.10667,0.05333
3D,D,380000000,390000000,78,0.1282,51.114,4,3,4,2.0,0.05128,0.03846
3D,D,390000000,400000000,82,0.0976,52.562,13,9,5,1.9878,0.15854,0.10976
3D,D,400000000,410000000,64,0.0938,52.031,10,6,3,1.1568,0.15625,0.09375
3D,D,410000000,420000000,106,0.1038,50.785,9,6,4,1.4466,0.08491,0.0566
3D,D,420000000,430000000,108,0.0833,51.453,0,0,0,0.0,0.0,0.0
3D,D,430000000,440000000,104,0.1058,52.845,8,4,3,1.0613,0.07692,0.03846
3D,D,440000000,450000000,105,0.1524,48.731,7,5,3,1.3788,0.06667,0.04762
3D,D,450000000,460000000,114,0.1491,53.262,0,0,0,0.0,0.0,0.0
3D,D,460000000,470000000,91,0.1099,53.241,7,5,3,1.1488,0.07692,0.05495
3D,D,470000000,480000000,81,0.037,52.64,2,2,2,1.0,0.02469,0.02469
3D,D,480000000,490000000,131,0.2366,54.205,4,4,2,0.8113,0.03053,0.03053
3D,D,490000000,500000000,85,0.1647,51.932,7,5,5,2.1281,0.08235,0.05882
3D,D,500000000,510000000,102,0.1765,50.659,15,7,4,1.9329,0.14706,0.06863
3D,D,510000000,520000000,113,0.2035,51.049,21,6,3,0.7229,0.18584,0.0531
3D,D,520000000,530000000,125,0.128,52.092,8,5,3,1.2988,0.064,0.04
3D,D,530000000,540000000,94,0.1915,50.719,7,5,3,1.3788,0.07447,0.05319
3D,D,540000000,550000000,134,0.2015,50.339,15,7,5,1.7383,0.11194,0.05224
3D,D,550000000,560000000,129,0.1628,52.845,17,7,3,1.3328,0.13178,0.05426
3D,D,560000000,570000000,136,0.1838,51.119,38,10,6,1.3899,0.27941,0.07353
3D,D,570000000,580000000,168,0.2024,51.596,25,10,5,1.7909,0.14881,0.05952
3D,D,580000000,590000000,190,0.2947,52.255,18,7,5,1.6794,0.09474,0.03684
3D,D,590000000,600000000,165,0.2182,50.08,56,11,4,0.93,0.33939,0.06667
3D,D,600000000,610000000,204,0.2059,49.455,40,19,7,2.3891,0.19608,0.09314
3D,D,610000000,620000000,118,0.339,51.818,31,15,6,1.6075,0.26271,0.12712
4A,A,0,10000000,159,0.0881,52.781,59,23,7,1.6553,0.37107,0.14465
4A,A,10000000,20000000,124,0.2097,51.378,56,10,5,0.7739,0.45161,0.08065
