chromosome,genome,window_start_bp,window_end_bp,n_genes,fractionation_rate,mean_gc_content,n_records,n_distinct_studies,n_trait_categories,trait_shannon_entropy,records_per_gene,studies_per_gene
3D,D,540000000,560000000,263,0.1825,51.568,32,10,5,1.6806,0.12167,0.03802
3D,D,560000000,580000000,304,0.1941,51.383,63,17,8,1.7281,0.20724,0.05592
3D,D,580000000,600000000,355,0.2592,51.244,74,16,7,1.3547,0.20845,0.04507
3D,D,600000000,620000000,322,0.2547,50.321,71,29,8,2.2233,0.2205,0.09006
4A,A,0,20000000,283,0.1413,52.166,115,29,7,1.3192,0.40636,0.10247
4A,A,20000000,40000000,237,0.2489,50.854,49,17,6,1.1477,0.20675,0.07173
4A,A,40000000,60000000,145,0.1103,50.501,35,16,5,1.3663,0.24138,0.11034
4A,A,60000000,80000000,159,0.1635,50.884,32,12,6,2.2443,0.20126,0.07547
4A,A,80000000,100000000,133,0.0977,51.624,29,10,5,2.0299,0.21805,0.07519
4A,A,100000000,120000000,130,0.0538,51.471,36,11,5,1.2704,0.27692,0.08462
4A,A,120000000,140000000,94,0.0851,49.801,36,6,3,0.4903,0.38298,0.06383
4A,A,140000000,160000000,96,0.0833,51.245,23,4,4,0.9274,0.23958,0.04167
4A,A,160000000,180000000,77,0.0649,49.556,26,11,4,0.6988,0.33766,0.14286
4A,A,180000000,200000000,43,0.1628,49.48,5,4,3,1.371,0.11628,0.09302
4A,A,200000000,220000000,38,0.3421,47.87,3,2,2,0.9183,0.07895,0.05263
4A,A,220000000,240000000,23,0.2174,47.283,6,3,3,1.2516,0.26087,0.13043
4A,A,240000000,260000000,32,0.2188,48.0,3,1,2,0.9183,0.09375,0.03125
4A,A,260000000,280000000,15,0.4667,49.468,9,6,5,2.281,0.6,0.4
4A,A,280000000,300000000,23,0.1739,44.662,3,1,2,0.9183,0.13043,0.04348
4A,A,300000000,320000000,66,0.4242,42.061,4,1,1,0.0,0.06061,0.01515
4A,A,320000000,340000000,22,0.1818,47.024,6,3,3,1.4591,0.27273,0.13636
4A,A,340000000,360000000,34,0.3529,45.905,4,1,2,0.8113,0.11765,0.02941
4A,A,360000000,380000000,16,0.1875,45.914,4,3,2,0.8113,0.25,0.1875
4A,A,380000000,400000000,17,0.2353,46.669,4,2,2,0.8113,0.23529,0.11765
4A,A,400000000,420000000,24,0.2917,44.924,1,1,1,0.0,0.04167,0.04167
4A,A,420000000,440000000,43,0.2093,48.696,5,2,3,1.371,0.11628,0.04651
4A,A,440000000,460000000,96,0.125,52.115,4,2,2,0.8113,0.04167,0.02083
4A,A,460000000,480000000,142,0.0845,50.229,35,13,4,0.6841,0.24648,0.09155
4A,A,480000000,500000000,89,0.1124,50.884,43,3,2,0.583,0.48315,0.03371
4A,A,500000000,520000000,116,0.1379,51.825,20,10,4,1.0219,0.17241,0.08621
4A,A,520000000,540000000,118,0.1356,50.478,13,6,4,1.7381,0.11017,0.05085
4A,A,540000000,560000000,190,0.1474,50.634,15,7,4,1.7819,0.07895,0.03684
4A,A,560000000,580000000,188,0.1117,51.559,50,16,5,0.8422,0.26596,0.08511
4A,A,580000000,600000000,378,0.1323,51.413,65,23,8,2.1542,0.17196,0.06085
4A,A,600000000,620000000,335,0.2,50.122,139,34,8,1.6199,0.41493,0.10149
4A,A,620000000,640000000,440,0.4705,49.287,158,24,7,1.636,0.35909,0.05455
4A,A,640000000,660000000,150,0.2933,51.393,29,8,4,0.6438,0.19333,0.05333
4A,A,660000000,680000000,255,0.4039,51.68,41,11,6,1.6653,0.16078,0.04314
4A,A,680000000,700000000,224,0.2902,53.621,37,13,6,1.5754,0.16518,0.05804
4A,A,700000000,720000000,272,0.4779,51.145,97,32,7,1.6456,0.35662,0.11765
4A,A,720000000,740000000,336,0.5565,49.442,97,28,6,1.4809,0.28869,0.08333
4A,A,740000000,760000000,118,0.4576,47.71,15,10,3,1.371,0.12712,0.08475
4B,B,0,20000000,277,0.2166,51.492,187,48,10,1.4681,0.67509,0.17329
4B,B,20000000,40000000,249,0.1084,51.082,848,18,5,0.337,3.40562,0.07229
4B,B,40000000,60000000,155,0.1097,51.567,45,15,5,1.1745,0.29032,0.09677
4B,B,60000000,80000000,146,0.1096,50.769,80,10,4,0.8538,0.54795,0.06849
4B,B,80000000,100000000,150,0.16,49.711,21,12,5,1.6052,0.14,0.08
4B,B,100000000,120000000,127,0.126,50.796,11,5,2,0.9457,0.08661,0.03937
4B,B,120000000,140000000,110,0.1455,51.376,9,2,3,0.9864,0.08182,0.01818
4B,B,140000000,160000000,70,0.2429,48.95,9,5,3,0.9864,0.12857,0.07143
4B,B,160000000,180000000,100,0.06,50.756,28,8,5,1.0201,0.28,0.08
4B,B,180000000,200000000,80,0.0875,50.882,6,2,2,1.0,0.075,0.025
4B,B,200000000,220000000,45,0.3333,44.847,5,3,1,0.0,0.11111,0.06667
4B,B,220000000,240000000,23,0.4348,46.791,4,2,1,0.0,0.17391,0.08696
4B,B,240000000,260000000,20,0.2,45.527,4,1,1,0.0,0.2,0.05
4B,B,260000000,280000000,24,0.0417,46.341,4,2,2,0.8113,0.16667,0.08333
4B,B,280000000,300000000,18,0.0556,46.792,1,0,1,0.0,0.05556,0.0
4B,B,300000000,320000000,38,0.1579,44.107,3,3,2,0.9183,0.07895,0.07895
4B,B,320000000,340000000,25,0.2,48.232,1,1,1,0.0,0.04,0.04
4B,B,340000000,360000000,25,0.24,44.39,5,3,2,0.7219,0.2,0.12
4B,B,360000000,380000000,70,0.1,47.56,12,5,3,1.0409,0.17143,0.07143
4B,B,380000000,400000000,89,0.0562,49.423,2,2,2,1.0,0.02247,0.02247
4B,B,400000000,420000000,128,0.1406,52.244,30,11,6,1.3055,0.23438,0.08594
4B,B,420000000,440000000,111,0.0811,49.787,14,5,3,1.2871,0.12613,0.04505
4B,B,440000000,460000000,109,0.0734,50.509,13,5,3,1.5262,0.11927,0.04587
4B,B,460000000,480000000,104,0.0288,51.566,0,0,0,0.0,0.0,0.0
4B,B,480000000,500000000,122,0.1639,50.556,57,9,3,0.5821,0.46721,0.07377
4B,B,500000000,520000000,134,0.097,50.311,23,2,2,0.258,0.17164,0.01493
4B,B,520000000,540000000,146,0.2671,49.313,163,15,7,0.813,1.11644,0.10274
4B,B,540000000,560000000,105,0.1333,52.501,36,17,5,1.7274,0.34286,0.1619
4B,B,560000000,580000000,168,0.1488,52.46,51,13,5,1.7436,0.30357,0.07738
4B,B,580000000,600000000,149,0.1275,53.653,38,17,5,1.4253,0.25503,0.11409
4B,B,600000000,620000000,197,0.1168,53.216,85,22,6,1.7638,0.43147,0.11168
4B,B,620000000,640000000,172,0.1977,51.869,38,10,5,1.3779,0.22093,0.05814
4B,B,640000000,660000000,305,0.2033,52.974,73,26,6,1.3804,0.23934,0.08525
4B,B,660000000,680000000,228,0.4342,51.395,64,31,7,1.8791,0.2807,0.13596
4D,D,0,20000000,457,0.1641,51.356,108,32,7,1.6148,0.23632,0.07002
4D,D,20000000,40000000,205,0.1171,51.046,73,10,6,1.0415,0.3561,0.04878
4D,D,40000000,60000000,202,0.0941,50.048,107,9,2,0.3486,0.5297,0.04455
4D,D,60000000,80000000,159,0.0943,51.242,51,10,5,1.1669,0.32075,0.06289
4D,D,80000000,100000000,167,0.1377,50.752,32,6,2,0.6253,0.19162,0.03593
4D,D,100000000,120000000,149,0.0671,50.684,34,7,5,1.6208,0.22819,0.04698
4D,D,120000000,140000000,144,0.1806,49.59,14,7,4,1.4299,0.09722,0.04861
4D,D,140000000,160000000,19,0.1053,49.81,5,4,2,0.971,0.26316,0.21053
4D,D,160000000,180000000,30,0.2667,45.472,9,6,3,0.9864,0.3,0.2
4D,D,180000000,200000000,18,0.1111,45.754,7,5,2,0.8631,0.38889,0.27778
4D,D,200000000,220000000,38,0.2368,44.505,7,5,2,0.5917,0.18421,0.13158
4D,D,220000000,240000000,27,0.1852,45.861,9,4,3,0.9864,0.33333,0.14815
4D,D,240000000,260000000,40,0.35,46.235,3,3,2,0.9183,0.075,0.075
4D,D,260000000,280000000,20,0.0,46.718,4,2,2,0.8113,0.2,0.1
4D,D,280000000,300000000,63,0.1429,47.892,8,4,4,1.75,0.12698,0.06349
4D,D,300000000,320000000,105,0.0381,49.563,6,3,3,1.4591,0.05714,0.02857
4D,D,320000000,340000000,137,0.1095,51.608,54,6,3,0.2656,0.39416,0.0438
4D,D,340000000,360000000,130,0.0769,50.031,8,5,2,0.5436,0.06154,0.03846
4D,D,360000000,380000000,138,0.0217,51.694,12,6,5,1.7807,0.08696,0.04348
4D,D,380000000,400000000,151,0.1325,51.779,26,4,2,0.2352,0.17219,0.02649
4D,D,400000000,420000000,141,0.1418,50.734,6,3,3,1.4591,0.04255,0.02128
4D,D,420000000,440000000,202,0.1931,50.343,11,4,1,0.0,0.05446,0.0198
4D,D,440000000,460000000,205,0.1854,53.162,8,4,3,1.4056,0.03902,0.01951
4D,D,460000000,480000000,256,0.1055,54.117,20,5,5,1.8427,0.07812,0.01953
4D,D,480000000,500000000,313,0.1278,52.334,72,15,5,0.622,0.23003,0.04792
4D,D,500000000,520000000,223,0.1659,51.897,51,13,5,1.6277,0.2287,0.0583
5A,A,0,20000000,282,0.2908,49.539,175,45,8,1.6043,0.62057,0.15957
5A,A,20000000,40000000,183,0.2077,51.234,100,23,5,1.3349,0.54645,0.12568
5A,A,40000000,60000000,162,0.216,50.486,49,14,6,1.3659,0.30247,0.08642
5A,A,60000000,80000000,1015,0.9123,52.115,34,13,5,1.2167,0.0335,0.01281
5A,A,80000000,100000000,88,0.1477,51.183,28,6,3,1.1516,0.31818,0.06818
5A,A,100000000,120000000,102,0.2157,49.64,45,15,4,1.1224,0.44118,0.14706
5A,A,120000000,140000000,92,0.1413,48.857,15,4,3,0.6998,0.16304,0.04348
5A,A,140000000,160000000,49,0.2857,48.064,8,6,3,1.5613,0.16327,0.12245
5A,A,160000000,180000000,37,0.2973,46.548,1,1,1,0.0,0.02703,0.02703
5A,A,180000000,200000000,24,0.25,49.03,3,3,3,1.585,0.125,0.125
5A,A,200000000,220000000,31,0.1935,49.201,1,0,1,0.0,0.03226,0.0
5A,A,220000000,240000000,49,0.2449,47.782,9,4,3,0.9864,0.18367,0.08163
5A,A,240000000,260000000,28,0.2857,49.841,4,3,1,0.0,0.14286,0.10714
5A,A,260000000,280000000,55,0.1455,49.576,16,5,2,0.3373,0.29091,0.09091
5A,A,280000000,300000000,68,0.0882,50.501,8,4,2,0.5436,0.11765,0.05882
5A,A,300000000,320000000,104,0.1827,49.709,5,2,2,0.971,0.04808,0.01923
5A,A,320000000,340000000,154,0.1623,49.645,15,9,3,1.371,0.0974,0.05844
5A,A,340000000,360000000,94,0.0957,48.856,7,3,2,0.8631,0.07447,0.03191
5A,A,360000000,380000000,121,0.0909,49.235,4,2,2,0.8113,0.03306,0.01653
5A,A,380000000,400000000,152,0.125,50.525,61,13,6,1.2612,0.40132,0.08553
5A,A,400000000,420000000,115,0.1391,51.209,44,15,4,1.0361,0.38261,0.13043
5A,A,420000000,440000000,170,0.1471,51.531,38,17,6,1.7662,0.22353,0.1
5A,A,440000000,460000000,217,0.1244,54.492,60,18,5,1.535,0.2765,0.08295
5A,A,460000000,480000000,228,0.1579,51.795,57,20,5,1.4463,0.25,0.08772
5A,A,480000000,500000000,214,0.2056,50.927,49,15,7,1.7303,0.22897,0.07009
5A,A,500000000,520000000,172,0.1453,50.109,79,22,6,1.4313,0.4593,0.12791
5A,A,520000000,540000000,234,0.1709,54.131,57,21,6,1.9972,0.24359,0.08974
5A,A,540000000,560000000,271,0.1513,52.375,76,21,5,1.5207,0.28044,0.07749
5A,A,560000000,580000000,256,0.2305,51.627,139,28,7,1.5085,0.54297,0.10938
5A,A,580000000,600000000,299,0.1338,52.04,225,36,9,1.138,0.75251,0.1204
5A,A,600000000,620000000,295,0.2,51.168,66,23,6,1.8432,0.22373,0.07797
5A,A,620000000,640000000,205,0.122,50.865,23,15,5,1.5408,0.1122,0.07317
5A,A,640000000,660000000,336,0.1964,53.172,17,11,6,2.1812,0.0506,0.03274
5A,A,660000000,680000000,258,0.1279,52.921,80,25,7,1.7343,0.31008,0.0969
5A,A,680000000,700000000,282,0.2518,52.327,83,25,6,1.592,0.29433,0.08865
5A,A,700000000,720000000,149,0.2483,52.216,90,17,7,1.6273,0.60403,0.11409
5B,B,0,20000000,230,0.2957,50.309,162,52,9,2.4434,0.70435,0.22609
5B,B,20000000,40000000,181,0.3481,48.513,102,27,8,1.9285,0.56354,0.14917
5B,B,40000000,60000000,182,0.1923,50.055,44,17,4,1.4969,0.24176,0.09341
5B,B,60000000,80000000,161,0.2484,50.891,107,15,7,0.9055,0.6646,0.09317
5B,B,80000000,100000000,583,0.8422,51.889,132,8,4,0.4264,0.22642,0.01372
5B,B,100000000,120000000,112,0.1696,50.113,10,5,3,1.1568,0.08929,0.04464
5B,B,120000000,140000000,140,0.1929,48.237,72,12,4,1.1969,0.51429,0.08571
5B,B,140000000,160000000,57,0.0877,47.826,6,5,3,1.4591,0.10526,0.08772
5B,B,160000000,180000000,29,0.2069,45.974,22,6,2,0.2668,0.75862,0.2069
5B,B,180000000,200000000,33,0.1515,46.413,15,6,3,1.053,0.45455,0.18182
5B,B,200000000,220000000,60,0.1167,48.661,29,8,2,0.2164,0.48333,0.13333
5B,B,220000000,240000000,73,0.0822,50.97,157,7,3,0.154,2.15068,0.09589
5B,B,240000000,260000000,80,0.075,49.936,52,8,3,0.3712,0.65,0.1
5B,B,260000000,280000000,135,0.1333,49.44,70,5,2,0.108,0.51852,0.03704
5B,B,280000000,300000000,119,0.0924,47.852,27,7,3,0.7254,0.22689,0.05882
5B,B,300000000,320000000,112,0.0893,49.025,16,5,3,1.1216,0.14286,0.04464
5B,B,320000000,340000000,139,0.1295,49.949,24,10,4,1.5951,0.17266,0.07194
5B,B,340000000,360000000,117,0.1538,51.634,34,7,2,0.1914,0.2906,0.05983
5B,B,360000000,380000000,102,0.1275,50.187,31,7,5,0.8128,0.30392,0.06863
5B,B,380000000,400000000,145,0.1517,51.782,20,8,4,1.1918,0.13793,0.05517
5B,B,400000000,420000000,156,0.1282,52.3,112,15,4,0.7734,0.71795,0.09615
5B,B,420000000,440000000,180,0.15,52.468,53,23,5,1.5582,0.29444,0.12778
5B,B,440000000,460000000,167,0.1317,50.574,31,17,6,1.3801,0.18563,0.1018
5B,B,460000000,480000000,228,0.1667,49.954,82,22,7,1.8187,0.35965,0.09649
5B,B,480000000,500000000,206,0.1796,55.044,64,24,8,1.6329,0.31068,0.1165
5B,B,500000000,520000000,201,0.1393,52.793,43,16,7,1.9618,0.21393,0.0796
5B,B,520000000,540000000,240,0.2042,51.376,65,26,6,1.9558,0.27083,0.10833
5B,B,540000000,560000000,226,0.2035,50.882,100,32,8,2.0179,0.44248,0.14159
5B,B,560000000,580000000,222,0.1306,52.25,362,24,7,0.6537,1.63063,0.10811
5B,B,580000000,600000000,232,0.2155,49.983,127,33,9,1.9587,0.54741,0.14224
5B,B,600000000,620000000,244,0.1639,53.511,42,16,5,1.9363,0.17213,0.06557
5B,B,620000000,640000000,176,0.233,50.869,46,18,5,1.0503,0.26136,0.10227
5B,B,640000000,660000000,281,0.2278,53.801,35,19,6,1.6901,0.12456,0.06762
5B,B,660000000,680000000,235,0.1745,51.573,50,23,5,1.7123,0.21277,0.09787
5B,B,680000000,700000000,367,0.3597,49.472,109,28,8,1.7869,0.297,0.07629
5B,B,700000000,720000000,261,0.2222,50.435,93,28,6,1.8695,0.35632,0.10728
5D,D,0,20000000,303,0.4455,48.311,73,21,8,1.9169,0.24092,0.06931
5D,D,20000000,40000000,155,0.2387,51.188,31,11,5,1.4509,0.2,0.07097
5D,D,40000000,60000000,249,0.1807,50.533,47,15,7,1.6902,0.18876,0.06024
5D,D,60000000,80000000,440,0.725,51.747,36,11,4,1.5593,0.08182,0.025
5D,D,80000000,100000000,125,0.2,50.576,9,4,3,0.9864,0.072,0.032
5D,D,100000000,120000000,154,0.1299,49.639,20,5,3,1.1568,0.12987,0.03247
5D,D,120000000,140000000,110,0.1091,48.604,11,7,2,0.4395,0.1,0.06364
5D,D,140000000,160000000,13,0.0,45.211,38,6,2,0.1756,2.92308,0.46154
5D,D,160000000,180000000,41,0.1707,47.212,10,7,3,1.1568,0.2439,0.17073
5D,D,180000000,200000000,48,0.1042,48.452,16,8,2,0.9887,0.33333,0.16667
5D,D,200000000,220000000,98,0.0816,50.145,13,8,3,0.9913,0.13265,0.08163
5D,D,220000000,240000000,125,0.08,50.008,12,8,5,1.9508,0.096,0.064
5D,D,240000000,260000000,160,0.1187,49.244,20,6,2,0.2864,0.125,0.0375
5D,D,260000000,280000000,134,0.1045,49.046,8,3,2,0.9544,0.0597,0.02239
5D,D,280000000,300000000,173,0.0983,48.694,21,8,4,1.7608,0.12139,0.04624
5D,D,300000000,320000000,147,0.1429,51.812,11,5,4,1.6858,0.07483,0.03401
5D,D,320000000,340000000,213,0.1549,50.884,25,9,5,1.8539,0.11737,0.04225
5D,D,340000000,360000000,206,0.1214,54.169,26,14,6,1.7202,0.12621,0.06796
5D,D,360000000,380000000,244,0.1025,51.675,23,10,4,1.0862,0.09426,0.04098
5D,D,380000000,400000000,270,0.1444,49.812,15,14,4,1.6729,0.05556,0.05185
5D,D,400000000,420000000,228,0.114,54.881,57,13,4,0.8748,0.25,0.05702
5D,D,420000000,440000000,342,0.2135,52.097,29,10,5,1.3754,0.0848,0.02924
5D,D,440000000,460000000,317,0.2019,51.156,65,15,6,1.5651,0.20505,0.04732
5D,D,460000000,480000000,271,0.0849,52.23,2884,12,6,0.0546,10.64207,0.04428
5D,D,480000000,500000000,373,0.2145,51.327,38,15,6,1.6385,0.10188,0.04021
5D,D,500000000,520000000,332,0.238,50.658,16,14,5,1.4966,0.04819,0.04217
5D,D,520000000,540000000,374,0.1845,51.948,46,17,3,0.4968,0.12299,0.04545
5D,D,540000000,560000000,463,0.3413,48.894,213,31,9,1.0468,0.46004,0.06695
5D,D,560000000,580000000,119,0.1681,51.282,25,11,3,0.7943,0.21008,0.09244
6A,A,0,20000000,416,0.2476,50.809,246,70,11,2.2209,0.59135,0.16827
6A,A,20000000,40000000,352,0.2074,51.145,122,34,8,2.1161,0.34659,0.09659
6A,A,40000000,60000000,181,0.2099,51.998,69,16,6,1.7028,0.38122,0.0884
6A,A,60000000,80000000,219,0.2968,49.496,63,19,7,1.4638,0.28767,0.08676
6A,A,80000000,100000000,157,0.1592,48.844,30,16,5,1.6044,0.19108,0.10191
6A,A,100000000,120000000,193,0.2642,50.573,45,12,6,1.4838,0.23316,0.06218
6A,A,120000000,140000000,95,0.1263,50.712,8,7,4,1.75,0.08421,0.07368
6A,A,140000000,160000000,109,0.1651,49.29,10,5,2,0.469,0.09174,0.04587
6A,A,160000000,180000000,60,0.15,50.972,6,4,1,0.0,0.1,0.06667
6A,A,180000000,200000000,85,0.1294,51.272,9,5,2,0.9183,0.10588,0.05882
6A,A,200000000,220000000,84,0.25,48.848,3,2,3,1.585,0.03571,0.02381
6A,A,220000000,240000000,32,0.1875,47.724,26,8,3,1.2389,0.8125,0.25
6A,A,240000000,260000000,24,0.2917,48.608,23,4,3,1.5505,0.95833,0.16667
6A,A,260000000,280000000,36,0.3889,45.753,8,4,3,1.5613,0.22222,0.11111
6A,A,280000000,300000000,23,0.2174,47.826,22,4,3,1.1819,0.95652,0.17391
6A,A,300000000,320000000,18,0.1667,47.318,37,4,4,1.1739,2.05556,0.22222
6A,A,320000000,340000000,27,0.2222,47.218,40,4,3,1.2058,1.48148,0.14815
6A,A,340000000,360000000,26,0.1923,47.872,22,3,2,0.9024,0.84615,0.11538
6A,A,360000000,380000000,37,0.2162,50.274,18,3,4,1.4628,0.48649,0.08108
6A,A,380000000,400000000,74,0.0811,49.086,12,5,3,0.8167,0.16216,0.06757
6A,A,400000000,420000000,59,0.1864,49.547,12,4,2,0.4138,0.20339,0.0678
6A,A,420000000,440000000,91,0.1538,49.501,25,10,5,1.4644,0.27473,0.10989
6A,A,440000000,460000000,153,0.1176,52.343,124,17,6,0.9916,0.81046,0.11111
6A,A,460000000,480000000,101,0.1188,53.108,4,4,2,0.8113,0.0396,0.0396
6A,A,480000000,500000000,159,0.0943,51.662,75,11,4,0.8899,0.4717,0.06918
6A,A,500000000,520000000,133,0.0752,51.491,35,12,5,1.5717,0.26316,0.09023
6A,A,520000000,540000000,189,0.1429,52.839,130,13,4,0.3276,0.68783,0.06878
6A,A,540000000,560000000,205,0.0732,52.391,102,20,7,0.8504,0.49756,0.09756
6A,A,560000000,580000000,205,0.1756,52.314,58,19,6,1.1155,0.28293,0.09268
6A,A,580000000,600000000,331,0.1903,51.177,126,35,8,1.6554,0.38066,0.10574
6A,A,600000000,620000000,433,0.194,50.625,204,40,7,1.9633,0.47113,0.09238
6B,B,0,20000000,331,0.287,50.237,127,45,10,2.6197,0.38369,0.13595
6B,B,20000000,40000000,292,0.363,51.416,120,36,9,2.0032,0.41096,0.12329
6B,B,40000000,60000000,243,0.3333,51.27,44,19,4,1.185,0.18107,0.07819
6B,B,60000000,80000000,189,0.3016,49.878,18,12,3,1.2997,0.09524,0.06349
6B,B,80000000,100000000,130,0.2462,51.868,23,10,5,1.7905,0.17692,0.07692
6B,B,100000000,120000000,144,0.4792,50.997,54,22,6,2.0797,0.375,0.15278
6B,B,120000000,140000000,173,0.1908,49.454,65,25,7,1.8277,0.37572,0.14451
6B,B,140000000,160000000,187,0.2406,48.814,60,17,7,2.3085,0.32086,0.09091
6B,B,160000000,180000000,117,0.2137,50.818,25,7,4,1.1452,0.21368,0.05983
6B,B,180000000,200000000,106,0.1226,51.034,27,13,3,1.1542,0.25472,0.12264
6B,B,200000000,220000000,105,0.181,49.818,24,7,4,1.364,0.22857,0.06667
6B,B,220000000,240000000,106,0.1509,49.477,56,17,7,2.2759,0.5283,0.16038
6B,B,240000000,260000000,65,0.2769,50.543,8,4,2,1.0,0.12308,0.06154
6B,B,260000000,280000000,55,0.2364,49.139,4,1,2,0.8113,0.07273,0.01818
6B,B,280000000,300000000,62,0.1613,48.519,12,4,2,0.4138,0.19355,0.06452
6B,B,300000000,320000000,37,0.2703,46.945,7,4,3,1.3788,0.18919,0.10811
6B,B,320000000,340000000,24,0.1667,46.78,8,6,4,1.8113,0.33333,0.25
6B,B,340000000,360000000,35,0.0571,49.065,4,3,3,1.5,0.11429,0.08571
6B,B,360000000,380000000,29,0.2414,47.292,3,3,2,0.9183,0.10345,0.10345
6B,B,380000000,400000000,47,0.4468,46.328,2,2,2,1.0,0.04255,0.04255
6B,B,400000000,420000000,42,0.1667,47.915,2,2,1,0.0,0.04762,0.04762
6B,B,420000000,440000000,68,0.1324,48.13,41,11,2,0.1654,0.60294,0.16176
6B,B,440000000,460000000,89,0.2247,47.51,39,9,2,0.6194,0.4382,0.10112
6B,B,460000000,480000000,113,0.0973,50.546,47,17,5,2.0359,0.41593,0.15044
6B,B,480000000,500000000,94,0.0745,52.068,9,6,4,1.6577,0.09574,0.06383
6B,B,500000000,520000000,126,0.0635,51.883,10,8,4,1.8464,0.07937,0.06349
6B,B,520000000,540000000,128,0.1328,51.781,72,16,4,0.8932,0.5625,0.125
6B,B,540000000,560000000,111,0.1171,51.578,13,7,5,1.892,0.11712,0.06306
6B,B,560000000,580000000,178,0.1236,52.093,48,13,6,2.052,0.26966,0.07303
6B,B,580000000,600000000,116,0.2069,51.174,35,14,5,1.8158,0.30172,0.12069
6B,B,600000000,620000000,135,0.1333,52.419,24,11,5,1.825,0.17778,0.08148
6B,B,620000000,640000000,128,0.1328,52.705,94,11,4,0.6267,0.73438,0.08594
6B,B,640000000,660000000,206,0.2767,51.101,70,21,6,1.6068,0.33981,0.10194
6B,B,660000000,680000000,195,0.2205,52.328,41,22,6,1.7669,0.21026,0.11282
6B,B,680000000,700000000,283,0.2155,50.805,67,24,8,1.7956,0.23675,0.08481
6B,B,700000000,720000000,408,0.25,48.441,101,33,8,2.1329,0.24755,0.08088
6B,B,720000000,740000000,19,0.2105,54.932,4,3,1,0.0,0.21053,0.15789
6D,D,0,20000000,464,0.25,50.365,132,37,8,1.8973,0.28448,0.07974
6D,D,20000000,40000000,324,0.2531,51.129,68,22,7,1.974,0.20988,0.0679
6D,D,40000000,60000000,227,0.2467,48.916,32,8,3,1.1511,0.14097,0.03524
6D,D,60000000,80000000,176,0.2102,49.723,28,14,4,1.7887,0.15909,0.07955
6D,D,80000000,100000000,215,0.2372,50.522,113,12,6,0.9313,0.52558,0.05581
6D,D,100000000,120000000,150,0.1267,50.612,18,7,3,1.4153,0.12,0.04667
6D,D,120000000,140000000,147,0.1293,50.434,5,0,1,0.0,0.03401,0.0
6D,D,140000000,160000000,114,0.0877,50.654,25,8,4,1.7583,0.2193,0.07018
6D,D,160000000,180000000,52,0.2692,46.714,6,3,3,1.4591,0.11538,0.05769
6D,D,180000000,200000000,25,0.08,46.598,7,3,3,1.3788,0.28,0.12
6D,D,200000000,220000000,27,0.2222,47.185,7,3,4,1.8424,0.25926,0.11111
6D,D,220000000,240000000,23,0.087,46.907,14,5,5,2.121,0.6087,0.21739
6D,D,240000000,260000000,31,0.0645,45.627,7,2,2,0.5917,0.22581,0.06452
6D,D,260000000,280000000,115,0.0696,49.853,16,6,5,2.1085,0.13913,0.05217
6D,D,280000000,300000000,119,0.1765,49.088,12,4,3,1.325,0.10084,0.03361
6D,D,300000000,320000000,169,0.0769,51.518,32,10,5,1.9516,0.18935,0.05917
6D,D,320000000,340000000,104,0.0673,52.205,10,3,4,1.571,0.09615,0.02885
6D,D,340000000,360000000,158,0.0696,51.665,20,6,4,1.4367,0.12658,0.03797
6D,D,360000000,380000000,155,0.1161,51.435,33,3,3,0.9308,0.2129,0.01935
6D,D,380000000,400000000,192,0.0938,52.273,25,5,3,1.164,0.13021,0.02604
6D,D,400000000,420000000,208,0.0962,53.167,29,7,3,1.5632,0.13942,0.03365
6D,D,420000000,440000000,318,0.1981,51.344,46,11,4,1.8571,0.14465,0.03459
6D,D,440000000,460000000,376,0.2367,51.11,83,13,6,1.7265,0.22074,0.03457
6D,D,460000000,480000000,307,0.215,49.502,165,33,9,1.6849,0.53746,0.10749
7A,A,0,20000000,464,0.4892,49.901,147,44,11,1.9545,0.31681,0.09483
7A,A,20000000,40000000,301,0.4319,51.088,118,27,10,1.4129,0.39203,0.0897
7A,A,40000000,60000000,233,0.3734,51.155,107,26,7,1.3858,0.45923,0.11159
7A,A,60000000,80000000,281,0.2491,51.001,55,25,9,2.3861,0.19573,0.08897
7A,A,80000000,100000000,238,0.2185,51.528,95,27,6,1.6565,0.39916,0.11345
7A,A,100000000,120000000,165,0.1636,51.436,38,20,6,1.8134,0.2303,0.12121
7A,A,120000000,140000000,230,0.187,53.461,36,15,5,2.0335,0.15652,0.06522
7A,A,140000000,160000000,135,0.1926,51.487,13,11,5,1.823,0.0963,0.08148
7A,A,160000000,180000000,155,0.0839,53.993,73,13,5,0.9794,0.47097,0.08387
7A,A,180000000,200000000,144,0.1319,50.304,24,4,5,0.9834,0.16667,0.02778
7A,A,200000000,220000000,145,0.1379,48.248,18,10,3,1.3472,0.12414,0.06897
7A,A,220000000,240000000,101,0.0792,51.237,14,8,4,1.6894,0.13861,0.07921
7A,A,240000000,260000000,92,0.0652,50.233,8,7,2,0.8113,0.08696,0.07609
7A,A,260000000,280000000,77,0.1688,50.002,23,10,3,1.4029,0.2987,0.12987
7A,A,280000000,300000000,99,0.1616,49.837,10,5,2,0.7219,0.10101,0.05051
7A,A,300000000,320000000,32,0.1562,48.61,11,6,4,1.6767,0.34375,0.1875
7A,A,320000000,340000000,30,0.2667,46.195,24,7,3,1.1753,0.8,0.23333
