Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Triticum aestivum homoeologue gene stable ID	Triticum aestivum homoeologue chromosome/scaffold name	Triticum aestivum homoeologue chromosome/scaffold start (bp)	Triticum aestivum homoeologue chromosome/scaffold end (bp)	Triticum aestivum homoeology confidence [0 low, 1 high]
TraesCS2A02G492200	2A	724524473	724530117	TraesCS2B02G520300	2B	714786661	714792227	1
TraesCS3B02G523600	3B	766099763	766099987					
TraesCS5D02G260800	5D	367239569	367245006	TraesCS5B02G251900	5B	434415442	434420660	1
TraesCS3D02G197700	3D	209673083	209688825	TraesCS3A02G194100	3A	269203873	269227127	1
TraesCS3D02G197700	3D	209673083	209688825	TraesCS3B02G223900	3B	296181809	296194075	0
TraesCS2B02G352000	2B	501006053	501010722	TraesCS2A02G330200	2A	562601205	562605956	1
TraesCS2B02G352000	2B	501006053	501010722	TraesCS2D02G332500	2D	425740309	425746371	1
TraesCS5B02G438100	5B	611045399	611046457					
TraesCS2D02G419200	2D	533165115	533166761	TraesCS2B02G441300	2B	632988203	632989456	1
TraesCS4D02G254800	4D	423695483	423698763	TraesCS4B02G255000	4B	520223160	520226414	1
TraesCS4D02G254800	4D	423695483	423698763	TraesCS4A02G049700	4A	40441488	40444697	1
TraesCS1D02G025800	1D	10626324	10626890					
TraesCS1D02G072000	1D	52358164	52361912	TraesCS1A02G069400	1A	52056090	52060042	1
TraesCS1D02G072000	1D	52358164	52361912	TraesCS1B02G087700	1B	83206061	83209210	1
TraesCS2A02G568000	2A	766592991	766594695					
TraesCS5A02G074700	5A	87982462	87986634	TraesCS5B02G081100	5B	101408193	101411999	1
TraesCS5A02G074700	5A	87982462	87986634	TraesCS5D02G088100	5D	94051277	94061471	1
TraesCSU02G021500	Un	23499160	23515514					
TraesCS2D02G057900	2D	22962326	22964755	TraesCS2B02G070700	2B	37429602	37432028	1
TraesCS2D02G057900	2D	22962326	22964755	TraesCS2A02G058700	2A	24530232	24532708	1
TraesCS5D02G436300	5D	490954365	490955040	TraesCS5A02G428300	5A	613374133	613374591	1
TraesCS5D02G436300	5D	490954365	490955040	TraesCS5B02G430200	5B	605513322	605513777	1
TraesCS7B02G359100	7B	620755960	620761346	TraesCS7D02G445600	7D	566451821	566462579	1
TraesCS7B02G359100	7B	620755960	620761346	TraesCS7A02G457100	7A	652689580	652695348	1
TraesCS3B02G523400	3B	765853713	765856912	TraesCS3A02G479200	3A	710946876	710949891	1
TraesCS3B02G523400	3B	765853713	765856912	TraesCS3D02G473700	3D	575478543	575482637	0
TraesCS3A02G122800	3A	98513729	98514481	TraesCS7B02G221900	7B	415325341	415326440	1
TraesCS1B02G345900	1B	574267312	574268267	TraesCS1A02G332300	1A	520793444	520793812	1
TraesCS1B02G345900	1B	574267312	574268267	TraesCS1D02G334900	1D	424991537	424992317	1
TraesCS7B02G305500	7B	547472937	547478187	TraesCS2A02G032800	2A	14879949	14881387	0
TraesCS5A02G172100	5A	365253527	365255498	TraesCS5D02G176800	5D	276917471	276919471	1
TraesCS2B02G253400	2B	276492151	276492495					
TraesCS7A02G016000	7A	6845713	6849482					
TraesCS3A02G410600	3A	654588767	654591516	TraesCS3D02G405200	3D	519667512	519670124	1
TraesCS3A02G410600	3A	654588767	654591516	TraesCS3B02G443900	3B	684255024	684257818	1
TraesCS1D02G212400	1D	298068162	298070793	TraesCS1A02G209100	1A	371219824	371221463	1
TraesCS1D02G212400	1D	298068162	298070793	TraesCS1B02G223300	1B	400771219	400774008	1
TraesCSU02G155400	Un	211801107	211801805					
TraesCS5A02G421600	5A	607680294	607684688	TraesCS5D02G429900	5D	487287596	487291894	1
TraesCS5A02G421600	5A	607680294	607684688	TraesCS5B02G423200	5B	599652241	599656580	1
TraesCS7A02G070700	7A	36485489	36495942	TraesCS7D02G065800	7D	36494287	36496728	0
TraesCS7A02G070700	7A	36485489	36495942	TraesCS7D02G066000	7D	36677810	36681717	1
TraesCS5A02G253600	5A	469665377	469665844	TraesCS2B02G222500	2B	212183279	212183743	0
TraesCS7D02G231300	7D	192370132	192375071	TraesCS7B02G129700	7B	155469830	155479020	1
TraesCS7D02G231300	7D	192370132	192375071	TraesCS7A02G231200	7A	201985643	201990646	1
TraesCS5D02G059000	5D	55920426	55920803					
TraesCS2D02G197400	2D	144565448	144568578	TraesCS2A02G190500	2A	157112791	157115835	1
TraesCS2D02G197400	2D	144565448	144568578	TraesCS2B02G216500	2B	202595950	202598830	1
TraesCS7A02G492900	7A	681785989	681791135	TraesCS7B02G404200	7B	672521992	672526473	1
TraesCS7A02G492900	7A	681785989	681791135	TraesCS7D02G480600	7D	591280820	591285260	1
TraesCS2A02G153400	2A	101380764	101383063	TraesCS2D02G158700	2D	102283361	102285600	1
TraesCS2A02G153400	2A	101380764	101383063	TraesCS2B02G178500	2B	153609764	153610862	1
TraesCS6B02G114700	6B	97816024	97819353					
TraesCS3B02G479300	3B	727410415	727412216	TraesCS3A02G444700	3A	686154318	686155856	1
TraesCS7A02G075800	7A	41455034	41455870	TraesCS7D02G071300	7D	41802669	41803523	1
TraesCS7B02G055500	7B	58797792	58798340	TraesCS3A02G162500	3A	164802465	164803014	0
TraesCS7B02G055500	7B	58797792	58798340	TraesCS1D02G348300	1D	435236290	435251637	0
TraesCS5A02G307800	5A	520373702	520378369	TraesCS5B02G308000	5B	491070011	491071282	1
TraesCS5A02G307800	5A	520373702	520378369	TraesCS5D02G314600	5D	409016346	409018384	1
TraesCS7D02G553800	7D	638187208	638188861	TraesCS7B02G481300	7B	734772049	734773462	1
TraesCS7D02G553800	7D	638187208	638188861	TraesCS7A02G557000	7A	727897516	727899459	1
TraesCS5A02G062800	5A	67520242	67523771	TraesCS5B02G070000	5B	79812519	79815413	1
TraesCS5A02G062800	5A	67520242	67523771	TraesCS5D02G074000	5D	72909338	72913000	1
TraesCS2D02G167000	2D	110948282	110950437	TraesCS2A02G159800	2A	108011343	108013593	1
TraesCS2D02G167000	2D	110948282	110950437	TraesCS2B02G185400	2B	160410294	160411599	1
TraesCS5A02G049900	5A	45738285	45740908	TraesCS5D02G060700	5D	57572260	57574913	1
TraesCS5A02G049900	5A	45738285	45740908	TraesCS5B02G055300	5B	60877439	60880320	1
TraesCSU02G152000	Un	187709841	187710733					
TraesCS6B02G412900	6B	686363793	686365120	TraesCS6A02G375300	6A	597788413	597789774	1
TraesCS6B02G412900	6B	686363793	686365120	TraesCS6D02G359800	6D	451893965	451895453	1
TraesCS6B02G339400	6B	599049689	599071393	TraesCS6D02G289000	6D	400054793	400076346	1
TraesCS6B02G339400	6B	599049689	599071393	TraesCS6A02G309600	6A	545807207	545829298	1
TraesCS3D02G366500	3D	480842368	480843288	TraesCS3A02G373800	3A	623610042	623610962	1
TraesCS3D02G366500	3D	480842368	480843288	TraesCS3B02G406000	3B	641660378	641661998	1
TraesCS1B02G167900	1B	297100225	297102063	TraesCS1A02G150000	1A	257565003	257566520	1
TraesCS1B02G167900	1B	297100225	297102063	TraesCS1D02G147100	1D	203293790	203296126	1
TraesCS2B02G249000	2B	256328555	256330016	TraesCS2D02G231300	2D	202568706	202570150	1
TraesCS2B02G249000	2B	256328555	256330016	TraesCS2A02G225400	2A	229674195	229675669	1
TraesCS7A02G419700	7A	611346506	611348289	TraesCS7B02G320500	7B	570919089	570920534	1
TraesCS7A02G419700	7A	611346506	611348289	TraesCS7D02G215100	7D	174793025	174794583	1
TraesCS2B02G019900	2B	9143706	9146396	TraesCS2A02G006100	2A	2817615	2820056	1
TraesCS2A02G376000	2A	618266685	618267625	TraesCS2B02G392900	2B	557226759	557227975	1
TraesCS2A02G376000	2A	618266685	618267625	TraesCS2D02G372200	2D	476344966	476346144	1
TraesCS3D02G373100	3D	486681677	486681940					
TraesCS3B02G241900	3B	381759928	381767017	TraesCS3A02G211500	3A	379827030	379834193	1
TraesCS3B02G241900	3B	381759928	381767017	TraesCS3D02G214200	3D	289108818	289116057	1
TraesCS7D02G139500	7D	89305557	89307669	TraesCS7B02G040000	7B	40258793	40259955	1
TraesCS7D02G231600	7D	192678501	192685105	TraesCS7B02G129800	7B	155897075	155907514	1
TraesCS7D02G231600	7D	192678501	192685105	TraesCS7A02G231400	7A	202363014	202371743	1
TraesCS2B02G217800	2B	206675667	206681517	TraesCS2A02G189400	2A	155779468	155785205	1
TraesCS2B02G217800	2B	206675667	206681517	TraesCS2D02G198400	2D	146395057	146400356	1
TraesCS3B02G481700	3B	729167735	729169348	TraesCS2A02G265300	2A	421248978	421249736	1
TraesCS3B02G481700	3B	729167735	729169348	TraesCS2D02G258200	2D	314318234	314320059	1
TraesCS2D02G537300	2D	619312349	619312594	TraesCS2A02G535900	2A	750424658	750425232	1
TraesCS2D02G562800	2D	634427850	634434245	TraesCS2A02G591500	2A	779186207	779192701	1
TraesCS2D02G562800	2D	634427850	634434245	TraesCS2B02G592200	2B	777356355	777363599	1
TraesCS4A02G107000	4A	122627022	122627745	TraesCS4D02G197800	4D	343088808	343089264	1
TraesCS5D02G229600	5D	336762988	336772858	TraesCS5B02G220600	5B	394969062	394978398	1
TraesCS5D02G229600	5D	336762988	336772858	TraesCS5A02G221800	5A	438141757	438150204	1
TraesCS2A02G569000	2A	766981547	766982173	TraesCS2D02G503600	2D	598328717	598330241	0
TraesCS2A02G569000	2A	766981547	766982173	TraesCS2B02G627900	2B	799575882	799577223	1
TraesCS2A02G569000	2A	766981547	766982173	TraesCS2D02G579900	2D	642100272	642101692	1
TraesCS1B02G475200	1B	683513899	683514874					
TraesCS6A02G080800	6A	49430484	49431311					
TraesCS3B02G553600	3B	788004316	788014141					
TraesCS7B02G403800	7B	672168275	672175274	TraesCS7D02G481100	7D	591586246	591594550	1
TraesCS7B02G403800	7B	672168275	672175274	TraesCS7A02G494000	7A	682188728	682195528	1
TraesCS7B02G490900	7B	743984827	743988613					
TraesCS7A02G302200	7A	422828435	422835023	TraesCS7D02G297500	7D	376087906	376095279	1
TraesCS7A02G302200	7A	422828435	422835023	TraesCS7B02G202300	7B	371035641	371042223	1
TraesCS1A02G231400	1A	404388548	404390160					
TraesCS7D02G524600	7D	620475377	620476896	TraesCS7B02G455400	7B	716132585	716134045	1
TraesCS6B02G315300	6B	563144047	563147711	TraesCS6D02G266900	6D	376972811	376976578	1
TraesCS6B02G315300	6B	563144047	563147711	TraesCS6A02G286200	6A	518548291	518551972	1
TraesCS6B02G315300	6B	563144047	563147711	TraesCS6A02G286300	6A	518596329	518600039	1
TraesCS2B02G064500	2B	30669128	30669612	TraesCS5D02G214900	5D	324421203	324421689	0
TraesCS3D02G071600	3D	31963107	31963559					
TraesCS3D02G233600	3D	322063891	322067192	TraesCS3A02G219000	3A	401710020	401713262	1
TraesCS3D02G233600	3D	322063891	322067192	TraesCS3B02G249200	3B	397370584	397373939	1
TraesCS4A02G048000	4A	38807730	38816357	TraesCS4B02G257000	4B	522420096	522428150	1
TraesCS4A02G048000	4A	38807730	38816357	TraesCS4D02G256900	4D	426610440	426618783	1
TraesCS2D02G259900	2D	316143834	316144802	TraesCS6B02G078700	6B	55204558	55206823	1
TraesCS2D02G259900	2D	316143834	316144802	TraesCS3B02G436200	3B	674479134	674480244	0
TraesCS1D02G240100	1D	329736858	329741009	TraesCS1B02G252100	1B	444786817	444791445	1
TraesCS1D02G240100	1D	329736858	329741009	TraesCS1A02G240000	1A	426929586	426933776	1
TraesCS2D02G130500	2D	75750744	75752774	TraesCS2B02G150100	2B	116410013	116416006	1
TraesCS2D02G130500	2D	75750744	75752774	TraesCS2A02G128000	2A	75642371	75644431	1
TraesCS5A02G103900	5A	165327959	165335472	TraesCS5B02G112100	5B	172623847	172634573	1
TraesCS5A02G103900	5A	165327959	165335472	TraesCS5D02G121900	5D	175757434	175770551	1
TraesCS5A02G497600	5A	664794794	664801047	TraesCS4D02G322200	4D	484389608	484395379	1
TraesCS2B02G229500	2B	225243213	225252334					
TraesCS4A02G309500	4A	602870810	602873131	TraesCS4B02G004800	4B	3337173	3343580	1
TraesCS4A02G309500	4A	602870810	602873131	TraesCS4D02G004200	4D	1871232	1878072	1
TraesCS4D02G335700	4D	493948873	493951496	TraesCS4B02G339500	4B	632702825	632706102	1
TraesCS4D02G335700	4D	493948873	493951496	TraesCS5A02G509200	5A	673402816	673405436	1
TraesCS7D02G164100	7D	113441262	113445849	TraesCS7B02G067700	7B	73128039	73134440	1
TraesCS7D02G164100	7D	113441262	113445849	TraesCS7A02G162400	7A	118454859	118462055	1
TraesCS6B02G219200	6B	307184918	307186952	TraesCS6D02G188800	6D	259292610	259293452	1
TraesCS6B02G219200	6B	307184918	307186952	TraesCS6A02G201500	6A	332177425	332189520	1
TraesCS6B02G439300	6B	704878920	704881973	TraesCS6D02G383200	6D	462410888	462414069	1
TraesCS6B02G439300	6B	704878920	704881973	TraesCS6A02G399000	6A	609165670	609168683	1
TraesCS6B02G439300	6B	704878920	704881973	TraesCS6D02G360400	6D	452097781	452100814	1
TraesCS5B02G035000	5B	38157666	38160207	TraesCS5D02G043500	5D	42930408	42932902	1
TraesCS5B02G035000	5B	38157666	38160207	TraesCS5A02G035300	5A	32710473	32712965	1
TraesCS7D02G437800	7D	557051979	557052332					
TraesCS4A02G367300	4A	640232228	640233158	TraesCS5D02G506100	5D	531971003	531972109	1
TraesCS2D02G290800	2D	372924177	372935106	TraesCS2A02G293400	2A	504334128	504344701	1
TraesCS2D02G290800	2D	372924177	372935106	TraesCS2B02G309500	2B	442514284	442525323	1
TraesCS3A02G423600	3A	665980620	665987221	TraesCS3D02G418900	3D	531369583	531373296	1
TraesCS3A02G423600	3A	665980620	665987221	TraesCS3B02G459200	3B	702826991	702836075	1
TraesCS5A02G283900	5A	491948548	491949564	TraesCS5B02G282500	5B	467226724	467227827	1
TraesCS5A02G283900	5A	491948548	491949564	TraesCS5D02G291100	5D	388829918	388831198	1
TraesCS6D02G022700	6D	8787087	8787629	TraesCS1B02G183900	1B	330509781	330510345	0
TraesCS5A02G148500	5A	326039654	326043523	TraesCS5D02G144400	5D	231225954	231228720	1
TraesCS5A02G148500	5A	326039654	326043523	TraesCS5B02G147100	5B	275237816	275241067	1
TraesCS1D02G396100	1D	464437310	464440356					
TraesCS5D02G081800	5D	82191118	82195939	TraesCS5B02G075900	5B	90512417	90517043	1
TraesCS5D02G081800	5D	82191118	82195939	TraesCS5A02G069600	5A	78170172	78175468	1
TraesCS3B02G131400	3B	113514872	113520606	TraesCS3A02G112800	3A	80218476	80225369	1
TraesCS2A02G253000	2A	384891713	384894167	TraesCS2D02G253600	2D	305913315	305915748	1
TraesCS2A02G253000	2A	384891713	384894167	TraesCS2B02G272700	2B	373998050	374000502	1
TraesCS6A02G280500	6A	508850616	508852266	TraesCS6B02G309000	6B	553372478	553374054	1
TraesCS6A02G280500	6A	508850616	508852266	TraesCS6D02G260700	6D	368305109	368306633	1
TraesCS4D02G212800	4D	365843937	365851715	TraesCS4B02G212000	4B	450456153	450477612	1
TraesCS4D02G212800	4D	365843937	365851715	TraesCS4A02G092300	4A	99019589	99028025	1
TraesCS1D02G138900	1D	190763503	190763832	TraesCS1B02G156500	1B	264342104	264342421	1
TraesCS5D02G291900	5D	389494983	389495832	TraesCS5B02G283200	5B	468639373	468640497	1
TraesCS5D02G291900	5D	389494983	389495832	TraesCS5B02G283000	5B	467946694	467948811	1
TraesCS5D02G291900	5D	389494983	389495832	TraesCS5B02G283700	5B	469353031	469354155	1
TraesCS6D02G156300	6D	132409889	132415479	TraesCS6A02G167400	6A	171456044	171461736	1
TraesCS6D02G156300	6D	132409889	132415479	TraesCS6B02G194900	6B	229724734	229730630	1
TraesCS3D02G146000	3D	110219506	110221763	TraesCS3B02G163500	3B	161304894	161307041	1
TraesCS3D02G146000	3D	110219506	110221763	TraesCS3A02G141100	3A	120266288	120268695	1
TraesCS4B02G073100	4B	68358124	68362621					
TraesCS2B02G327700	2B	469613350	469613883	TraesCS2A02G310700	2A	534318127	534318660	1
TraesCS2B02G327700	2B	469613350	469613883	TraesCS2D02G308900	2D	396424659	396425579	1
TraesCS7D02G292000	7D	353081676	353085158	TraesCS7A02G297900	7A	402041091	402046056	1
TraesCS7D02G292000	7D	353081676	353085158	TraesCS7B02G184800	7B	299246343	299249780	1
TraesCS4D02G131600	4D	118378726	118384579	TraesCS4A02G180800	4A	455263294	455269134	1
TraesCS4D02G131600	4D	118378726	118384579	TraesCS4B02G137100	4B	180667378	180673616	1
TraesCS3A02G268500	3A	494718472	494726293	TraesCS3D02G268600	3D	373318092	373325985	1
TraesCS3A02G268500	3A	494718472	494726293	TraesCS3B02G302900	3B	487029878	487046531	1
TraesCS3B02G577900	3B	807439595	807441030	TraesCS3D02G516900	3D	600423389	600424645	1
TraesCS3B02G577900	3B	807439595	807441030	TraesCS3A02G509100	3A	729955636	729957115	1
TraesCS1D02G334400	1D	424728000	424731312	TraesCS1A02G331800	1A	520569996	520574179	1
TraesCS1D02G334400	1D	424728000	424731312	TraesCS1B02G345400	1B	573858389	573862380	1
TraesCS2B02G372700	2B	531135051	531136644	TraesCS2A02G355600	2A	598615636	598617296	1
TraesCS2B02G372700	2B	531135051	531136644	TraesCS2D02G352700	2D	450997988	450999450	1
TraesCS6A02G359400	6A	590893679	590894813	TraesCS6D02G342300	6D	441711915	441714174	1
TraesCS6A02G359400	6A	590893679	590894813	TraesCS6B02G392100	6B	667245770	667248359	1
TraesCS6D02G248000	6D	351134380	351138565	TraesCS6A02G266700	6A	492282909	492286285	1
TraesCS6D02G248000	6D	351134380	351138565	TraesCS6B02G294100	6B	528284752	528288193	1
TraesCS1B02G021700	1B	9934979	9936879	TraesCS1A02G017600	1A	9219941	9221744	1
TraesCS4D02G292500	4D	463465460	463467180	TraesCS4A02G010600	4A	6016464	6018243	1
TraesCS5A02G437700	5A	619682746	619683556	TraesCS5D02G444900	5D	495618609	495619519	1
TraesCS5A02G437700	5A	619682746	619683556	TraesCS5B02G440500	5B	612673729	612674711	1
TraesCS5D02G265100	5D	369578024	369579837	TraesCS5A02G256600	5A	472110658	472112472	1
TraesCS5D02G265100	5D	369578024	369579837	TraesCS5B02G256000	5B	438795321	438797126	1
TraesCS3D02G502600	3D	590942729	590946600	TraesCS3A02G495400	3A	721350934	721354859	1
TraesCS4D02G344600	4D	499700431	499700886					
TraesCS1A02G385200	1A	554512737	554512898	TraesCS2B02G331000	2B	474908938	474909099	0
TraesCS1A02G385200	1A	554512737	554512898	TraesCS4D02G072900	4D	47554011	47554172	0
TraesCS2B02G314200	2B	449202400	449202846	TraesCS3D02G197100	3D	202624875	202625321	0
TraesCS1D02G364200	1D	445317523	445318303	TraesCS1B02G376700	1B	608462302	608462955	0
TraesCS1B02G202700	1B	364289869	364294526	TraesCS1D02G176000	1D	250215335	250220671	1
TraesCS1B02G202700	1B	364289869	364294526	TraesCS1A02G177500	1A	320333954	320338598	1
TraesCS7A02G450900	7A	644441211	644443283	TraesCS7D02G440100	7D	560222151	560224171	1
TraesCS7A02G450900	7A	644441211	644443283	TraesCS7B02G350600	7B	607909048	607911188	1
TraesCS7D02G161200	7D	111114487	111115253					
TraesCS2B02G032400	2B	15636853	15637470	TraesCS2D02G024200	2D	10798665	10800402	1
TraesCS2B02G032400	2B	15636853	15637470	TraesCS2A02G023100	2A	11308068	11309749	1
TraesCS2A02G346600	2A	585155860	585161635	TraesCS2D02G345300	2D	441537259	441543425	1
TraesCS2A02G346600	2A	585155860	585161635	TraesCS2B02G364900	2B	519024817	519031195	1
TraesCS7A02G229700	7A	200035948	200039407	TraesCS7D02G230300	7D	191496175	191498427	1
TraesCS7A02G229700	7A	200035948	200039407	TraesCS7B02G195600	7B	336655217	336660619	1
TraesCS6D02G361100	6D	452472272	452474723	TraesCS6A02G376000	6A	598064855	598067329	1
TraesCS6B02G170600	6B	182727682	182751014					
TraesCS3A02G386700	3A	636125918	636128855	TraesCS7D02G537700	7D	629139077	629142436	0
TraesCS7B02G393000	7B	659653116	659655512	TraesCS7A02G489900	7A	679818774	679821045	1
TraesCS7B02G393000	7B	659653116	659655512	TraesCS7D02G476300	7D	587850857	587853175	1
TraesCS4B02G052500	4B	41528557	41550848	TraesCS4D02G052700	4D	28972089	28995189	1
TraesCS4B02G052500	4B	41528557	41550848	TraesCS4A02G262300	4A	574527483	574551435	1
TraesCS4B02G010500	4B	7043345	7047080	TraesCS4D02G009200	4D	4358004	4361982	1
TraesCS4B02G010500	4B	7043345	7047080	TraesCS4A02G303300	4A	599318185	599321542	1
TraesCS4D02G015400	4D	6896320	6899884	TraesCS4A02G296600	4A	596624203	596628305	1
TraesCS4D02G015400	4D	6896320	6899884	TraesCS4B02G017100	4B	12227774	12231389	1
TraesCS4B02G029200	4B	21476663	21481631	TraesCS4D02G027100	4D	12017201	12022082	1
TraesCS4B02G029200	4B	21476663	21481631	TraesCS4A02G283500	4A	590498003	590502991	1
TraesCS6A02G177200	6A	196793209	196793409					
TraesCS4B02G343200	4B	636921012	636932262					
TraesCS6B02G133600	6B	130324275	130327986	TraesCS6D02G093100	6D	58095122	58100159	1
TraesCS3B02G292400	3B	470856184	470858166					
TraesCS7D02G099900	7D	59937858	59939538	TraesCS7A02G110700	7A	67983889	67988876	0
TraesCS7D02G099900	7D	59937858	59939538	TraesCS7A02G110300	7A	67589912	67593993	0
TraesCS7D02G099900	7D	59937858	59939538	TraesCS7A02G111000	7A	68029184	68032394	1
TraesCS7D02G099900	7D	59937858	59939538	TraesCS7B02G008600	7B	5215473	5220053	1
TraesCS2D02G590200	2D	646417385	646419686	TraesCS2B02G608900	2B	789263450	789265949	1
TraesCS2D02G590200	2D	646417385	646419686	TraesCS2A02G581000	2A	773228573	773231019	1
TraesCS1D02G195900	1D	275595263	275605524	TraesCS1A02G192500	1A	347918471	347920800	1
TraesCS1D02G195900	1D	275595263	275605524	TraesCS1B02G207500	1B	374857462	374859770	1
TraesCS5A02G210400	5A	425003754	425004092					
TraesCS5A02G426000	5A	611331012	611331818	TraesCS5B02G427900	5B	603940429	603941196	1
TraesCS5A02G426000	5A	611331012	611331818	TraesCS5D02G434000	5D	489753965	489754724	1
TraesCS4D02G078200	4D	52492099	52496665	TraesCS4B02G079400	4B	76998954	77003500	1
TraesCS4D02G078200	4D	52492099	52496665	TraesCS4A02G235500	4A	544174000	544178628	1
TraesCS6B02G047100	6B	27919373	27920651	TraesCS6D02G038900	6D	16178872	16180133	1
TraesCS3B02G209300	3B	245509889	245517984	TraesCS3A02G179600	3A	207845330	207850766	1
TraesCS3B02G209300	3B	245509889	245517984	TraesCS3D02G184500	3D	170238691	170244334	1
TraesCS2A02G290900	2A	501317129	501323124	TraesCS2D02G288800	2D	370237244	370243101	1
TraesCS2A02G290900	2A	501317129	501323124	TraesCS2B02G307300	2B	439767661	439773279	1
TraesCSU02G084600	Un	75724997	75726819					
TraesCS5D02G300400	5D	397928175	397931819	TraesCS5A02G293200	5A	503049098	503052020	1
TraesCS5D02G300400	5D	397928175	397931819	TraesCS5B02G292300	5B	477965033	477966575	1
TraesCS7B02G446400	7B	709520209	709522006					
TraesCS7D02G518900	7D	617078997	617082760	TraesCS2B02G000500	2B	91679	92119	0
TraesCS7D02G518900	7D	617078997	617082760	TraesCS7A02G531000	7A	709808961	709813387	1
TraesCS1B02G012400	1B	6059915	6065449					
TraesCS7A02G235400	7A	207087446	207089574	TraesCS7D02G235500	7D	198017922	198018725	1
TraesCS7A02G235400	7A	207087446	207089574	TraesCS7B02G133600	7B	162339315	162342383	1
TraesCS3B02G554600	3B	788405723	788406175					
TraesCS7A02G419300	7A	610922965	610930383	TraesCS7B02G319900	7B	569945426	569952871	1
TraesCS7A02G419300	7A	610922965	610930383	TraesCS7D02G412100	7D	530669930	530677284	1
TraesCS1D02G400600	1D	467030496	467034813	TraesCS1A02G392400	1A	558976150	558979576	1
TraesCS1D02G400600	1D	467030496	467034813	TraesCS1B02G420600	1B	643587156	643590805	1
TraesCS4D02G348800	4D	502380565	502383441	TraesCS5A02G358400	5A	560716673	560721999	1
TraesCS1B02G235400	1B	421494985	421496913					
TraesCS2A02G592800	2A	779682945	779684454					
TraesCS3B02G137900	3B	123455964	123469787	TraesCS3A02G118900	3A	91006697	91021866	1
TraesCS3B02G137900	3B	123455964	123469787	TraesCS3D02G120800	3D	76916263	76930374	1
TraesCS3B02G580500	3B	809539302	809541866	TraesCS3D02G519600	3D	602274002	602277166	1
TraesCS3B02G580500	3B	809539302	809541866	TraesCS3A02G512400	3A	732042210	732045097	1
TraesCS7D02G050600	7D	26381035	26384265					
TraesCS4B02G281200	4B	564222865	564223842	TraesCS4A02G022100	4A	15890565	15892067	1
TraesCS4B02G281200	4B	564222865	564223842	TraesCS4D02G279900	4D	451055842	451057285	1
TraesCS2D02G404400	2D	518807041	518810312	TraesCS2A02G407400	2A	662966248	662971924	1
TraesCS2D02G404400	2D	518807041	518810312	TraesCS2B02G425900	2B	612073008	612073406	0
TraesCS2D02G404400	2D	518807041	518810312	TraesCS2B02G425100	2B	611062557	611070730	1
TraesCS7A02G365900	7A	539712375	539714728	TraesCS7D02G356600	7D	459798010	459801876	1
TraesCS7A02G365900	7A	539712375	539714728	TraesCS7B02G261600	7B	482087781	482090253	1
TraesCS7D02G484800	7D	595309842	595312217	TraesCS6A02G418400	6A	616338502	616340734	1
TraesCS7D02G484800	7D	595309842	595312217	TraesCS6B02G470900	6B	719095383	719097583	1
TraesCS5D02G421300	5D	481511849	481518721	TraesCS5B02G415900	5B	590069706	590076590	1
TraesCS5D02G421300	5D	481511849	481518721	TraesCS5A02G412100	5A	600453391	600459413	1
TraesCS2B02G521300	2B	716179928	716180725					
TraesCS7D02G494900	7D	602197019	602197661	TraesCS7B02G415000	7B	682885762	682886701	1
TraesCS4A02G452000	4A	717255458	717257410					
TraesCS6B02G077500	6B	53745420	53747123	TraesCS6A02G055600	6A	29331838	29333517	1
TraesCS6B02G077500	6B	53745420	53747123	TraesCS3D02G017200	3D	5864830	5866648	1
TraesCS1D02G368000	1D	447756935	447757621	TraesCS1A02G363000	1A	543928300	543928828	1
TraesCS1D02G368000	1D	447756935	447757621	TraesCS6B02G079000	6B	55650744	55651309	0
TraesCS1D02G444700	1D	487864278	487865098	TraesCS1A02G436400	1A	586605499	586606068	1
TraesCS5B02G033600	5B	36722963	36725139	TraesCS5D02G041700	5D	42019333	42021505	1
TraesCS5B02G033600	5B	36722963	36725139	TraesCS5A02G033400	5A	30407025	30409182	1
TraesCS1A02G072400	1A	56592449	56593745	TraesCS1D02G075300	1D	57297783	57298304	1
TraesCS4D02G237900	4D	399969414	399972559	TraesCS4A02G061100	4A	58220342	58223438	1
TraesCS4D02G237900	4D	399969414	399972559	TraesCS4B02G236500	4B	494585922	494589061	1
TraesCS7B02G390400	7B	656528408	656529595	TraesCS7D02G473500	7D	586499520	586501894	1
TraesCS1A02G306800	1A	498685524	498686167	TraesCS3B02G324000	3B	524499044	524499688	0
TraesCS5D02G503500	5D	530403579	530406725	TraesCS5B02G502300	5B	669480410	669483645	1
TraesCS5D02G503500	5D	530403579	530406725	TraesCS5A02G488600	5A	658596206	658599426	1
TraesCS7A02G292300	7A	366870296	366871452	TraesCS6B02G432100	6B	701469439	701486629	1
TraesCS1A02G067300	1A	49269259	49288855	TraesCS1B02G085800	1B	70309552	70330349	1
TraesCS1A02G067300	1A	49269259	49288855	TraesCS1D02G068300	1D	49924754	49944033	1
TraesCS3A02G465500	3A	699763407	699764114	TraesCS3D02G460700	3D	565604114	565605548	1
TraesCS5B02G161200	5B	297105875	297107317	TraesCS5A02G163900	5A	351474102	351475628	1
TraesCS5B02G161200	5B	297105875	297107317	TraesCS5D02G168900	5D	264795190	264796706	1
TraesCS1B02G285900	1B	497273207	497275440	TraesCS1A02G276800	1A	471728744	471730911	1
